__MOL_ID__	ACTIVITY	QikProp_#stars	QikProp_#amine	QikProp_#amide	QikProp_#rotor	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
1-3i	7.34	0	1	0	7	1	366.502	4.687	690.225	335.935	42.705	311.584	0	1241.332	0	5.75	0.0176975	0	0.8092818	42.005	12.265	16.776	7.91	4.11	-3.929	-3.896	-6.83	972.357	0.105	530.971	-2.599	9.047	-0.139	4	0.386	3	100	0	0	41.776	4	0	18	0	18	5	27	0	0
1-3j	6.15	0	1	0	7	1	366.502	6.397	668.059	338.214	38.432	291.413	0	1212.984	0	5.75	0.0337374	0	0.8233544	40.678	11.812	16.526	7.69	3.985	-3.645	-3.896	-6.506	1067.462	0.162	587.32	-2.592	8.33	-0.221	3	0.304	3	100	0	0	39.094	4	0	18	0	18	5	27	0	0
1-3k	7.19	0	1	0	6	1	354.466	7.389	653.575	258.411	38.416	309.923	46.825	1169.868	0	5	0.0466742	0	0.8215372	39.771	11.235	16.256	7.279	4.128	-4.263	-3.988	-6.624	1067.827	0.336	1060.582	-2.622	8.91	-0.028	3	0.422	3	100	46.825	0	30.666	3	0	18	0	18	5	26	0	0
1-3l	6.69	0	1	0	6	1	354.466	6.875	652.02	258.39	38.416	308.405	46.809	1168.475	0	5	0.040456	0	0.8228431	39.701	11.211	16.148	7.265	4.16	-4.157	-3.988	-6.596	1067.824	0.337	1060.363	-2.628	8.807	-0.015	2	0.418	3	100	46.809	0	30.673	3	0	18	0	18	5	26	0	0
1-3m	4.92	1	1	0	7	2	322.492	2.075	655.096	305.374	1.516	348.206	0	1166.212	0	3	0.0036916	0	0.817922	39.348	11.514	14.036	5.085	5.313	-4.701	-4.237	-6.865	2390.15	0.525	1403.662	-1.711	7.966	-0.326	5	0.904	3	100	0	0	7.08	2	1	18	0	18	5	24	0	0
1-3n	6.97	0	1	0	6	1	337.464	6.436	658.373	256.453	68.837	333.082	0	1167.661	0	6.5	0.0354738	0	0.8145249	39.904	11.897	16.886	9.116	3.468	-3.094	-2.931	-6.848	549.561	-0.091	286.561	-3.101	9.397	0.091	4	0.014	3	96.294	0	0	45.605	4	0	18	0	18	5	25	0	0
1-3o	6.18	0	1	1	5	1	274.405	4.055	582.21	350.513	44.211	187.486	0	1013.099	0	5	0.0162342	0	0.8378902	32.97	9.231	13.105	8.743	2.231	-1.603	-1.288	-4.401	542.288	0.241	512.436	-3.256	9.213	-0.329	2	-0.312	3	88.943	0	30.065	34.427	3	0	12	0	12	5	20	0	0
1-40	6.57	0	1	1	5	1	300.443	4.141	612.655	386.017	39.151	187.487	0	1079.577	0	5	0.0158828	0	0.830714	35.631	9.825	13.998	8.756	2.699	-2.192	-1.941	-4.517	609.532	0.282	577.427	-3.163	9.207	-0.333	3	-0.119	3	92.596	0	29.715	33.14	3	0	18	0	18	9	22	0	0
1-9	7.01	0	1	0	5	1	334.46	4.201	655.162	248.451	46.536	360.175	0	1157.635	0	5	0.0152465	0	0.8138251	40.404	11.835	15.935	7.884	3.985	-3.981	-3.678	-6.988	894.342	0.192	485.077	-2.691	9.263	0.313	3	0.429	3	100	0	0	36.218	3	0	21	0	21	6	25	0	0
2-12	4.34	1	2	0	7	2	308.466	0.768	658.727	256.428	13.373	388.925	0	1143.134	1	3.5	0.0005156	0.0053133	0.8026465	38.814	11.898	15.587	7.409	4.293	-3.418	-2.731	-8.032	460.13	0.8	261.652	-3.849	9.225	-0.327	4	0.749	3	100	0	0	19.051	2	0	18	0	18	5	23	0	0.0113465
2-14	6.89	0	1	0	7	1	350.503	4.253	680.72	277.884	35.064	367.773	0	1216.318	0	5	0.01487	0	0.8095202	41.541	12.371	16.216	7.478	4.359	-4.191	-3.904	-7.094	1148.913	0.183	635.906	-2.261	9.218	0.093	2	0.514	3	100	0	0	31.75	3	0	18	0	18	5	26	0	0
2-15	6.03	1	1	0	8	1	412.574	4.66	775.421	193.169	28.551	553.701	0	1411.232	0	5	0.0153882	0	0.7846805	50.475	15.543	19.537	8.706	5.991	-5.772	-5.582	-8.383	1324.485	0.171	741.563	-1.39	9.338	0.123	3	1.038	3	100	0	0	29.945	3	1	24	0	24	5	31	1	0
2-21	9.22	1	1	0	9	1	490.659	3.106	854.375	287.063	93.222	474.09	0	1562.908	0	9	0.0061723	0	0.7623226	55.142	16.995	23.298	12.514	4.491	-5.011	-5.385	-8.365	322.68	-0.65	161.165	-2.766	9.267	0.882	3	0.365	3	100	0	0	67.398	5	0	24	0	24	5	35	0	0
2-22	9.52	1	1	0	10	0	504.686	8.299	880.286	309.343	92.545	478.398	0	1611.294	0	9	0.0427398	0	0.7550769	56.478	17.533	24.213	12.38	4.817	-5.339	-5.683	-8.503	327.491	-0.723	163.763	-2.642	9.282	0.801	3	0.463	3	87.208	0	0	66.618	5	1	24	0	24	5	36	0	0
2-23	9.22	4	1	0	10	0	552.73	4.344	988.544	203.55	88.359	696.635	0	1781.278	0	9	0.0105921	0	0.7188805	65.365	21.066	27.046	14.097	6.21	-7.39	-7.063	-10.129	358.832	-0.781	180.767	-1.796	8.794	1.028	4	0.957	1	83.12	0	0	64.106	5	2	30	0	30	5	40	1	0
2-24	4.59	1	1	0	4	1	246.352	3.696	516.405	276.621	63.796	175.988	0	888.333	1	4.5	0.0153753	0.0087141	0.8654156	28.509	8.396	12.885	7.608	2.223	-2.246	-1.807	-5.275	613.505	0.153	322.765	-3.754	9.29	0.199	0	0.016	3	89.86	0	0	42.618	3	0	12	0	12	5	18	0	0.0182666
2-25	6.11	0	1	0	6	1	350.503	3.967	678.502	315.918	34.372	328.212	0	1220.292	0	5	0.0128945	0	0.813935	41.964	12.12	16.323	7.42	4.189	-4.359	-3.904	-6.834	1166.415	0.255	646.383	-2.483	9.232	0.2	3	0.568	3	100	0	0	30.768	3	0	18	0	18	5	26	0	0
2-26	6.84	0	1	0	6	1	350.503	4.24	686.345	343.475	35.742	307.128	0	1226.962	0	5	0.0146536	0	0.8075638	42.029	12.052	16.318	7.305	4.194	-4.421	-3.904	-6.837	1132.035	0.235	625.815	-2.583	9.182	0.191	3	0.588	3	100	0	0	32.529	3	0	18	0	18	5	26	0	0
2-27	4.39	0	1	0	6	1	350.503	4.333	686.344	343.474	35.742	307.128	0	1226.962	0	5	0.0152988	0	0.8075643	42.029	12.052	16.327	7.305	4.194	-4.421	-3.904	-6.837	1132.037	0.235	625.816	-2.583	9.168	0.191	3	0.588	3	100	0	0	32.529	3	0	18	0	18	5	26	0	0
2-28	4.85	0	1	0	7	1	381.474	7.109	682.668	250.771	103.714	328.183	0	1227.455	0	6	0.0411769	0	0.8121309	41.608	12.678	17.431	8.666	3.521	-3.653	-4.098	-6.863	256.616	-0.508	125.816	-3.665	9.26	1.037	3	0.279	3	90.68	0	0	69.361	6	0	18	0	18	5	28	0	0
2-29	6.43	0	1	0	7	0	381.474	6.145	693.692	255.599	132.58	305.513	0	1240.757	0	6	0.0304351	0	0.8049883	41.924	12.858	17.475	8.734	3.381	-3.862	-4.098	-6.871	136.629	-0.824	63.658	-4.277	9.395	1.119	3	0.318	3	84.964	0	0	77.171	6	0	18	0	18	5	28	0	0
2-30	5.48	0	1	0	7	0	381.474	5.447	693.692	255.6	132.581	305.512	0	1240.757	0	6	0.0239091	0	0.8049879	41.924	12.858	17.385	8.734	3.381	-3.862	-4.098	-6.871	136.627	-0.824	63.657	-4.277	9.407	1.142	3	0.318	3	84.964	0	0	77.172	6	0	18	0	18	5	28	0	0
2-31	4.89	0	1	0	7	1	350.503	4.127	696.251	289.104	37.153	369.994	0	1237.404	0	5	0.0137623	0	0.8005845	42.406	12.617	16.486	7.545	4.524	-4.433	-3.904	-7.249	1097.695	0.154	605.321	-2.291	9.257	0.203	2	0.575	3	100	0	0	32.606	3	0	18	0	18	5	26	0	0
2-32	4.27	0	1	0	7	1	362.514	4.046	719.965	294.367	37.544	388.053	0	1278.384	0	5	0.0128031	0	0.7912156	44.218	13.161	17.109	7.728	4.834	-4.883	-4.159	-7.487	1088.343	0.14	599.749	-2.235	9.11	0.199	2	0.694	3	100	0	0	32.567	3	0	18	0	18	5	27	0	0
2-33	4.28	1	0	0	5	0	350.46	4.502	649.419	225.671	73.452	350.295	0	1162.868	0	6	0.0174262	0	0.8234946	40.519	12.004	16.702	8.971	3.861	-4.568	-4.487	-6.059	1992.286	-0.46	1042.111	-1.159	9.297	0.279	0	0.177	3	100	0	0	53.667	4	0	18	0	18	5	26	0	0
2-34	4.42	0	1	0	6	1	300.443	4.055	621.463	407.937	37.538	175.988	0	1094.116	0	5	0.0150302	0	0.8262765	35.461	9.867	13.855	6.269	3.417	-3.18	-2.287	-5.908	1088.495	0.234	599.839	-3.078	9.224	0.196	1	0.202	3	100	0	0	32.505	3	0	15	3	12	8	22	0	0
2-35	6.39	0	1	0	6	1	342.523	4.053	685.52	474.973	35.036	175.512	0	1226.431	0	5	0.0133935	0	0.8083015	40.751	11.113	15.639	6.402	4.261	-4.394	-3.346	-6.197	1149.625	0.243	636.332	-3.033	9.205	0.219	1	0.586	3	100	0	0	30.879	3	0	18	0	18	11	25	0	0
2-36	4.62	0	1	0	6	1	394.599	4.075	711.536	501.046	35.042	175.448	0	1318.559	0	5	0.0125949	0	0.817274	44.438	11.953	16.988	6.465	4.898	-4.887	-4.432	-6.052	1149.464	0.251	636.236	-3.034	9.187	0.218	1	0.854	3	100	0	0	30.205	3	0	22	0	22	15	29	0	0
2-3b	6.0	0	1	0	6	1	336.476	4.379	681.982	291.27	41.347	349.365	0	1189.794	1	4.5	0.0161169	0.0065984	0.796233	40.945	12.278	17.18	8.592	4.345	-4.563	-3.96	-7.221	1001.637	0.166	548.274	-2.537	9.286	0.2	3	0.715	3	100	0	0	38.133	3	0	18	0	18	5	25	0	0.0133739
2-3c	6.33	0	1	0	6	1	336.476	4.354	694.026	311.126	52.872	330.028	0	1206.034	1	4.5	0.0157222	0.0064839	0.7895183	41.411	12.394	17.339	8.567	4.345	-4.632	-3.96	-7.238	778.783	0.035	417.7	-2.818	9.262	0.206	3	0.757	3	100	0	0	42.207	3	0	18	0	18	5	25	0	0.0133739
2-3d	6.74	0	1	0	6	1	336.476	4.817	693.989	311.084	52.872	330.033	0	1205.993	1	4.5	0.0192417	0.0064842	0.7895425	41.409	12.394	17.386	8.567	4.345	-4.632	-3.96	-7.238	778.78	0.035	417.697	-2.818	9.26	0.213	3	0.757	3	100	0	0	42.207	3	0	18	0	18	5	25	0	0.0133738
2-3e	6.06	0	1	0	7	0	367.447	9.785	693.681	222.458	119.417	351.806	0	1209.141	1	5.5	0.0791932	0.0079287	0.7912675	41.101	13.043	18.981	9.932	3.804	-4.486	-4.193	-7.313	182.126	-0.731	86.852	-3.872	9.249	1.268	3	0.519	3	89.677	0	0	78.331	6	0	18	0	18	5	27	0	0.0149681
2-3f	6.64	0	1	0	7	-2	367.447	10.356	701.376	223.294	149.673	328.409	0	1219.818	1	5.5	0.0879183	0.0078417	0.7871864	41.305	13.205	19.269	9.997	3.637	-4.587	-4.193	-7.268	94.071	-1.07	42.526	-4.512	9.371	1.365	3	0.546	3	83.56	0	0	86.791	6	0	18	0	18	5	27	0	0.0149681
2-3g	7.26	0	1	0	7	-2	367.447	7.308	701.339	223.295	149.631	328.414	0	1219.777	1	5.5	0.0437897	0.0078421	0.7872101	41.303	13.204	18.663	9.997	3.637	-4.587	-4.193	-7.268	94.157	-1.07	42.568	-4.511	9.388	1.554	3	0.546	3	83.568	0	0	86.778	6	0	18	0	18	5	27	0	0.0149681
2-3h	7.06	0	1	0	7	1	352.475	6.059	687.396	303.082	52.821	331.493	0	1207.419	1	5.25	0.0304075	0.0076375	0.797743	40.838	12.401	17.749	9.079	4.229	-4.457	-3.989	-7.112	779.644	-0.013	418.198	-2.716	9.238	0.153	3	0.568	3	100	0	0	50.579	4	0	18	0	18	5	26	0	0.0148946
2-3i	6.92	0	1	0	7	0	350.46	2.1	697.426	242.075	128.424	326.927	0	1214.62	1	6.5	0.0036305	0.00932	0.7893946	41.083	12.989	18.476	10.818	3.134	-4.201	-3.457	-7.225	149.608	-0.834	70.219	-4.125	9.304	0.947	2	0.328	3	84.225	0	0	78.862	4	0	18	0	18	5	26	0	0.0185471
2-3j	6.74	0	1	0	6	1	356.894	4.439	686.649	223.289	52.858	338.856	71.646	1191.359	1	4.5	0.0165392	0.0065536	0.7915144	40.908	12.814	17.549	8.635	4.452	-4.843	-4.375	-7.248	779.014	0.214	1031.523	-2.787	9.292	0.516	2	0.717	3	100	0	0	42.199	3	0	18	0	18	5	25	0	0.0126088
2-3k	7.07	0	1	0	6	1	340.44	4.449	671.428	223.287	52.847	348.515	46.779	1163.023	1	4.5	0.0170194	0.0067021	0.7965704	39.866	11.788	17.097	8.655	4.341	-4.639	-4.041	-7.212	779.198	0.16	753.997	-2.752	9.303	0.546	2	0.642	3	100	46.779	0	42.191	3	0	18	0	18	5	25	0	0.0132181
2-3l	7.29	0	1	0	7	1	364.486	7.356	724.217	305.299	103.648	315.27	0	1265.967	1	6.5	0.0427423	0.0089752	0.7814678	43.026	13.253	19.528	10.634	3.612	-4.674	-3.737	-7.298	256.982	-0.591	126.01	-3.71	9.313	0.9	2	0.462	3	91.226	0	0	70.392	4	0	18	0	18	5	27	0	0.0178333
