__MOL_ID__	ACTIVITY	moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_FCharge	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC+	moe2D_PEOE_PC-	moe2D_PEOE_RPC+	moe2D_PEOE_RPC-	moe2D_PEOE_VSA+0	moe2D_PEOE_VSA+1	moe2D_PEOE_VSA+2	moe2D_PEOE_VSA+3	moe2D_PEOE_VSA+4	moe2D_PEOE_VSA+5	moe2D_PEOE_VSA+6	moe2D_PEOE_VSA-0	moe2D_PEOE_VSA-1	moe2D_PEOE_VSA-2	moe2D_PEOE_VSA-4	moe2D_PEOE_VSA-5	moe2D_PEOE_VSA-6	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC+	moe2D_Q_PC-	moe2D_Q_RPC+	moe2D_Q_RPC-	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_base	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nN	moe2D_a_nO	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_density	moe2D_diameter	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aasC	moe2D_kS_dO	moe2D_kS_ddsN	moe2D_kS_ddssS	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP(o/w)	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_base	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb
1-19	8.92	18.99	3.673	0.133	2.379	3.076	-2.817	-0.6476	0.6836	2.748	-2.798	-0.5381	0.7309	2.796	-2.553	-0.4693	0.8543	3.009	0	-0.8523	-0.3897	0.07937	2.853	-0.9933	-0.2727	0.1645	2.903	-0.5295	-0.2161	0.1931	3.108	26.6	12.7	6.716	19.43	9.185	4.823	5.1	2.566	-2.566	0.1021	0.1256	99.27	59.87	0	8.619	0	38.85	0	116	98.04	0	0	40.7	0.1369	0.8273	0.5523	0.0885	0.1727	0.4477	0.08419	381.8	254.8	40.84	79.69	206.6	38.85	5.581	-5.581	0.09744	0.1451	0.6943	0.4385	0.0885	0.3057	0.5615	0.2172	320.4	202.4	40.84	141.1	259.1	100.2	13.55	71.59	6.249	4.411	12.74	20.77	304.4	71.1	0	5.104	0	40.04	0	55.32	88.74	0	0	229.4	56.61	21.2	69.72	0.3419	6.285	4.112	9.919	467.6	92.73	1.449	4	18	0	64	1	35	26	29	0	0	29	3	3	0	76.08	7	0.1795	18	68	3	39	8	0.2051	47	1.043	39.2	24.2	19.34	19.65	17.03	17.08	12.23	12.21	9.388	9.064	6.055	2.012	0.8471	1.012	0.5496	13.19	6.292	6.982	3.705	0	0	10.67	3.764	4.839	1.78	0	0	5.084	1.482	2.077	0.8986	0	0.7134	21	24.32	0	3.137	38.38	0	0	0	0	-0.7708	0	0	0	0	0	6.439	2.818	0	0.5065	3.836	0	6	1	1	1	4.987	-6.401	13.67	28	0	5	9	3	0.4762	0.9091	11	0	5	461.5	655.4	40.7	0	5.683	351.9	38.85	46.38	4532	55	186
1-2	6.77	12.3	2.073	0.03	1.744	1.981	-2.821	-0.5513	0.592	2.746	-2.802	-0.4582	0.6843	2.796	-2.555	-0.4287	0.7185	3.008	0	-0.8554	-0.3807	0.05882	2.801	-0.9599	-0.2639	0.1439	2.859	-0.5296	-0.2044	0.1601	3.045	19.75	10.36	6.282	15.56	8.077	4.857	5.027	1.667	-1.667	0.1525	0.2047	128.6	42.65	0	0	0	12.95	0	79.21	98.04	0	0	13.57	0	0.9293	0.5088	0.03618	0.07071	0.4912	0.03453	348.5	190.8	13.57	26.52	184.2	12.95	3.684	-3.684	0.1476	0.2199	0.7266	0.3688	0.03618	0.2734	0.6312	0.2372	272.5	138.3	13.57	102.5	236.7	88.96	10.27	23.86	6.249	4.411	6.371	0	251.5	60.58	32.9	4.327	0	11.51	0	55.32	34.64	32.9	0	176.4	56.61	18.44	23.55	0.4243	5.755	3.767	8.938	336.5	68.87	1.299	2	12	0	53	0	25	21	22	0	0	28	2	1	0	60.39	7	0.2593	12	55	1	27	7	0.2593	42	1.302	35.53	17.48	15.33	15.1	13.8	12.22	9.099	9.29	7.15	6.634	4.584	1.207	0.5749	0.7672	0.4053	8.679	4.599	5.196	2.841	0	0	6.536	2.754	3.554	1.349	0	0	2.884	0.9574	1.478	0.6653	0	0.6582	16	20.27	0	2.178	12.39	0	0	0	0	0.127	1.917	0	0	0	0	7.803	0	0	0.7343	4.413	0	3	0	1	0	4.328	-3.921	10.4	18	1	3	8	0	0.5	1	8	0	3	375	511.2	13.57	0	0	327.2	12.95	13.57	1844	34	124
1-20	8.1	14.31	2.497	0.03	1.677	1.944	-2.817	-0.5648	0.5867	2.748	-2.798	-0.4877	0.6815	2.796	-2.553	-0.4097	0.7154	3.009	0	-0.8523	-0.3993	0.05754	2.824	-0.9725	-0.2831	0.1411	2.874	-0.5295	-0.2032	0.1589	3.071	21.24	9.871	5.024	16.59	7.635	3.859	4.524	2.028	-2.028	0.1292	0.1716	115.4	59.79	0	0	0	25.9	0	91.46	61.27	0	0	27.13	2.504	0.8552	0.4756	0.0773	0.1448	0.5244	0.06755	327.9	182.4	29.64	55.54	201.1	25.9	4.076	-4.076	0.1334	0.1987	0.6523	0.3387	0.0773	0.3477	0.6613	0.2704	250.1	129.9	29.64	133.3	253.5	103.7	10.76	47.72	17.25	4.411	14.8	0	216.2	65.84	35.38	3.86	11	16.77	0	55.32	61.69	35.38	0	141.1	56.61	23.68	49.85	0.3989	5.954	3.808	9.273	378.5	77.76	1.44	4	12	0	54	0	28	21	23	0	0	26	2	3	0	62.42	6	0.1935	12	57	2	31	6	0.1935	43	1.199	36.22	19.51	15.65	16.27	14.15	13.65	9.082	9.96	7.227	6.666	4.689	1.61	0.6804	0.8628	0.4663	10.61	4.642	5.895	2.932	0	0	8.409	2.63	4.075	1.341	0	0	4.18	1.246	1.831	0.8023	0	0.7093	17	15.64	0	2.903	25.24	0	0	0	0	-0.3708	1.56	0	0	0	0	6.735	0	5.179	0.561	3.889	0	5	0	1	0	3.99	-4.481	10.96	22	1	4	8	0	0.4706	0.8889	9	0	4	383.4	533.6	29.64	0	0	308	25.9	29.64	2384	44	148
1-21	8.66	19.15	3.619	0.398	2.505	3.03	-2.817	-0.581	0.5971	2.748	-2.798	-0.5275	0.6864	2.796	-2.553	-0.4472	0.7307	3.009	0	-0.8523	-0.3897	0.07937	2.862	-1.131	-0.2741	0.1645	2.905	-0.5295	-0.2161	0.1895	3.114	27.56	13.38	7.159	20.33	9.772	5.196	5.518	2.659	-2.659	0.0985	0.1309	105.8	68.4	0	8.619	0	38.85	0	93.67	122.5	0	0	40.7	0.1369	0.8335	0.537	0.08531	0.1665	0.463	0.08116	399	257.1	40.84	79.69	221.6	38.85	5.907	-5.907	0.09206	0.1371	0.6777	0.4274	0.08531	0.3223	0.5726	0.237	324.4	204.6	40.84	154.3	274.1	113.4	13.89	71.59	6.249	22.42	15.93	0	322.8	71.1	0	5.048	18.01	22.02	0	55.32	91.93	0	0	229.4	56.61	36.88	69.72	0.3343	6.322	4.17	9.999	481.6	96.13	1.435	4	18	0	67	1	36	27	30	0	0	31	3	3	0	79.18	8	0.2	18	71	3	40	9	0.225	50	1.032	41.38	24.91	20.05	20.36	17.74	17.58	12.64	12.67	9.741	9.641	6.464	2.012	1.051	1.047	0.6675	13.52	6.67	7.246	3.93	0	0	10.71	4.07	4.99	1.933	0	0	5.146	1.749	2.145	1.028	0	0.7084	22	24.93	0	3.422	38.61	0	0	0	0	-0.8152	0	0	0	0	0	6.809	2.878	0	0.5006	3.824	0	6	1	1	1	5.121	-6.345	14.15	28	0	5	10	3	0.5	1	11	0	5	478.7	679.8	40.7	0	5.683	367.7	38.85	46.38	4968	56	190
1-22	8.62	18.08	3.26	0.03	2.059	2.841	-2.817	-0.6209	0.664	2.748	-2.798	-0.5179	0.7661	2.796	-2.553	-0.4823	0.8097	3.009	0	-0.8523	-0.3892	0.07257	2.855	-0.9725	-0.2708	0.1585	2.902	-0.5295	-0.2161	0.1825	3.109	25.64	12.03	6.123	18.87	8.763	4.429	4.863	2.292	-2.292	0.1143	0.1301	94.78	59.87	0	8.459	0	25.9	0	79.21	134.8	0	0	40.7	0	0.8499	0.574	0.09173	0.1501	0.426	0.05837	377.1	254.7	40.7	66.6	189	25.9	5.034	-5.034	0.108	0.1609	0.7119	0.4557	0.09173	0.2881	0.5443	0.1964	315.9	202.2	40.7	127.8	241.5	87.13	13.09	71.59	6.249	4.411	15.93	0	304.4	71.52	0	5.082	0	22.45	0	55.32	91.93	0	0	229.4	56.61	18.44	57.69	0.3498	6.248	4.041	9.837	452.6	86.92	1.402	4	18	0	62	0	34	26	29	0	0	28	2	3	0	74.32	7	0.1842	18	66	3	38	7	0.1842	45	1.065	37.44	23.49	19.34	19.15	17.03	16.6	12.57	11.96	9.638	9.727	6.469	1.931	1.014	1.012	0.633	13.1	7.139	6.986	4.15	0	0	10.5	4.769	4.866	2.221	0	0	5.234	1.888	2.144	1.072	0	0.7081	20	24.32	0	3.058	38.71	0	0	0	0	-0.6863	0	0	0	0	0	6.435	0	0	0.5061	3.83	0	5	0	1	1	5.549	-6.504	13.36	28	0	5	9	3	0.5	1	10	0	5	443.7	639.1	40.7	0	0	347.4	34.36	40.7	4091	55	182
1-23	8.05	15.16	2.621	0.03	2.311	2.636	-2.817	-0.5508	0.6339	2.748	-2.798	-0.4761	0.6839	2.796	-2.553	-0.4336	0.7256	3.009	1	-0.8523	-0.3842	0.07257	2.839	-0.9726	-0.2966	0.1466	2.876	-0.5531	-0.2181	0.1825	3.074	22.2	10.08	5.087	16.83	7.559	3.785	4.386	2.771	-1.771	0.1149	0.1683	102.6	53.3	2.209	0	4.028	25.9	17.02	66.95	84.7	0	0	27.13	0	0.807	0.4657	0.07069	0.193	0.5343	0.1223	309.8	178.8	27.13	74.08	205.1	46.95	5.314	-4.314	0.2028	0.1878	0.6579	0.4051	0.09978	0.3421	0.5949	0.2423	252.5	155.5	38.3	131.3	228.3	93.02	10.7	55.28	6.249	54.11	9.557	2.757	216.2	65.84	0	3.651	0	24.32	25.6	79.42	61.69	0	0	141.1	56.61	21.2	80.93	0.3883	6	3.791	9.38	394.5	82.68	1.56	5	12	1	53	1	29	20	22	0	0	24	3	4	0	61.23	6	0.1875	12	56	3	32	6	0.1875	41	1.233	32.41	20.38	14.65	16.16	13.15	14.04	9.099	9.96	7.233	6.644	4.676	1.85	0.6554	0.8905	0.4566	10.82	4.624	5.9	2.924	0	0	8.892	2.651	4.153	1.348	0	0	4.618	1.196	1.89	0.7863	0	0.7488	16	14.75	0	1.3	36.6	-0.3512	0	0	0	-0.8961	0	0	0	0	9.234	6.1	0	0	0.458	3.637	0	7	1	1	0	3.456	-4.478	10.91	22	1	4	8	0	0.5	1	8	0	4	383.9	526.8	44.1	4.028	0	270.6	25.9	61.06	2562	47	154
1-24	7.96	14.94	2.764	0.277	1.945	2.402	-2.817	-0.5672	0.5969	2.748	-2.798	-0.4777	0.6862	2.796	-2.553	-0.4469	0.7204	3.009	0	-0.8523	-0.3897	0.05896	2.822	-1.334	-0.2769	0.1466	2.87	-0.5295	-0.2161	0.1613	3.071	20.28	9.212	4.609	15.36	6.896	3.421	3.922	2.037	-2.037	0.1293	0.1481	97.06	38.54	17.24	0	0	25.9	0	79.21	73.53	0	0	27.13	6.651	0.8366	0.5106	0.09249	0.1634	0.4894	0.07091	305.6	186.5	33.78	59.68	178.7	25.9	4.614	-4.614	0.1179	0.1951	0.6449	0.3669	0.09249	0.3551	0.6331	0.2626	235.6	134	33.78	129.7	231.2	95.91	10.55	47.72	6.249	4.411	9.557	2.757	249.1	65.84	0	3.433	32.9	16.77	0	55.32	61.69	0	0	141.1	56.61	21.2	66.64	0.4102	5.907	3.725	9.168	363.5	75.46	1.451	3	12	0	52	1	27	20	22	0	0	25	3	2	0	60.29	5	0.1667	12	55	2	30	5	0.1667	41	1.207	32.55	18.8	14.65	15.43	13.15	13.13	9.099	9.642	7.233	6.644	4.676	1.616	0.6554	0.8684	0.4566	10.25	4.624	5.748	2.924	0	0	8.433	2.651	4.037	1.348	0	0	4.15	1.196	1.829	0.7863	0	0.7083	15	15.63	0	2.556	25.1	0	0	0	0	-0.4459	0	0	0	5.899	0	6.685	0	0	0.5543	3.853	0	5	2	1	0	3.323	-4.152	10.58	22	1	4	7	0	0.4667	0.875	8	0	4	365.3	513.2	27.13	0	17.74	270.6	25.9	44.88	2128	43	144
1-25	6.47	19.16	3.673	0.04	2.334	2.936	-2.817	-0.5926	0.6585	2.748	-2.798	-0.4941	0.7203	2.796	-2.553	-0.4474	0.8237	3.009	0	-0.8523	-0.3897	0.07937	2.867	-0.9936	-0.2769	0.1645	2.915	-0.5295	-0.2161	0.1931	3.123	26.6	12.7	6.533	19.43	9.185	4.692	5.1	2.6	-2.6	0.1015	0.1236	92.57	66.57	0	8.619	0	38.85	0	103.7	110.3	0	0	40.7	0.1369	0.8273	0.5523	0.0885	0.1727	0.4477	0.08419	381.8	254.8	40.84	79.69	206.6	38.85	5.581	-5.581	0.09744	0.1451	0.6943	0.4385	0.0885	0.3057	0.5615	0.2172	320.4	202.4	40.84	141.1	259.1	100.2	13.55	71.59	6.249	4.411	12.74	20.77	304.4	71.1	0	5.104	0	40.04	0	55.32	88.74	0	0	229.4	56.61	21.2	69.72	0.3419	6.285	4.038	9.93	467.6	92.73	1.449	4	18	0	64	1	35	26	29	0	0	29	3	3	0	76.08	7	0.1795	18	68	3	39	8	0.2051	47	1.088	39.2	24.2	19.34	19.65	17.03	17.1	12.25	12.22	9.394	9.042	6.042	1.95	0.8221	0.9916	0.54	13.18	6.274	7	3.697	0	0	10.86	3.785	4.9	1.786	0	0	5.075	1.432	2.099	0.8826	0	0.7134	20	24.37	0	2.855	38.88	0	0	0	0	-0.9049	0	0	0	0	0	6.346	2.816	0	0.4894	3.814	0	6	1	1	1	4.948	-6.401	13.68	28	0	5	9	3	0.5	1	10	0	5	461.5	655.4	40.7	0	5.683	351.9	38.85	46.38	4352	56	186
1-26	7.89	13.94	2.467	0.03	1.991	2.141	-2.817	-0.5671	0.5971	2.748	-2.798	-0.4778	0.6862	2.796	-2.553	-0.4472	0.7204	3.009	0	-0.8523	-0.3897	0.05896	2.797	-0.9725	-0.2771	0.1466	2.841	-0.5295	-0.2161	0.1613	3.041	19.32	9	4.543	14.71	6.772	3.39	3.832	1.919	-1.919	0.146	0.1554	107.1	36.33	6.7	0	0	25.9	0	79.21	61.27	0	5.683	27.13	0	0.8319	0.4961	0.09394	0.1681	0.5039	0.07414	290.6	173.3	32.82	58.72	176	25.9	4.184	-4.184	0.13	0.1936	0.6617	0.3458	0.09394	0.3383	0.6542	0.2444	231.2	120.8	32.82	118.2	228.5	85.37	9.887	47.72	23.03	4.411	9.128	0	215.8	65.84	0	3.246	0	33.55	0	55.32	61.26	0	0	140.7	56.61	18.44	53.51	0.4223	5.858	3.704	9.056	349.4	72.09	1.471	4	12	0	49	0	26	19	21	0	0	23	3	2	0	57.2	5	0.1724	12	52	2	29	5	0.1724	38	1.189	32.34	17.93	14.07	14.8	12.65	12.72	8.358	9.297	6.694	5.735	4.115	1.406	0.5443	0.7785	0.3941	9.842	3.734	5.448	2.465	0	0	7.955	1.952	3.792	1.049	0	0	3.732	0.8965	1.639	0.6468	0	0.714	15	15.5	4.067	2.092	24.76	0	0	0	0	-0.4382	0	0	0	0	0	6.759	0	0	0.5688	3.853	0	5	0	1	0	2.726	-3.326	10.15	22	1	4	7	0	0.4667	0.875	8	0	4	349.3	489.4	32.82	0	0	272.9	25.9	32.82	1939	40	138
1-29	5.96	13.66	2.486	0.03	1.517	2.107	-2.819	-0.5668	0.5971	2.745	-2.798	-0.4775	0.6877	2.796	-2.553	-0.4473	0.7233	3.007	0	-0.8527	-0.3857	0.06109	2.811	-0.9345	-0.2639	0.1466	2.878	-0.5296	-0.2161	0.1613	3.064	19.32	9.467	5.093	14.86	7.201	3.843	4.117	1.631	-1.631	0.1588	0.1929	109.3	46.92	0	0	0	12.95	0	81.42	98.04	0	0	13.57	0	0.9268	0.5329	0.03746	0.07321	0.4671	0.03575	335.7	193	13.57	26.52	169.2	12.95	3.562	-3.562	0.1527	0.2274	0.7811	0.4281	0.03746	0.2189	0.5719	0.1814	282.9	155.1	13.57	79.29	207.1	65.72	10.58	23.86	6.249	4.411	9.557	0	251	78.22	0	4.682	0	11.51	0	55.32	37.83	0	0	176	74.25	18.44	23.55	0.4223	5.858	3.758	9.051	346.5	68.17	1.311	2	12	0	52	0	26	22	23	0	0	26	2	1	0	60.82	5	0.1724	12	55	2	29	5	0.1724	41	1.156	33.34	17.77	15.61	15.18	13.88	12.79	9.841	9.639	7.688	7.233	4.972	1.274	0.711	0.7725	0.4775	9.598	5.288	5.621	3.208	0	0	7.835	3.215	4.002	1.553	0	0	3.217	1.46	1.605	0.8801	0	0.6716	16	18.57	0	3.254	12.61	0	0	4.008	0	0.1432	0	0	0	0	0	7.755	0	0	0.7226	4.437	0	3	0	1	0	4.37	-4.316	10.62	23	1	4	7	1	0.5	1	8	0	4	362.2	515.9	13.57	0	0	315.8	12.95	13.57	1987	39	136
1-31a	6.0	13.71	2.35	0.03	1.495	2.007	-2.823	-0.541	0.5928	2.749	-2.809	-0.4447	0.6861	2.797	-2.557	-0.4159	0.7215	3.012	0	-0.8542	-0.3683	0.05966	2.859	-0.9597	-0.2702	0.1427	2.91	-0.5299	-0.1945	0.1608	3.106	19.32	9.467	5.093	15.37	7.457	3.984	4.408	1.653	-1.653	0.1542	0.2044	122.8	38.39	0	0	0	12.95	0	77.86	98.04	0	0	13.57	0	0.9271	0.521	0.03731	0.07292	0.479	0.03561	337.1	189.5	13.57	26.52	174.2	12.95	3.677	-3.677	0.1479	0.2203	0.7457	0.3528	0.03731	0.2543	0.6472	0.217	271.2	128.3	13.57	92.48	235.4	78.91	10.53	23.86	6.249	4.411	9.557	0	252.7	79.02	0	4.254	0	11.51	0	73.76	37.83	18.87	0	158.8	56.61	18.44	23.55	0.4223	5.858	3.758	9.051	348.5	70.12	1.298	2	12	0	54	0	26	22	23	0	0	28	2	1	0	62.15	5	0.1724	12	57	1	29	5	0.1724	44	1.156	35.53	17.77	15.61	15.44	14.14	12.79	9.841	9.929	7.92	7.233	5.125	1.274	0.711	0.8118	0.4962	9.598	5.288	5.949	3.354	0	0	7.835	3.215	4.301	1.649	0	0	3.217	1.46	1.735	0.9445	0	0.6679	16	18.83	0	3.53	12.66	0	0	0	0	0.23	0	0	0	0	0	9.863	0	0	0.7565	4.632	0	3	0	1	0	4.234	-4.105	10.66	23	1	4	7	0	0.5	1	8	0	4	363.6	521.8	13.57	0	0	315.8	12.95	13.57	1987	39	136
1-31b	7.77	13.71	2.129	0.03	1.59	2.083	-2.823	-0.5418	0.5938	2.749	-2.802	-0.4453	0.6837	2.799	-2.556	-0.4166	0.722	3.011	0	-0.8538	-0.3765	0.05965	2.859	-0.9424	-0.2741	0.1393	2.921	-0.5298	-0.1944	0.161	3.106	19.32	9.467	5.299	15.37	7.457	4.145	4.408	1.682	-1.682	0.1357	0.2008	112.1	55.62	0	0	12.95	0	0	59.11	110.3	0	0	13.57	0	0.9271	0.5032	0.03731	0.07292	0.4968	0.03561	337.1	183	13.57	26.52	180.7	12.95	3.821	-3.821	0.1489	0.212	0.7218	0.3588	0.03731	0.2782	0.6412	0.2409	262.5	130.5	13.57	101.2	233.1	87.61	10.5	23.86	6.249	4.411	9.557	0	271.1	60.58	0	4.406	0	11.51	23.86	55.32	13.97	18.87	0	158.8	56.61	36.88	23.55	0.4223	5.858	3.759	9.052	348.5	70.12	1.298	2	12	0	54	0	26	22	23	0	0	28	2	1	0	62.15	5	0.1724	12	57	1	29	5	0.1724	44	1.153	35.53	17.77	15.61	15.44	14.14	12.78	9.824	9.886	7.877	7.276	5.163	1.348	0.7416	0.8606	0.5261	9.455	5.319	5.937	3.376	0	0	7.698	3.215	4.27	1.641	0	0	3.114	1.525	1.784	1	0	0.6679	16	19.11	0	3.941	12.4	0	0	0	0	0.2965	0	0	0	0	0	9.357	0	0	0.7565	4.632	0	3	0	1	0	4.234	-4.105	10.66	23	1	4	7	0	0.5	1	8	0	4	363.6	521.8	13.57	0	0	315.8	12.95	13.57	1991	38	136
1-31c	5.8	12.51	1.929	0.03	1.487	1.712	-2.829	-0.5295	0.5927	2.75	-2.809	-0.429	0.6864	2.802	-2.561	-0.4017	0.7202	3.015	0	-0.8554	-0.3436	0.05895	2.882	-0.9292	-0.2639	0.141	2.952	-0.5299	-0.1836	0.1608	3.129	18.37	9.274	5.258	15.06	7.535	4.244	4.537	1.404	-1.404	0.0442	0.2123	129.2	38.39	0	0	0	0	0	81.01	110.3	0	0	0	0	1	0.5331	0	0	0.4669	0	358.8	191.3	0	0	167.5	0	3.4	-3.4	0.1216	0.2382	0.7794	0.3258	0	0.2206	0.6742	0.2206	279.7	116.9	0	79.15	241.9	79.15	10.49	0	6.249	4.411	9.557	0	271.1	73.76	0	4.88	0	6.249	0	73.76	13.97	18.87	0	158.8	56.61	36.88	6.48	0.4351	5.807	3.762	8.931	334.5	64.73	1.177	2	12	0	55	0	25	23	23	0	0	30	2	0	0	62.68	5	0.1786	12	58	0	28	5	0.1786	46	1.12	36.76	16.9	15.74	15.24	14.34	12.37	9.916	9.921	8.023	7.329	5.236	1.15	0.7416	0.8423	0.5261	8.989	5.387	6.019	3.455	0	0	7.354	3.285	4.385	1.712	0	0	2.574	1.547	1.725	1.021	0	0.6426	16	19.88	0	4.562	0	0	0	0	0	0	0	0	0	0	0	12.67	0	0	0.9205	5.293	0	2	0	1	0	4.787	-3.936	10.51	23	1	4	8	1	0.5	1	8	0	4	358.8	520.6	0	0	0	336.1	0	0	1832	35	130
1-31d	7.64	14.34	2.489	0.03	1.681	1.968	-2.819	-0.5536	0.5944	2.748	-2.802	-0.4611	0.6837	2.796	-2.554	-0.4309	0.723	3.009	0	-0.8523	-0.3843	0.06037	2.837	-0.9694	-0.286	0.14	2.882	-0.5298	-0.2053	0.161	3.084	20.28	9.667	5.136	15.69	7.398	3.9	4.298	1.848	-1.848	0.1413	0.1613	101.1	47.09	0	0	12.95	12.95	0	69.16	98.04	0	0	27.13	0	0.8561	0.5275	0.07365	0.1439	0.4725	0.0703	315.4	194.3	27.13	53.03	174.1	25.9	4.007	-4.007	0.142	0.2021	0.6892	0.385	0.07365	0.3108	0.615	0.2371	253.9	141.8	27.13	114.5	226.6	87.37	10.55	47.72	6.249	4.411	9.557	0	252.7	65.84	0	3.78	0	16.77	23.86	55.32	37.83	18.87	0	158.8	56.61	18.44	40.62	0.4102	5.907	3.753	9.168	362.5	73.33	1.384	3	12	0	53	0	27	21	23	0	0	26	2	2	0	61.62	5	0.1667	12	56	2	30	5	0.1667	42	1.191	34.3	18.64	15.48	15.64	13.93	13.2	9.749	9.894	7.773	7.18	5.052	1.479	0.711	0.8436	0.4962	9.99	5.22	5.853	3.275	0	0	8.335	3.149	4.213	1.585	0	0	3.654	1.439	1.771	0.9234	0	0.6931	16	18.06	0	2.909	25.04	0	0	0	0	-0.1772	0	0	0	0	0	7.271	0	0	0.5924	3.97	0	4	0	1	0	4.085	-4.492	10.78	23	1	4	7	0	0.5	1	8	0	4	368.4	522.9	27.13	0	0	295.5	25.9	27.13	2150	42	142
