__MOL_ID__	ACTIVITY	moei3D_AM1_E	moei3D_AM1_Eele	moei3D_AM1_HF	moei3D_AM1_HOMO	moei3D_AM1_IP	moei3D_AM1_LUMO	moei3D_AM1_dipole	moei3D_ASA	moei3D_ASA+	moei3D_ASA-	moei3D_ASA_H	moei3D_ASA_P	moei3D_CASA+	moei3D_CASA-	moei3D_DASA	moei3D_DCASA	moei3D_E	moei3D_E_ang	moei3D_E_ele	moei3D_E_nb	moei3D_E_oop	moex3D_E_rnb	moex3D_E_rsol	moex3D_E_rvdw	moei3D_E_sol	moei3D_E_stb	moei3D_E_str	moei3D_E_strain	moei3D_E_tor	moei3D_E_vdw	moei3D_FASA+	moei3D_FASA-	moei3D_FASA_H	moei3D_FASA_P	moei3D_FCASA+	moei3D_FCASA-	moei3D_MNDO_E	moei3D_MNDO_Eele	moei3D_MNDO_HF	moei3D_MNDO_HOMO	moei3D_MNDO_IP	moei3D_MNDO_LUMO	moei3D_MNDO_dipole	moei3D_PM3_E	moei3D_PM3_Eele	moei3D_PM3_HF	moei3D_PM3_HOMO	moei3D_PM3_IP	moei3D_PM3_LUMO	moei3D_PM3_dipole	moei3D_VSA	moei3D_dens	moei3D_dipole	moex3D_dipoleX	moex3D_dipoleY	moex3D_dipoleZ	moei3D_glob	moei3D_pmi	moex3D_pmiX	moex3D_pmiY	moex3D_pmiZ	moei3D_rgyr	moei3D_std_dim1	moei3D_std_dim2	moei3D_std_dim3	moei3D_vol
1-22	8.62	-126200	-1040000	-8.029	-9.131	9.131	-1.398	2.025	772.2	298.7	286.6	637.8	134.4	1504	1443	12.1	60.93	229.9	142.6	-125.1	213.6	120	120	2.842e-14	120	101.3	120.3	124.7	150.5	108.9	218.7	0.3869	0.3712	0.826	0.174	1.947	1.868	-126400	-1028000	-23.73	-9.27	9.27	-1.352	2.687	-117000	-1024000	-39.76	-9.077	9.077	-1.389	2.104	475.9	1.01	0.7183	-0.2336	-0.3929	0.5541	0.03509	15750	2480	11450	1824	5.9	5.566	2.254	1.043	448.2
1-23	8.05	-116200	-885600	183.6	-10.6	10.6	-7.09	26.23	654.9	249.1	220.6	525.4	129.5	1324	951.5	28.56	372.3	187.9	140.2	-135.6	171.1	119.5	119.5	0	119.5	34	119.4	130	141.3	105.2	187.2	0.3804	0.3368	0.8022	0.1978	2.021	1.453	-116500	-875800	180.4	-10.44	10.44	-7.244	28.22	-106700	-873100	149.4	-10.59	10.59	-6.934	25.36	407.7	1.058	6.961	-3.798	5.763	-0.9059	0.04566	10850	2118	8205	526.8	5.245	4.874	1.69	1.042	373
1-24	7.96	-102000	-778200	-0.438	-9.026	9.026	-0.874	3.948	638.5	259.3	194	493.3	145.2	1196	894.8	65.32	301.3	185.7	143.7	-134.1	164.9	119.4	119.4	5.684e-14	119.4	101	119	123.2	134.5	112.7	179.5	0.4061	0.3038	0.7726	0.2274	1.874	1.402	-102200	-771500	-19.43	-9.25	9.25	-1.035	3.645	-93770	-766000	-37.69	-9.024	9.024	-1.025	3.186	395.2	1.008	0.6981	-0.4892	0.4948	-0.05629	0.04636	9295	1561	7263	471.3	5.057	4.824	1.643	1.039	360.8
1-25	6.47	-131300	-1102000	-14.36	-9.119	9.119	-1.037	3.044	787.2	318.7	283.8	667.4	119.8	1778	1584	34.89	194.7	218.1	143.6	-138	199.2	119.6	119.6	2.842e-14	119.6	100.4	119.8	124.1	151.3	109.8	217.6	0.4048	0.3605	0.8479	0.1521	2.259	2.012	-131600	-1095000	-24.76	-9.263	9.263	-1.114	3.851	-121100	-1085000	-44.28	-9.06	9.06	-1.086	3.452	492.7	1.022	1.108	-1.073	-0.2577	0.09494	0.03238	17050	4688	11220	1142	6.038	5.854	2.021	1.054	457.5
1-26	7.89	-98370	-728500	5.791	-9.148	9.148	-1.342	2.503	616.4	241.8	189.3	492	124.4	1012	792.1	52.5	219.6	189.6	145.1	-122.8	174.6	119.4	119.4	0	119.4	103.8	119.4	123	137.7	105.1	178.1	0.3923	0.3072	0.7982	0.2018	1.641	1.285	-98600	-722900	-9.883	-9.285	9.285	-1.377	2.927	-90320	-717000	-22.62	-9.072	9.072	-1.395	2.137	376.2	1.017	0.5795	0.08224	0.5074	0.2676	0.0523	8548	1333	6762	452.6	4.946	4.6	1.621	1.052	343.6
1-29	5.96	-93090	-717100	21.5	-8.533	8.533	-0.2459	2.147	631.5	245.2	202.6	582.4	49.02	873.5	721.7	42.63	151.9	192.2	125.7	-119.5	195.2	120.3	120.3	1.421e-14	120.3	113.5	120.8	123.5	133.6	108	194.5	0.3884	0.3208	0.9224	0.07764	1.383	1.143	-93270	-710100	27.91	-8.521	8.521	-0.4058	2.218	-86340	-705700	7.282	-8.554	8.554	-0.4183	1.963	386.1	0.9568	0.5349	0.2721	0.2641	0.3773	0.04512	9001	1615	6960	426.5	5.097	4.818	1.576	1.023	362.1
1-31a	6.0	-93730	-735500	3.648	-9.149	9.149	-0.164	2.784	637.6	215.2	177.7	582.2	55.37	791.3	653.3	37.52	138	192.1	126.8	-119.7	195.1	121.7	121.7	0	121.7	115.7	122.2	124.8	134.8	109.9	193.1	0.3375	0.2787	0.9132	0.08684	1.241	1.025	-93940	-727900	11.28	-9.291	9.291	-0.3914	2.821	-87060	-727300	-8.739	-9.084	9.084	-0.3049	2.432	393.8	0.9483	0.686	0.464	0.2766	0.4229	0.05463	9017	1610	7007	399.9	5.087	4.781	1.528	1.117	367.5
1-31b	7.77	-93740	-735300	2.487	-9.139	9.139	0.1178	2.692	639.1	212.9	181.7	576.1	63.08	813.3	694.3	31.16	119	194.7	128.1	-122.4	192.6	121.3	121.3	-1.421e-14	121.3	114.9	121.3	124.3	137.5	113.7	193.7	0.3331	0.2843	0.9013	0.09869	1.272	1.086	-93940	-727600	11.04	-9.311	9.311	-0.1651	2.931	-87060	-725500	-10.32	-9.099	9.099	0.01749	2.269	394	0.9538	0.5339	0.3575	0.05737	0.3924	0.04383	8859	1319	6881	658.9	5.042	4.68	1.818	0.9797	365.4
1-31c	5.8	-86980	-692900	53.46	-8.988	8.988	0.4999	1.676	639	208.9	159.5	609.8	29.26	710.5	542.3	49.48	168.2	73.79	2.181	7.721	86	0.000194	1.421e-14	1.421e-14	0	-5.069	0.1621	2.539	15.01	-17.09	78.28	0.327	0.2495	0.9542	0.04579	1.112	0.8486	-87160	-684400	51.74	-9.232	9.232	0.1789	1.215	-81000	-682600	32.96	-9.031	9.031	0.33	1.956	390.1	0.9161	0.8306	-0.7418	-0.3666	0.07168	0.0419	8820	1507	6737	575.7	5.135	4.784	1.634	0.9794	365.1
1-31d	7.64	-100500	-778900	-29.08	-9.053	9.053	-0.6646	3.61	637.7	221	199.5	552.2	85.48	885.6	799.2	21.57	86.41	187.5	129.6	-126.5	186.2	119.3	119.3	2.842e-14	119.3	109	120.2	122.8	135.9	105.9	193.4	0.3466	0.3128	0.866	0.134	1.389	1.253	-100700	-770900	-23.12	-9.24	9.24	-0.7552	3.238	-93120	-766900	-44.93	-8.988	8.988	-0.7452	3.227	393.1	0.99	0.6826	-0.3766	0.5693	0.01017	0.04519	9218	1683	7070	465	5.043	4.835	1.586	1.028	366.1
1-34	5.92	-94590	-719300	30.09	-9.042	9.042	-0.474	1.028	623.3	252.7	186.6	540.4	82.87	991.1	732.1	66.04	259.1	176.2	127.5	-134.3	177.2	120	120	1.421e-14	120	105	120	123.8	134.3	107.8	191.5	0.4054	0.2994	0.8671	0.1329	1.59	1.174	-94770	-712800	29.81	-8.973	8.973	-0.5921	1.113	-86990	-707100	12.12	-9.045	9.045	-0.6089	0.9375	384.2	0.9784	0.3312	-0.1219	-0.2692	0.1496	0.04536	8995	1575	6994	425.3	5.088	4.812	1.54	1.025	355.1
1-35	6.1	-95230	-738500	19.19	-9.186	9.186	-0.2088	2.076	635.2	243.5	176.4	550.4	84.78	1072	776.6	67.1	295.4	185	131	-142.7	172	121.7	121.7	0	121.7	106.1	122.4	124.7	137.7	121.7	193	0.3833	0.2777	0.8665	0.1335	1.688	1.223	-95440	-732100	21.08	-9.288	9.288	-0.426	1.955	-87710	-727900	1.424	-9.128	9.128	-0.3879	1.58	390.8	0.9631	0.7053	0.4465	0.112	0.5344	0.0541	9010	1568	7045	397.3	5.077	4.78	1.522	1.112	362.9
1-37	8.38	-102000	-783000	-19.88	-9.035	9.035	-0.5795	3.213	630.7	249.7	199.3	520.3	110.4	1101	879.2	50.39	222.3	162.2	129.6	-151.3	162.3	119.7	119.7	0	119.7	100.9	119.7	123.2	136.3	106.3	193.9	0.396	0.3161	0.8249	0.1751	1.746	1.394	-102200	-774900	4.144	-9.245	9.245	-0.7017	3.223	-93780	-768800	-44.72	-9.002	9.002	-0.707	3.049	388.8	1.009	0.8223	-0.3245	0.7544	0.04132	0.04515	9167	1602	7104	461	5.022	4.814	1.576	1.023	360.4
1-38	7.89	-95230	-740400	13.64	-8.773	8.773	0.1351	2.274	634.2	240.8	184.5	549.4	84.75	1017	779.4	56.28	237.8	161.4	130.5	-154	158.5	121.5	121.5	0	121.5	106.4	121.2	125	136.8	112.2	191	0.3797	0.2909	0.8664	0.1336	1.604	1.229	-95440	-732100	14.58	-8.85	8.85	-0.09067	2.512	-87720	-727600	-8.283	-8.762	8.762	-0.03381	2.08	389.8	0.9694	0.5853	0.3298	0.2545	0.4111	0.05148	8897	1276	7147	474.3	5.046	4.674	1.748	1.061	360.5
1-39	8.35	-110300	-829200	-26.71	-9.106	9.106	-0.8738	2.017	654.9	227.3	246	544.5	110.4	1009	1092	18.73	83.11	161.3	129.7	-153.1	161.2	119.7	119.7	0	119.7	100.8	119.8	123.3	136.4	106.3	194.5	0.347	0.3756	0.8314	0.1686	1.54	1.667	-110100	-820200	-12.79	-9.272	9.272	-1.087	1.357	-100700	-814800	-43.69	-9.023	9.023	-0.9271	2.157	406.2	1.057	0.4416	-0.3364	0.2847	0.02813	0.045	11870	1744	9661	461.1	5.461	4.836	1.579	1.026	376.5
1-3a	7.46	-106200	-911700	44.18	-8.708	8.708	-0.05503	4.042	702.8	292.1	253.8	659.2	43.56	1241	1079	38.23	162.5	285.1	106.3	-100.6	284.8	100.7	100.7	7.105e-14	100.7	83.12	101.3	103.7	194.3	91.95	284.7	0.4156	0.3612	0.938	0.06198	1.767	1.535	-106300	-894000	82.4	-9.279	9.279	-0.1656	3.299	-98680	-899800	28.35	-8.723	8.723	-0.1271	3.835	435.7	0.9546	1.307	-0.6596	-1.099	0.2567	0.08283	9027	1479	4894	2654	4.759	4.054	2.389	1.167	417.5
1-3b	6.23	-117100	-1019000	7.512	-8.629	8.629	0.03061	4.444	745.5	296.5	239.2	660.1	85.35	1323	1068	57.35	256	318.2	110	-102.7	312.7	99.7	99.7	0	99.7	86.3	99.94	103	218.2	91.29	315.7	0.3978	0.3209	0.8855	0.1145	1.775	1.432	-117400	-1005000	9.681	-9.307	9.307	-0.3352	4.531	-108900	-1009000	-4.346	-8.617	8.617	-0.3232	4.83	462.8	0.974	1.471	-0.4338	-1.35	0.3941	0.08226	10360	2240	4927	3189	4.916	4.009	2.748	1.15	440
1-3c	7.74	-117000	-969200	0.2379	-8.748	8.748	-0.3397	3.083	707.9	280.9	269.3	664.8	43.06	1205	1155	11.57	49.66	283.6	105.9	-101.4	282.9	100.2	100.2	4.263e-14	100.2	89.03	100.8	103.2	193.9	91.43	284.2	0.3968	0.3804	0.9392	0.06083	1.702	1.632	-117100	-956100	7.879	-9.031	9.031	-0.5845	2.667	-108500	-958400	-15.26	-8.84	8.84	-0.4694	3.036	439.6	0.9929	1.031	-0.3469	-0.8751	0.4215	0.083	9845	1959	4898	2988	4.862	4.054	2.398	1.168	419.5
1-3d	8.27	-125400	-1072000	228.3	-10.81	10.81	-6.966	21.13	742.2	302.9	282.5	643.7	98.48	1727	1328	20.41	398.8	307.7	106	-88.5	299.7	99.96	99.96	0	99.96	2.442	100.7	110	200.7	91.21	288.2	0.4081	0.3806	0.8673	0.1327	2.326	1.789	NA	NA	NA	NA	NA	NA	0	-115700	-1058000	207.5	-10.87	10.87	-6.934	21.8	463.5	1.015	6.612	-5.424	-0.9123	-3.67	0.08054	11310	2849	4924	3532	5.043	4.075	2.692	1.157	437.9
1-3e	7.19	-107600	-912900	55.8	-8.822	8.822	-0.2718	2.931	688.8	320.2	213.2	627.3	61.56	1415	942.3	107	473.1	277.8	108.9	-106.6	274.4	100.7	100.7	0	100.7	72.99	101.5	103.9	193.4	91.87	280.3	0.4648	0.3095	0.9106	0.08937	2.055	1.368	-107800	-898300	63.4	-9.26	9.26	-0.4085	2.674	-99330	-900100	52.35	-9.223	9.223	-0.4088	2.972	431.2	0.9736	0.9696	-0.2192	-0.8018	0.4992	0.08238	9048	1627	4771	2650	4.759	4.048	2.318	1.162	410.4
1-3f	5.03	-108100	-966700	-15.7	-8.755	8.755	0.3929	3.786	722.7	200.4	174.4	688.8	33.88	701.7	610.5	26.06	91.22	217.4	105.4	-106.6	224.7	100.1	100.1	2.842e-14	100.1	86.48	100.3	103.5	147.7	84.1	231.2	0.2773	0.2413	0.9531	0.04688	0.9709	0.8447	-108400	-948400	3.223	-9.294	9.294	0.1992	3.215	-100800	-957700	-22.69	-8.61	8.61	0.2414	3.922	460.3	0.9355	1.171	-0.208	-1.153	-0.009033	0.08491	9534	3609	5084	840.1	4.854	4.206	2.401	1.226	432.5
1-3g	7.28	-90770	-713500	7.589	-8.756	8.756	0.408	3.945	621.4	229.9	180.1	573.2	48.2	804.9	630.5	49.8	174.3	197	104.6	-106.4	198.5	99.92	99.92	2.842e-14	99.92	84.82	100.2	102.4	133	90.9	205	0.37	0.2899	0.9224	0.07758	1.295	1.015	-90980	-704600	17.14	-9.315	9.315	0.1845	3.462	-84330	-706200	-7.436	-8.669	8.669	0.2399	4.008	383.2	0.9356	1.173	-0.2993	-1.119	0.1861	0.06947	7015	1240	5137	638.1	4.566	3.998	2.056	1.054	359.6
1-3h	6.08	-94370	-762600	6.428	-8.924	8.924	0.4226	3.684	667.7	222.5	175.7	624.4	43.35	778.8	615.2	46.73	163.6	185.9	104.6	-102.7	170.5	99.67	99.67	-4.263e-14	99.67	82.32	99.95	102.3	122.5	107.1	173.6	0.3332	0.2632	0.9351	0.06493	1.166	0.9213	-94590	-752000	13.17	-9.291	9.291	0.1802	3.344	-87770	-753300	-12.73	-9.18	9.18	0.2509	3.586	410.9	0.9242	1.148	-0.1452	-1.126	-0.1747	0.09142	7592	1949	4744	899.9	4.654	4.072	2.15	1.231	379.2
1-3i	7.34	-101700	-815300	-29.85	-8.831	8.831	0.3526	2.899	677.6	245.7	169.4	583	94.56	912.4	629	76.34	283.5	218.4	109.3	-106.8	194.9	99.79	99.79	-1.421e-14	99.79	82.09	99.78	102.5	146.4	111.1	201.9	0.3627	0.25	0.8605	0.1395	1.347	0.9283	-102000	-807000	-22.26	-9.221	9.221	0.07915	2.619	-94540	-805500	-46.36	-9.154	9.154	0.1943	2.913	419	0.9532	0.9131	0.08828	-0.8628	-0.2854	0.09152	8205	1595	4995	1615	4.731	4.027	2.428	1.218	384.5
1-3j	6.15	-101700	-813900	-29.61	-8.415	8.415	0.3753	4.632	662.9	232.7	166.6	575	87.9	864	618.7	66.05	245.3	229.7	109.2	-109.4	226.2	99.67	99.67	1.421e-14	99.67	86.88	99.69	102.4	156.8	90.98	235.9	0.351	0.2514	0.8674	0.1326	1.303	0.9334	-102000	-802500	-20.18	-9.045	9.045	0.0609	4.476	-94540	-804600	-44.84	-8.387	8.387	0.2204	4.811	410.3	0.9566	1.496	-0.1857	-1.467	0.2237	0.06787	8337	1424	6040	873.5	4.77	4.015	2.478	1.046	383.1
1-3k	7.19	-101600	-768500	-37.05	-8.972	8.972	0.1338	5.429	627.5	218.8	197.2	579.3	48.2	774.7	698	21.65	76.65	194.3	105.3	-110.1	195.5	100.4	100.4	-1.421e-14	100.4	85.49	100.8	102.9	133.5	91.39	205.3	0.3487	0.3142	0.9232	0.07682	1.235	1.112	-101700	-758800	-26.55	-9.396	9.396	-0.1475	4.193	-94120	-757300	-37.21	-8.898	8.898	0.01566	5.673	386.8	0.986	1.567	-0.2617	-1.536	0.168	0.06923	7958	1240	6050	668.7	4.738	4.006	2.058	1.054	359.5
1-3l	6.69	-101600	-767900	-37.35	-8.791	8.791	0.0952	5.219	627	218.7	196.9	578.8	48.2	774.4	697.2	21.8	77.2	195.5	105.2	-108.8	196.7	100.4	100.4	-2.842e-14	100.4	90.16	100.7	102.9	133.1	91.35	205.2	0.3488	0.3141	0.9231	0.07688	1.235	1.112	-101700	-758200	-13.58	-9.361	9.361	-0.1986	4.821	-94120	-758300	-51.14	-8.78	8.78	-0.00178	5.347	387.2	0.9836	1.469	-0.5845	-1.348	-0.01995	0.06952	7822	1305	5767	750.3	4.698	4	2.067	1.055	360.4
1-3m	4.92	-84020	-673500	39.28	-8.157	8.157	0.4774	2.005	622.9	200	155.5	598.4	24.52	658.3	511.9	44.49	146.4	175.8	107.7	-102	177.3	99.86	99.86	-1.421e-14	99.86	93.58	100.1	102.1	118	88.02	179.4	0.3211	0.2496	0.9606	0.03937	1.057	0.8217	-84210	-665400	52.45	-9.005	9.005	0.264	0.898	-78270	-662700	26.04	-8.359	8.359	0.3264	2.141	387.4	0.894	0.639	-0.5667	-0.2763	-0.1044	0.08198	6626	1158	4907	560.6	4.533	4.098	1.93	1.173	360.8
1-3n	6.97	-92270	-715900	24.59	-9.322	9.322	0.1598	5.461	625.8	272.2	142.2	556.1	69.72	999.3	522	130	477.2	182.8	106.7	-108.1	161.7	99.57	99.57	-1.421e-14	99.57	80.8	99.96	102.2	123.9	110.5	170.3	0.435	0.2272	0.8886	0.1114	1.597	0.8341	-92480	-706400	24.26	-9.388	9.388	0.00206	4.934	-84980	-706400	15.61	-9.238	9.238	-0.1059	5.203	387.1	0.9486	1.559	-0.5657	-1.389	-0.4232	0.09989	7010	1528	4570	913.1	4.558	3.916	1.964	1.238	355.8
