__MOL_ID__	ACTIVITY	LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO
1-35	6.1	3.14	36.5	1	2	3	26	4	5	4	2	683.1	43.4	-7.8	412	1161.5	3.9	8.17e-06	4	2.9	5.43e-05	639.7	5.1	0
1-37	8.38	0.01	24.6	2	2	4	27	5	5	4	3	686.8	69.4	-11.6	414.7	1160.9	3.8	7.17e-06	5	4.2	3.74e-06	617.4	5.2	0
1-38	7.89	0	34.7	1	2	3	26	4	5	4	2	693.6	55.7	-10.1	411.5	1160.9	4.3	3.68e-06	4	4.5	2.47e-06	637.9	5.1	0
1-39	8.35	0	25.9	2	2	4	28	6	5	4	3	706.3	69.4	-11.9	435.5	1216.8	4.3	1.56e-06	5	4.8	5.92e-07	636.9	5.3	0
1-3a	7.46	5.93	33.4	1	1	2	30	3	5	4	3	764	17	-6	479	1302.8	5.1	3.3e-07	3	5.7	1.02e-07	746.9	4.8	0
1-3b	6.23	5.95	35.5	2	1	3	32	4	5	4	3	815.2	31.7	-8.2	504.4	1377.4	4.8	3.9e-07	4	5.8	5.28e-08	783.5	5	0
1-3c	7.74	5.89	34	1	1	2	31	4	5	4	3	767.1	17	-5.1	485.4	1321.8	5.5	1.18e-07	3	5.9	5.11e-08	750.1	4.9	0
1-3d	8.27	5.9	35	3	1	4	33	6	5	4	3	792.5	98.2	-8.3	501.3	1366.7	5.1	6.34e-08	6	5.5	2.81e-08	694.4	5	0
1-3e	7.19	5.75	33.7	2	1	3	30	4	5	4	3	765.1	39.7	-9.8	471.9	1286.4	4.1	2.36e-06	4	4.5	1.04e-06	725.4	4.8	0
1-3f	5.03	1.79	34.4	1	1	2	30	3	6	4	2	775.2	13.3	-2.2	489.6	1348.7	5.1	3.23e-07	3	6.4	2.48e-08	761.9	5	0
1-3g	7.28	1.05	31.1	1	1	2	25	3	5	3	2	691.9	27.3	-5.8	408.7	1140.7	4	7.81e-06	3	4.1	6.74e-06	664.6	4.6	0
1-3h	6.08	0.01	33.4	1	1	2	26	3	6	3	2	728.3	24.6	-3	430.8	1215.1	4.3	4.04e-06	3	4.6	2.03e-06	703.7	4.8	0
1-3i	7.34	0.01	33.2	2	1	3	27	4	5	3	2	757	48.4	-6.7	436.9	1234.1	3.7	8.94e-06	4	4.2	3.48e-06	708.6	4.8	0
1-3j	6.15	1.07	33.2	2	1	3	27	4	5	3	2	736.1	43.1	-8.1	434.1	1215.5	3.7	8.94e-06	4	4.2	3.48e-06	693	4.8	0
1-3k	7.19	1.07	31.7	1	1	2	26	4	5	3	2	694.8	27.3	-4.7	415	1159.7	4.4	2.76e-06	3	4.3	3.36e-06	667.5	4.7	0
1-3l	6.69	1.05	31.7	1	1	2	26	4	5	3	2	694.4	27.3	-4.8	415.1	1159.5	4.4	2.76e-06	3	4.3	3.36e-06	667	4.6	0
1-3m	4.92	0.03	33.4	0	1	1	24	2	6	3	2	690.2	3	-4.4	410	1149.1	4.5	3.62e-06	2	5.8	2.81e-07	687.1	4.7	0
1-3n	6.97	0.01	31.4	2	1	3	25	4	5	3	2	689.9	66.9	-9.3	404.1	1142.4	3	5.78e-05	4	3.5	2.27e-05	623	4.5	0
1-3o	6.18	0	28.8	1	1	2	20	3	5	2	1	624.6	29.3	-6.2	336.8	983	2.9	0.000216	3	2.7	0.000307	595.3	4.4	0
1-40	6.57	0	32	1	1	2	22	3	5	3	1	656.3	29.3	-5.8	362.6	1048.8	3.3	5.54e-05	3	3.6	3.58e-05	627	4.6	0
1-9	7.01	0	33.3	1	1	2	25	3	5	4	2	686.5	31.2	-7.6	401.1	1139.9	4.3	4.77e-06	3	3.9	1.15e-05	655.4	5.1	0
2-12	4.34	-0.01	34.6	0	2	2	23	2	7	3	2	697	15.2	-17.2	390.1	1125.9	4.3	6.93e-06	2	4.7	3.21e-06	681.8	5.1	0
2-14	6.89	0	33.4	1	1	2	26	3	6	3	2	692.6	27	-6.7	426.9	1195.6	4.3	4.04e-06	3	4.4	3e-06	665.6	5.1	0
2-15	6.03	0.03	34.2	1	1	2	31	3	7	4	3	751.7	20.3	-5.2	501	1351.7	5.3	1.76e-07	3	5.6	9.68e-08	731.4	4.8	0
2-21	9.22	0.37	36.8	3	1	4	35	6	8	4	3	878.6	73.6	-11.5	556.3	1543.9	4.9	1.19e-07	5	4.2	4.35e-07	805	7.1	0
2-22	9.52	0.37	39.1	3	1	4	36	6	9	4	3	883.9	85.1	-13	574	1580.3	5	6.42e-08	5	4.7	1.31e-07	798.8	6.9	0
2-23	9.22	6.02	39.1	3	1	4	40	6	8	5	4	963.9	68.3	-11.6	626.1	1687.7	5.9	5.86e-09	5	6	4.48e-09	895.6	6	0
2-24	4.59	0.01	23.7	1	1	2	18	3	3	2	1	533.6	46.8	-30.1	293.8	867.2	2.4	0.00091	3	2	0.00196	486.7	4.2	0
2-25	6.11	0.04	31.5	1	1	2	26	3	5	3	2	685.1	22.9	-3.6	427	1201.3	4.3	4.04e-06	3	4.5	2.68e-06	662.2	5.2	0
2-26	6.84	0	31.5	1	1	2	26	3	5	3	2	727.2	22.3	-6.2	427.2	1211.4	4.3	4.04e-06	3	4.5	2.68e-06	704.8	5.4	0
2-27	4.39	0	31.5	1	1	2	26	3	5	3	2	732.5	22.3	-6.1	427.2	1211.4	4.3	4.04e-06	3	4.5	2.68e-06	710.2	5.4	0
2-28	4.85	0.33	32.7	3	1	4	28	6	5	3	2	695.2	82.8	-5.5	430.6	1206.8	4	1.5e-06	6	3.7	2.73e-06	612.3	5.2	0
2-29	6.43	0.01	32.7	3	1	4	28	6	5	3	2	725.7	114.9	-8.8	431.8	1223.4	4	1.5e-06	6	3.7	2.73e-06	610.9	5.3	0
2-30	5.48	0.01	32.7	3	1	4	28	6	5	3	2	736.6	113.6	-8.8	431.6	1223.1	4	1.5e-06	6	3.7	2.73e-06	623	5.3	0
2-31	4.89	-0.01	33.4	1	1	2	26	3	6	3	2	698.2	22	-5.8	430	1221.3	4	6.85e-06	3	4.2	4.64e-06	676.2	5.6	0
2-32	4.27	0.01	34.9	1	1	2	27	3	5	3	2	742.9	23.3	-6.8	445	1262.3	4.1	4.31e-06	3	4.7	1.42e-06	719.6	5.6	0
2-33	4.28	0.01	30.3	2	0	2	26	4	3	3	2	691.3	47.1	-5.8	409.1	1156.5	3.6	1.61e-05	4	2.9	5.93e-05	644.2	5.2	0
2-34	4.42	0.02	30.5	1	1	2	22	3	5	3	1	640.3	23.3	-5.8	365.7	1066.3	3.3	5.54e-05	3	3.5	4.17e-05	617	5	0
2-35	6.39	0.02	33.6	1	1	2	25	3	5	3	1	677.7	21.8	-2.3	417.8	1192.6	4	7.33e-06	3	5	1.14e-06	655.9	5.4	0
2-36	4.62	0.08	32.8	1	1	2	29	3	5	5	1	731.5	23.9	-2.3	465.2	1286.1	4.9	5.9e-07	3	5.8	9.89e-08	707.6	5.5	0
2-3b	6.0	0.16	27	1	2	3	25	3	5	3	2	740.2	17.6	-6	408.4	1166.2	4	7.81e-06	3	4.9	1.33e-06	722.6	5.3	0
2-3c	6.33	0	27	1	2	3	25	3	5	3	2	751.6	30.3	-8.4	410.2	1177.7	4	7.81e-06	3	4.9	1.33e-06	721.3	5.5	0
2-3d	6.74	0	27	1	2	3	25	3	5	3	2	750	30.3	-8.3	410.2	1177.5	4	7.81e-06	3	4.9	1.33e-06	719.7	5.6	0
2-3e	6.06	1.29	28.3	3	2	5	27	6	5	3	2	755.2	103	-9.6	414	1181.9	3.8	2.92e-06	6	4.2	1.36e-06	652.3	5.3	0
2-3f	6.64	0	28.3	3	2	5	27	6	5	3	2	758.6	130.3	-11.2	414.7	1189.5	3.8	2.92e-06	6	4.2	1.36e-06	628.3	5.5	0
2-3g	7.26	0.01	28.3	3	2	5	27	6	5	3	2	752.2	136.9	-11.4	414.7	1189.4	3.8	2.92e-06	6	4.2	1.36e-06	615.3	5.6	0
2-3h	7.06	0.01	28.7	2	2	4	26	4	5	3	2	764.1	46.1	-10.7	417.8	1200.8	3.5	1.73e-05	4	4.5	2.55e-06	718	5.7	0
2-3i	6.92	0.01	28.8	2	2	4	26	4	5	3	2	750.7	77.9	-15.6	411.9	1180.9	3.2	3.52e-05	4	4.1	5.39e-06	672.8	5.5	0
2-3j	6.74	0	28.1	1	2	3	25	4	5	3	2	741.6	30.3	-8.6	413.3	1182	4.3	3.27e-06	3	5	7.82e-07	711.3	5.3	0
2-3k	7.07	0.01	27.2	1	2	3	25	4	5	3	2	720.8	30.3	-7.2	398.8	1144.8	4.2	5.34e-06	3	4.6	2.47e-06	690.5	5.2	0
2-3l	7.29	0	29.2	2	2	4	27	4	5	3	2	777.9	68.7	-12.2	430.2	1230.9	3.4	1.82e-05	4	4.1	4.58e-06	709.2	5.8	0
2-3m	7.54	0.38	32.4	3	2	5	34	6	8	4	3	911.5	87.9	-14.7	539.6	1510.9	4.7	2.2e-07	5	4.7	2.16e-07	823.6	7.2	0
2-3n	6.1	0	26.9	2	2	4	24	4	5	3	2	718.5	48.5	-10.1	385.5	1114.7	2.8	0.000113	4	3.8	1.42e-05	670.1	5.2	0
2-3o	7.16	0.01	26.9	2	2	4	24	4	5	3	2	711	59.3	-12.8	385.2	1109.2	3.3	4.15e-05	4	3.2	5.04e-05	651.7	5.1	0
2-3p	7.41	0.01	26.9	2	2	4	24	4	5	3	2	711.8	63.4	-13.4	385.1	1109.4	2.8	0.000113	4	3.2	5.04e-05	648.4	5.1	0
2-3r	5.8	0.43	27.6	1	2	3	24	3	6	3	1	744.6	27.7	-5.3	399.6	1159.2	3.8	1.43e-05	3	4.8	2.16e-06	716.9	5.5	0
2-9	6.28	0	29.8	1	1	2	24	2	6	3	2	731.8	23.8	-7.4	398.9	1137.3	4.2	7.3e-06	2	5.3	7.6e-07	708	5.2	0
3-12a	7.89	0	30.5	3	1	4	28	4	3	4	2	702.6	58.3	-9.4	432.4	1232.7	3.4	1.27e-05	4	5.1	4.89e-07	644.3	5.5	0
3-13a	4.3	0.03	29.7	4	0	4	29	5	2	4	2	752.3	91	-11.2	436.3	1236.8	3.1	2.09e-05	5	3.8	4.44e-06	661.3	5.4	1
3-13b	5.27	0.01	23	3	1	4	21	4	2	3	1	562.1	96	-42.2	320.1	943.3	1.9	0.00108	4	2.9	0.000147	466	4.4	1
3-13c	5.68	0	27.4	1	1	2	25	2	4	4	2	643.3	19	-4.8	402.5	1125.1	4.4	3.91e-06	2	5.7	3.05e-07	624.3	4.7	1
3-13d	4.82	0	28.4	1	1	2	26	2	4	4	2	717.7	27.5	-5.8	420.6	1163	4.6	2.04e-06	2	6.2	9.19e-08	690.1	4.7	1
3-13e_E2020	8.24	0.01	30.5	3	1	4	28	4	4	4	2	746.3	51	-8.9	436.1	1236.8	3.5	1.05e-05	4	4.9	7.46e-07	695.3	5.4	1
3-13f	7.09	0	28.4	2	1	3	26	3	4	4	2	698.7	48.4	-7.8	410.8	1162.7	3.8	9.14e-06	3	5.3	5.23e-07	650.4	5.2	1
3-13g	8.19	0.01	28.4	2	1	3	26	3	4	4	2	710.8	47.6	-7.8	410.5	1162.2	3.8	9.14e-06	3	5.3	5.23e-07	663.3	5.2	1
3-13h	7.92	0.01	28.4	2	1	3	26	3	4	4	2	699.9	43.1	-7.4	410.6	1161.3	3.8	9.14e-06	3	5.3	5.23e-07	656.8	5	1
3-13i	7.07	1.41	30.5	3	1	4	28	4	4	4	2	728.8	34.2	-7.1	438.2	1236.6	3.5	1.05e-05	4	4.9	7.46e-07	694.6	5.3	1
3-13j	7.6	0.01	30.5	3	1	4	28	4	4	4	2	747.3	50.7	-8.9	435.9	1234.1	3.5	1.05e-05	4	5.4	2.7e-07	696.6	5.4	1
3-13k	7.44	0.01	30.5	3	1	4	28	4	4	4	2	738.8	45.7	-8.4	436	1233.6	3.5	1.05e-05	4	5.4	2.7e-07	693.1	5.2	1
3-13l	7.7	1.39	30.5	3	1	4	28	4	4	4	2	741.3	49.7	-8.7	438	1238.1	3.5	1.05e-05	4	4.9	7.46e-07	691.6	5.2	1
3-13m	7.89	1.93	32.6	4	1	5	30	5	4	4	2	760.1	38	-8.3	465.6	1315.7	3.2	1.18e-05	5	4.7	5.87e-07	722.1	5.5	1
3-13n	5.48	0	28.3	3	1	4	27	4	3	4	2	658.2	48.3	-9.3	416	1176.9	3.3	2.02e-05	4	4.4	2.48e-06	609.8	5.1	1
3-13o	7.52	0.01	32.8	3	1	4	29	4	5	4	2	812.5	49.8	-11.5	455.1	1290.9	3.7	5.54e-06	4	5.4	2.24e-07	762.6	5.3	1
3-15a	6.32	0	30.5	3	1	4	28	4	4	4	2	733	49.4	-8.6	436.7	1237.8	3.2	1.79e-05	4	4.9	7.46e-07	683.6	5.3	1
3-15b	7.03	0.01	34.8	3	2	5	28	5	4	4	2	735.3	52.6	-10.9	431.4	1229.5	2.5	7.27e-05	5	2.7	5.39e-05	682.6	5.3	1
3-16a	8.0	0.04	30.9	3	1	4	29	4	4	4	2	751.5	51.3	-8.4	453.5	1278.4	3.7	5.54e-06	4	5.4	2.01e-07	700.2	5.4	1
3-16b	8.7	0	30.9	3	1	4	29	4	4	4	2	777.5	51	-8.8	453.8	1288.3	3.7	5.54e-06	4	5.4	2.01e-07	726.5	5.6	1
3-16c	7.4	0	30.9	3	1	4	29	4	4	4	2	774.3	51	-8.9	453.9	1288.5	3.7	5.54e-06	4	5.4	2.01e-07	723.3	5.6	1
3-16d	6.8	0.25	32.1	5	1	6	31	7	4	4	2	759.2	110.4	-10.1	457.2	1285.1	3.6	1.84e-06	7	4.7	2.04e-07	648.8	5.4	1
3-16e	8.4	0.01	32.1	5	1	6	31	7	4	4	2	784.8	149.7	-11.9	458.5	1300.6	3.6	1.84e-06	7	4.7	2.04e-07	635.1	5.5	1
3-16f	7.0	0.02	32.1	5	1	6	31	7	4	4	2	777.4	159	-12.1	458.5	1300.5	3.6	1.84e-06	7	4.7	2.04e-07	618.4	5.5	1
3-16g	8.05	0.02	33	3	1	4	28	4	4	4	1	750.2	50.5	-6.9	444.3	1271	3.5	9.91e-06	4	5.9	8.5e-08	699.7	5.7	1
3-16h	6.74	0	32.8	3	1	4	29	4	5	4	2	848.1	62.5	-12.4	456.3	1298.2	3.5	9.39e-06	4	5.1	3.48e-07	785.6	5.8	1
3-17	6.52	0.9	33.4	3	2	5	28	4	4	4	2	724.2	65	-11.9	439.4	1245	3.6	8.72e-06	4	4.7	1.03e-06	659.2	5.2	2
3-18	5.36	0.01	31	2	1	3	27	3	4	4	2	703.3	21.1	-6.7	431.3	1222.9	4.3	2.82e-06	3	6.1	7.98e-08	682.1	5.1	0
3-9	6.82	0.01	26.4	1	1	2	24	2	4	4	2	651	35	-5.8	385.3	1087.8	4.2	7.55e-06	2	5.2	1.02e-06	616	4.7	1
