__MOL_ID__	LogS	QikProp_#stars	QikProp_#amine	QikProp_#amidine	QikProp_#acid	QikProp_#amide	QikProp_#rotor	QikProp_#rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
95-47-6	-2.8	8	0	0	0	0	0	0	2	106.167	0.703	319.462	151.043	0	168.419	0	484.901	0	0	0.0010188	0	0.9343617	14.86	4.047	3.938	0.684	2.814	-2.474	-2.864	-3.397	9906.038	0.494	5899.293	-0.926	9.403	-0.447	2	0.026	3	100	0	0	0	0	0	6	0	6	0	8	0	0
106-42-3	-2.77	9	0	0	0	0	0	0	2	106.167	0.003	327.255	175.752	0	151.503	0	494.864	0	0	0	0	0.9245616	15.097	3.929	3.962	0.721	3.104	-2.855	-2.967	-3.475	9906.038	0.544	5899.293	-0.986	9.307	-0.426	2	0.055	3	100	0	0	0	0	0	6	0	6	0	8	0	0
108-38-3	-2.82	9	0	0	0	0	0	0	2	106.167	0.379	327.257	175.75	0	151.507	0	494.867	0	0	0.0002896	0	0.9245602	15.097	3.929	3.966	0.721	3.104	-2.855	-2.967	-3.475	9906.038	0.544	5899.293	-0.986	9.414	-0.445	2	0.055	3	100	0	0	0	0	0	6	0	6	0	8	0	0
103-65-1	-3.37	7	0	0	0	0	2	0	2	120.194	0.361	357.288	162.24	0	195.048	0	552.641	0	0	0.0002357	0	0.9115394	16.541	4.738	4.45	0.458	3.363	-3.15	-3.569	-3.894	9906.038	0.517	5899.293	-0.64	9.599	-0.407	1	0.137	3	100	0	0	0	0	0	6	0	6	0	9	0	0
95-63-6	-3.31	7	0	0	0	0	0	0	2	120.194	0.44	351.036	238.961	0	112.074	0	543.917	0	0	0.0003563	0	0.9179848	16.684	4.123	4.447	0.499	3.282	-3.195	-3.478	-3.394	9906.038	0.67	5899.293	-1.125	9.213	-0.456	3	0.197	3	100	0	0	0	0	0	6	0	6	0	9	0	0
526-73-8	-3.2	7	0	0	0	0	0	0	2	120.194	0.884	341.841	212.534	0	129.308	0	532.096	0	0	0.001468	0	0.9289674	16.375	4.232	4.402	0.443	3.174	-3.072	-3.355	-3.298	9906.038	0.618	5899.293	-1.064	9.365	-0.488	3	0.163	3	100	0	0	0	0	0	6	0	6	0	9	0	0
611-14-3	-3.21	7	0	0	0	0	1	0	2	120.194	0.686	345.034	184.433	0	160.601	0	537.202	0	0	0.0008754	0	0.9262512	16.236	4.479	4.358	0.323	3.234	-3.029	-3.408	-3.491	9906.038	0.561	5899.293	-0.858	9.434	-0.445	2	0.135	3	100	0	0	0	0	0	6	0	6	0	9	0	0
622-96-8	-3.11	7	0	0	0	0	1	0	2	120.194	0.112	356.572	217.801	0	138.772	0	551.939	0	0	2.28e-05	0	0.9125955	16.618	4.344	4.418	0.389	3.332	-3.134	-3.561	-3.608	9906.038	0.628	5899.293	-0.935	9.356	-0.418	2	0.178	3	100	0	0	0	0	0	6	0	6	0	9	0	0
98-82-8	-3.27	7	0	0	0	0	1	0	2	120.194	0.347	346.799	164.143	0	182.656	0	540.501	0	0	0.0002222	0	0.9253053	16.579	4.66	4.503	0.535	3.257	-3.052	-3.442	-3.612	9906.038	0.521	5899.293	-0.78	9.604	-0.417	2	0.145	3	100	0	0	0	0	0	6	0	6	0	9	0	0
104-51-8	-4.06	6	0	0	0	0	3	0	2	134.221	0.355	389.698	194.649	0	195.049	0	612.437	0	0	0.0002057	0	0.8949759	18.292	5.229	4.998	0.325	3.98	-4.146	-4.191	-4.162	9906.038	0.582	5899.293	-0.544	9.6	-0.405	1	0.269	3	100	0	0	0	0	0	6	0	6	0	10	0	0
105-05-5	-3.75	6	0	0	0	0	2	0	2	134.221	0.177	386.002	259.953	0	126.049	0	609.106	0	0	5.12e-05	0	0.9002669	18.142	4.754	4.876	0.065	3.858	-4.054	-4.156	-3.747	9906.038	0.712	5899.293	-0.883	9.408	-0.41	2	0.301	3	100	0	0	0	0	0	6	0	6	0	10	0	0
99-87-6	-3.77	6	0	0	0	0	1	0	2	134.221	0.091	378.333	252.021	0	126.312	0	599.531	0	0	1.37e-05	0	0.9088631	18.403	4.734	5.018	0.35	3.58	-3.598	-4.057	-3.609	9906.038	0.697	5899.293	-0.979	9.359	-0.42	2	0.316	3	100	0	0	0	0	0	6	0	6	0	10	0	0
98-06-6	-3.66	6	0	0	0	0	1	0	2	134.221	0.446	361.64	191.65	0	169.99	0	579.833	0	0	0.0003426	0	0.9298734	18.032	5.04	5.004	0.337	3.308	-3.084	-3.852	-3.477	9906.038	0.576	5899.293	-0.825	9.586	-0.44	1	0.259	3	100	0	0	0	0	0	6	0	6	0	10	0	0
135-98-8	-3.89	6	0	0	0	0	2	0	2	134.221	0.421	373.567	190.786	0	182.781	0	592.241	0	0	0.0002999	0	0.9129821	18.009	5.094	4.95	0.323	3.684	-3.808	-3.981	-3.812	9906.038	0.574	5899.293	-0.684	9.601	-0.415	2	0.252	3	100	0	0	0	0	0	6	0	6	0	10	0	0
700-12-9	-4.0	6	0	0	0	0	0	0	2	148.247	0.356	389.357	338.922	0	50.435	0	630.207	0	0	0.0002015	0	0.913004	19.549	4.562	5.343	0.052	4.334	-4.784	-4.376	-3.18	9906.038	0.871	5899.293	-1.342	9.045	-0.52	5	0.447	3	100	0	0	0	0	0	6	0	6	0	11	0	0
538-68-1	-4.64	6	0	0	0	0	4	0	2	148.247	0.369	422.108	227.059	0	195.049	0	672.236	0	0	0.0002022	0	0.8792038	20.043	5.735	5.545	0.176	4.681	-4.813	-4.813	-4.417	9906.038	0.647	5899.293	-0.448	9.602	-0.403	1	0.4	3	100	0	0	0	0	0	6	0	6	0	11	0	0
2049-95-8	-4.15	6	0	0	0	0	2	0	2	148.247	0.581	381.845	212.063	0	169.782	0	623.432	0	0	0.0005411	0	0.9242796	19.133	5.439	5.352	-0.004	3.535	-3.514	-4.305	-3.567	9906.038	0.617	5899.293	-0.729	9.584	-0.441	1	0.343	3	100	0	0	0	0	0	6	0	6	0	11	0	0
100-42-5	-2.82	9	0	0	0	0	1	0	1	104.151	0.067	313.778	63.175	0	250.602	0	471.236	0	0	9.6e-06	0	0.9333298	14.456	4.461	3.881	0.98	2.949	-2.818	-2.721	-3.806	9906.038	0.318	5899.293	-0.541	9.186	0.083	0	-0.056	3	100	0	0	0	0	0	6	0	6	0	8	0	0
92-52-4	-4.31	7	0	0	0	0	1	0	1	154.211	0.003	379.177	0	0	379.177	0	601.289	0	0	0	0	0.9086128	20.889	6.533	6.298	2.574	4.09	-4.31	-4.259	-4.819	9906.038	0.192	5899.293	-0.088	8.985	0.32	0	0.321	3	100	0	0	0	0	0	12	0	12	0	12	0	0
101-81-5	-4.17	6	0	0	0	0	2	0	1	168.238	0.209	409.744	40.516	0	369.228	0	663.091	0	0	6.59e-05	0	0.8975006	22.625	7.016	6.838	2.251	4.497	-4.267	-4.718	-4.951	9906.038	0.273	5899.293	-0.027	9.544	-0.266	1	0.458	3	100	0	0	0	0	0	12	0	12	0	13	0	0
86-73-7	-4.91	6	0	0	0	0	0	0	1	166.222	0.46	391.023	50.637	0	340.386	0	626.696	0	0	0.0003371	0	0.9057354	22.177	6.503	6.72	2.733	4.181	-4.897	-4.339	-4.681	9906.038	0.293	5899.293	-0.32	8.948	0.308	1	0.437	3	100	0	0	0	0	0	13	0	13	1	13	0	0
1730-37-6	-5.22	6	0	0	0	0	0	0	1	180.249	0.821	413.434	116.035	0	297.399	0	676.822	0	0	0.000995	0	0.9017265	23.773	6.689	7.215	2.432	4.375	-4.887	-4.861	-4.54	9906.038	0.424	5899.293	-0.472	8.913	0.286	2	0.583	3	100	0	0	0	0	0	13	0	13	1	14	0	0
91-20-3	-3.6	8	0	0	0	0	0	0	1	128.173	0	332.893	0	0	332.893	0	513.578	0	0	0	0	0.9316765	17.579	5.494	5.138	2.178	3.349	-3.601	-3.65	-4.225	9906.038	0.192	5899.293	-0.347	8.838	0.451	0	0.109	3	100	0	0	0	0	0	10	0	10	0	10	0	0
91-57-6	-3.77	6	0	0	0	0	0	0	1	142.2	0.433	364.226	87.599	0	276.627	0	572.347	0	0	0.0003274	0	0.9153074	19.393	5.565	5.657	1.993	3.545	-3.681	-3.774	-4.222	9906.038	0.367	5899.293	-0.545	8.769	0.418	1	0.28	3	100	0	0	0	0	0	10	0	10	0	11	0	0
90-12-0	-3.7	6	0	0	0	0	0	0	1	142.2	0.433	357.453	77.701	0	279.752	0	564.138	0	0	0.0003316	0	0.9237108	19.094	5.583	5.574	1.862	3.481	-3.638	-3.688	-4.101	9906.038	0.347	5899.293	-0.534	8.735	0.436	1	0.256	3	100	0	0	0	0	0	10	0	10	0	11	0	0
939-27-5	-4.29	6	0	0	0	0	1	0	2	156.227	0.381	393.498	129.678	0	263.82	0	629.342	0	0	0.0002304	0	0.9025692	20.91	5.962	6.11	1.676	4.167	-4.34	-4.367	-4.367	9906.038	0.452	5899.293	-0.494	8.776	0.425	1	0.403	3	100	0	0	0	0	0	10	0	10	0	12	0	0
571-61-9	-4.74	6	0	0	0	0	0	0	2	156.227	0.003	382.011	153.607	0	228.404	0	612.562	0	0	0	0	0.9131099	20.542	5.632	5.975	1.612	3.962	-4.25	-4.192	-4.027	9906.038	0.499	5899.293	-0.715	8.607	0.413	2	0.396	3	100	0	0	0	0	0	10	0	10	0	12	0	0
581-40-8	-4.72	6	0	0	0	0	0	0	2	156.227	0.851	387.749	150.288	0	237.461	0	621.052	0	0	0.0011665	0	0.9078897	20.968	5.737	6.145	1.79	4.133	-4.362	-4.281	-4.155	9906.038	0.493	5899.293	-0.683	8.7	0.393	2	0.421	3	100	0	0	0	0	0	10	0	10	0	12	0	0
208-96-8	-3.96	7	0	0	0	0	0	0	1	152.195	0.592	355.097	0	0	355.097	0	564.054	0	0	0.000621	0	0.9297473	19.811	6.176	5.962	2.41	3.93	-4.334	-4.381	-4.362	9906.038	0.192	5899.293	-0.269	8.8	1.255	0	0.255	3	100	0	0	0	0	0	12	0	12	0	12	0	0
571-58-4	-4.14	6	0	0	0	0	0	0	2	156.227	0.035	382.493	154.5	0	227.993	0	614.064	0	0	2e-06	0	0.9134484	20.598	5.649	5.995	1.602	3.971	-4.262	-4.208	-4.02	9906.038	0.501	5899.293	-0.716	8.611	0.418	2	0.401	3	100	0	0	0	0	0	10	0	10	0	12	0	0
581-42-0	-4.89	6	0	0	0	0	0	0	2	156.227	0.006	395.588	175.196	0	220.392	0	631.115	0	0	1e-07	0	0.8994869	21.208	5.647	6.168	1.798	4.239	-4.451	-4.385	-4.209	9906.038	0.543	5899.293	-0.743	8.693	0.385	2	0.45	3	100	0	0	0	0	0	10	0	10	0	12	0	0
83-32-9	-4.63	6	0	0	0	0	0	0	1	154.211	0.752	364.928	107.133	0	257.794	0	582.165	0	0	0.0009717	0	0.923966	19.606	5.624	5.728	1.665	3.872	-4.177	-3.876	-3.992	9906.038	0.406	5899.293	-0.611	8.579	0.413	2	0.308	3	100	0	0	0	0	0	12	0	12	2	12	0	0
2131-41-1	-4.92	6	0	0	0	0	0	0	2	170.254	0.517	401.616	210.095	0	191.52	0	657.319	0	0	0.000407	0	0.9103427	21.981	5.815	6.424	1.34	4.325	-4.663	-4.658	-3.896	9906.038	0.613	5899.293	-0.845	8.446	0.455	3	0.526	3	100	0	0	0	0	0	10	0	10	0	13	0	0
85-01-8	-5.26	7	0	0	0	0	0	0	1	178.233	0.044	395.959	0	0	395.959	0	643.759	0	0	3.1e-06	0	0.9106054	23.391	7.118	7.243	3.129	4.459	-5.267	-5.534	-4.867	9906.038	0.192	5899.293	-0.125	8.711	0.604	0	0.487	3	100	0	0	0	0	0	14	0	14	0	14	0	0
779-02-2	-5.89	6	0	0	0	0	0	0	1	192.26	0.537	419.72	65.991	0	353.729	0	693.299	0	0	0.0004158	0	0.9025799	24.97	7.263	7.722	2.91	4.514	-6.038	-5.033	-4.795	9906.038	0.324	5899.293	-0.273	8.072	1.066	1	0.631	3	100	0	0	0	0	0	14	0	14	0	15	1	0
613-12-7	-6.96	6	0	0	0	0	0	0	1	192.26	0.471	434.023	87.38	0	346.643	0	711.542	0	0	0.0003121	0	0.8880809	25.632	7.285	7.909	3.121	4.604	-6.002	-5.222	-4.996	9906.038	0.367	5899.293	-0.298	8.112	1.062	1	0.684	3	100	0	0	0	0	0	14	0	14	0	15	1	0
129-00-0	-6.19	7	0	0	0	0	0	0	1	202.255	0.001	414.69	0	0	414.69	0	689.745	0	0	0	0	0.9104034	25.41	7.722	7.986	3.297	4.88	-6.191	-6.2	-4.959	9906.038	0.192	5899.293	-0.059	7.88	1.383	1	0.62	3	100	0	0	0	0	0	16	0	16	0	16	1	0
206-44-0	-6.0	6	0	0	0	0	0	0	1	202.255	0.082	421.277	0	0	421.277	0	700.287	0	0	9.7e-06	0	0.9052773	25.895	7.832	8.157	3.452	5.155	-6.035	-6.352	-5.074	9906.038	0.192	5899.293	-0.035	9.109	0.695	0	0.651	3	100	0	0	0	0	1	16	0	16	0	16	1	0
1732-13-4	-5.96	6	0	0	0	0	0	0	2	208.302	0.008	439.551	279.491	0	160.06	0	742.062	0	0	1e-07	0	0.9018115	25.072	6.386	7.444	1.225	4.758	-5.643	-5.54	-3.884	9906.038	0.752	5899.293	-0.956	8.421	0.369	4	0.772	3	100	0	0	0	0	0	16	0	16	6	16	0	0
238-84-6	-6.68	5	0	0	0	0	0	0	1	216.282	0.466	454.139	42.562	0	411.578	0	757.908	0	0	0.0002871	0	0.8852247	28.108	8.196	8.881	3.745	5.17	-5.93	-5.705	-5.352	9906.038	0.277	5899.293	-0.07	8.586	0.65	1	0.818	3	100	0	0	0	0	1	17	0	17	1	17	1	0
243-17-4	-8.04	5	0	0	0	0	0	0	1	216.282	0.419	458.369	50.364	0	408.005	0	762.278	0	0	0.0002303	0	0.880424	28.249	8.182	8.912	3.804	5.223	-5.945	-5.751	-5.413	9906.038	0.293	5899.293	-0.082	8.574	0.672	1	0.831	3	100	0	0	0	0	1	17	0	17	1	17	1	0
217-59-4	-6.74	8	0	0	0	0	0	0	1	228.293	0	452.636	0	0	452.636	0	765.684	0	0	0	0	0.8942296	28.811	8.628	9.214	3.935	5.324	-6.823	-7.299	-5.402	9906.038	0.192	5899.293	0.075	8.676	0.661	0	0.841	1	100	0	0	0	0	1	18	0	18	0	18	1	0
50-32-8	-8.19	6	0	0	0	0	0	0	1	252.315	0.038	476.842	0	0	476.842	0	818.708	0	0	1.8e-06	0	0.8875847	31.165	9.281	10.072	4.273	6.112	-8.015	-8.066	-5.625	9906.038	0.192	5899.293	0.16	7.987	1.29	1	0.995	1	100	0	0	0	0	1	20	0	20	0	20	1	0
57-97-6	-7.02	6	0	0	0	0	0	0	1	256.346	0.129	488.365	122.502	0	365.863	0	853.405	0	0	1.96e-05	0	0.8909579	31.493	8.859	10.025	3.236	5.83	-6.944	-6.699	-5.041	9906.038	0.437	5899.293	-0.231	8.152	0.921	2	1.095	1	100	0	0	0	0	1	18	0	18	0	20	1	0
