__MOL_ID__	LogS	moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_FCharge	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC+	moe2D_PEOE_PC-	moe2D_PEOE_RPC+	moe2D_PEOE_RPC-	moe2D_PEOE_VSA+0	moe2D_PEOE_VSA+1	moe2D_PEOE_VSA+2	moe2D_PEOE_VSA+3	moe2D_PEOE_VSA+4	moe2D_PEOE_VSA+5	moe2D_PEOE_VSA+6	moe2D_PEOE_VSA-0	moe2D_PEOE_VSA-1	moe2D_PEOE_VSA-2	moe2D_PEOE_VSA-3	moe2D_PEOE_VSA-4	moe2D_PEOE_VSA-5	moe2D_PEOE_VSA-6	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC+	moe2D_Q_PC-	moe2D_Q_RPC+	moe2D_Q_RPC-	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_base	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nBr	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nI	moe2D_a_nN	moe2D_a_nO	moe2D_a_nP	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_b_triple	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_chiral_u	moe2D_density	moe2D_diameter	moe2D_kS_X	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aaNH	moe2D_kS_aaO	moe2D_kS_aaS	moe2D_kS_aaaC	moe2D_kS_aasC	moe2D_kS_aasN	moe2D_kS_dCH2	moe2D_kS_dNH	moe2D_kS_dO	moe2D_kS_dS	moe2D_kS_ddC	moe2D_kS_ddsN	moe2D_kS_ddssS	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_dssS	moe2D_kS_dsssP	moe2D_kS_sBr	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sI	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_sSH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_ssS	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_kS_ssssN	moe2D_kS_tCH	moe2D_kS_tNH	moe2D_kS_tsC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP(o/w)	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_base	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb
83-32-9	-4.63	6.678	1.616	0.03	0.175	1.021	-2.381	-0.5851	0.6343	2.481	-2.342	-0.479	0.7356	2.583	-2.129	-0.4442	0.778	2.783	0	-0.7701	-0.3746	0.07078	2.394	-0.7499	-0.2501	0.1533	2.556	-0.5099	-0.2006	0.1789	2.714	7.408	2.75	1.07	5.137	1.835	0.693	0.7857	0.499	-0.499	0.125	0.1221	17.06	25.59	0	0	0	0	0	26.24	73.53	0	0	0	0	0	1	0.7005	0	0	0.2995	0	142.4	99.77	0	0	42.65	0	1.187	-1.187	0.1264	0.1264	1	0.5473	0	0	0.4527	0	142.4	77.95	0	0	64.47	0	5.136	0	0	0	6.371	5.146	143.6	0	0	2.938	0	0	0	0	6.371	37.74	0	111	0	0	0	0.7107	4.807	2.108	6.9	154.2	21.87	0.994	0	10	0	22	0	12	12	0	12	0	0	10	0	0	0	0	0	27.79	0	0	11	24	0	14	0	0	13	0	1.876	10.93	7.966	7.966	6.878	6.878	5.949	5.949	4.445	4.445	5.297	3.432	0.6111	0.6111	0.35	0.35	4.841	4.841	2.741	2.741	0	0	4.07	4.07	1.938	1.938	0	0	1.756	1.756	0.8786	0.8786	0	0	0.6539	5	0	13.22	0	0	0	0	2.919	3.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.466	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.634	-4.109	5.041	14	1	3	0	0	0.4	0.6667	3	0	3	142.4	235.8	0	0	0	135.3	0	0	166	18	68
2131-41-1	-4.92	6.798	1.416	0.03	0.185	0.847	-2.368	-0.377	0.4151	2.313	-2.192	-0.2467	0.546	2.496	-2.053	-0.1812	0.6106	2.648	0	-0.7584	-0.3284	-0.05291	2.408	-0.6056	-0.1953	0.06549	2.592	-0.484	-0.1294	0.116	2.729	9.551	3.63	1.646	6.834	2.517	1.111	1.323	0.5602	-0.5602	0.1113	0.1087	38.39	21.33	0	0	0	0	0	67.29	61.27	0	0	0	0	0	1	0.6828	0	0	0.3172	0	188.3	128.6	0	0	59.72	0	1.18	-1.18	0.1271	0.1271	1	0.3606	0	0	0.6394	0	188.3	67.9	0	0	120.4	0	5.816	0	0	0	9.557	5.146	88.22	0	99.98	3.765	0	0	0	0	9.557	0	0	93.36	0	99.98	0	0.6477	4.807	2.239	7.139	170.3	26.97	0.999	0	10	0	27	0	13	13	0	13	0	0	14	0	0	0	0	0	32.22	0	0	11	28	0	14	0	0	17	0	2.156	15.3	9.422	9.422	8.387	8.387	6.198	6.198	4.655	4.655	5.681	3.697	0.9543	0.9543	0.5677	0.5677	4.814	4.814	2.675	2.675	0	0	4.061	4.061	1.943	1.943	0	0	2.355	2.355	1.186	1.186	0	0	0.621	5	0	10.89	0	0	0	0	2.808	4.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.529	-4.685	5.673	11	1	2	0	0	0.4	0.6667	3	0	2	188.3	274.2	0	0	0	178.3	0	0	216	21	68
85-01-8	-5.26	7.796	2.128	0.03	0.257	1.261	-2.24	-0.6253	0.6731	2.185	-2.011	-0.5039	0.795	2.422	-1.872	-0.4653	0.8514	2.566	0	-0.7524	-0.3988	0.07798	2.337	-0.5442	-0.2531	0.1654	2.558	-0.401	-0.2022	0.2013	2.692	9.242	3.868	1.648	5.947	2.394	0.99	1.017	0.6213	-0.6213	0.1004	0.09844	0	42.65	0	0	0	0	0	8.834	122.5	0	0	0	0	0	1	0.7549	0	0	0.2451	0	174	131.4	0	0	42.65	0	1.5	-1.5	0.1	0.1	1	0.7042	0	0	0.2958	0	174	122.5	0	0	51.49	0	6.145	0	0	0	0	10.29	176.4	0	0	3.993	0	0	0	0	0	0	0	186.7	0	0	0	0.6421	5	2.492	7.332	178.2	23.52	0.9799	0	14	0	24	0	14	14	0	14	0	0	10	0	0	0	0	0	31.31	0	0	16	26	0	16	0	0	10	0	1.765	10.93	9.38	9.38	7.774	7.774	6.949	6.949	4.815	4.815	5.994	3.508	0.6055	0.6055	0.311	0.311	5.394	5.394	2.654	2.654	0	0	4.745	4.745	1.955	1.955	0	0	1.826	1.826	0.7775	0.7775	0	0	0.6531	7	0	21.37	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.348	-5.141	5.936	16	1	3	0	0	0.4286	0.75	4	0	3	174	272.9	0	0	0	166.9	0	0	271	22	76
779-02-2	-5.89	8.272	2.136	0.03	0.253	1.237	-2.308	-0.5734	0.6254	2.259	-2.113	-0.4603	0.7363	2.469	-1.979	-0.421	0.785	2.616	0	-0.7534	-0.3762	0.06253	2.421	-0.5975	-0.2437	0.15	2.631	-0.4785	-0.1902	0.1812	2.767	10.17	4.108	1.744	6.766	2.643	1.092	1.192	0.6429	-0.6429	0.09794	0.09514	12.8	38.39	0	0	0	0	0	42.05	98.04	0	0	0	0	0	1	0.7324	0	0	0.2676	0	191.3	140.1	0	0	51.18	0	1.493	-1.493	0.1004	0.1004	1	0.5882	0	0	0.4118	0	191.3	112.5	0	0	78.77	0	6.619	0	0	0	3.186	10.29	158.8	0	33.33	4.301	0	0	0	0	3.186	0	0	169.1	0	33.33	0	0.6126	5.087	2.554	7.537	192.3	26.76	0.9911	0	14	0	27	0	15	15	0	15	0	0	12	0	0	0	0	0	34.4	0	0	16	29	0	17	0	0	13	0	1.782	13.12	10.25	10.25	8.696	8.696	7.36	7.36	5.232	5.232	6.512	3.944	0.7979	0.7979	0.436	0.436	5.892	5.892	3.041	3.041	0	0	5.149	5.149	2.241	2.241	0	0	2.357	2.357	1.095	1.095	0	0	0.6466	7	0	19.39	0	0	0	0	5.37	1.378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.852	-5.615	6.382	16	1	3	0	0	0.4286	0.75	4	0	3	191.3	297.3	0	0	0	182.7	0	0	326	25	82
613-12-7	-6.96	8.272	2.136	0.03	0.253	1.237	-2.297	-0.6127	0.6662	2.24	-2.115	-0.5031	0.7737	2.446	-1.982	-0.4673	0.8199	2.592	0	-0.762	-0.3858	0.0821	2.387	-0.604	-0.2506	0.1676	2.598	-0.4789	-0.2022	0.1966	2.733	10.17	4.108	1.969	6.766	2.643	1.233	1.192	0.6445	-0.6445	0.0977	0.0949	12.8	38.39	0	0	0	0	0	54.3	85.78	0	0	0	0	0	1	0.7324	0	0	0.2676	0	191.3	140.1	0	0	51.18	0	1.493	-1.493	0.1004	0.1004	1	0.5882	0	0	0.4118	0	191.3	112.5	0	0	78.77	0	6.619	0	0	0	3.186	10.29	158.8	0	33.33	4.301	0	0	0	0	3.186	0	0	169.1	0	33.33	0	0.6126	5.087	2.69	7.513	192.3	26.76	0.9911	0	14	0	27	0	15	15	0	15	0	0	12	0	0	0	0	0	34.4	0	0	16	29	0	17	0	0	13	0	1.693	13.12	10.25	10.25	8.696	8.696	7.326	7.326	5.22	5.22	6.714	4.05	0.9553	0.9553	0.5	0.5	5.68	5.68	2.86	2.86	0	0	4.843	4.843	2.059	2.059	0	0	2.148	2.148	0.9171	0.9171	0	0	0.6466	8	0	19.61	0	0	0	0	5.275	1.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.93	-5.615	6.375	16	1	3	0	0	0.5	1	4	0	3	191.3	297.3	0	0	0	182.7	0	0	342	23	82
129-00-0	-6.19	9.284	2.728	0.03	0.295	1.503	-2.268	-0.7031	0.7457	2.221	-2.029	-0.5835	0.8631	2.469	-1.889	-0.5379	0.9214	2.612	0	-0.7507	-0.4255	0.1051	2.468	-0.5359	-0.2839	0.1977	2.7	-0.3945	-0.2249	0.2378	2.834	9.972	3.75	1.444	6.437	2.342	0.8796	0.942	0.6226	-0.6226	0.1002	0.09736	0	42.65	0	0	0	0	0	13.25	122.5	0	0	0	0	0	1	0.761	0	0	0.239	0	178.5	135.8	0	0	42.65	0	1.5	-1.5	0.1	0.1	1	0.6867	0	0	0.3133	0	178.5	122.5	0	0	55.91	0	7.015	0	0	0	0	15.44	176.4	0	0	4.584	0	0	0	0	0	0	0	191.9	0	0	0	0.6059	5.248	2.458	7.746	202.3	24.99	0.9612	0	16	0	26	0	16	16	0	16	0	0	10	0	0	0	0	0	34.83	0	0	19	29	0	19	0	0	10	0	1.691	10.93	10.54	10.54	8.774	8.774	7.933	7.933	5.559	5.559	7.212	4.29	0.8889	0.8889	0.4583	0.4583	6.738	6.738	3.393	3.393	0	0	6.285	6.285	2.67	2.67	0	0	2.598	2.598	1.132	1.132	0	0	0.6698	7	0	21.86	0	0	0	0	8.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.912	-6.47	6.627	19	1	4	0	1	0.4286	0.75	4	0	4	178.5	302	0	0	0	171.3	0	0	362	30	94
206-44-0	-6.0	6.308	1.528	0.03	0.219	1.019	-2.192	-0.6178	0.6659	2.302	-1.963	-0.4976	0.7947	2.553	-1.83	-0.4588	0.8541	2.686	0	-0.7497	-0.3879	0.07065	2.464	-0.5423	-0.247	0.1582	2.691	-0.4009	-0.198	0.1929	2.82	9.972	3.75	1.378	6.437	2.342	0.8391	0.942	0.6214	-0.6214	0.1004	0.09841	0	42.65	0	0	0	0	0	13.25	122.5	0	0	0	0	0	1	0.761	0	0	0.239	0	178.5	135.8	0	0	42.65	0	1.5	-1.5	0.1	0.1	1	0.6867	0	0	0.3133	0	178.5	122.5	0	0	55.91	0	6.838	0	0	0	0	17.89	176.4	0	0	4.487	0	0	0	0	0	0	0	194.3	0	0	0	0.6059	5.248	2.448	7.745	202.3	24.99	0.9612	0	16	0	26	0	16	16	0	16	0	0	10	0	0	0	0	0	34.83	0	0	17	29	0	19	0	0	12	0	1.697	10.93	10.54	10.54	8.774	8.774	7.949	7.949	5.565	5.565	7.139	4.255	0.8221	0.8221	0.4345	0.4345	6.733	6.733	3.412	3.412	0	0	6.156	6.156	2.618	2.618	0	0	2.619	2.619	1.164	1.164	0	0	0.6698	6	0	21.76	0	0	0	0	8.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.074	-6.47	6.569	19	1	4	0	0	0.3333	0.5	4	0	4	178.5	302	0	0	0	171.3	0	0	364	29	94
1732-13-4	-5.96	8.984	1.84	0.03	0.153	1.123	-2.62	-0.6477	0.6769	2.573	-2.515	-0.5327	0.7905	2.69	-2.341	-0.474	0.8475	2.866	0	-0.7808	-0.4109	0.07265	2.701	-0.7072	-0.2959	0.1792	2.848	-0.5211	-0.2107	0.2256	3.003	9.972	3.75	1.444	7.643	2.818	1.07	1.346	0.6076	-0.6076	0.1021	0.09499	51.18	17.06	0	0	0	0	0	65.46	49.02	0	0	0	0	0	1	0.6265	0	0	0.3735	0	182.7	114.5	0	0	68.25	0	1.174	-1.174	0.1278	0.1278	1	0.3166	0	0	0.6834	0	182.7	57.85	0	0	124.9	0	6.8	0	0	0	12.74	5.146	183.8	0	0	3.817	0	0	0	0	12.74	75.47	0	75.72	37.74	0	0	0.6059	5.248	2.458	7.746	208.3	32	1	0	10	0	32	0	16	16	0	16	0	0	16	0	0	0	0	0	38.83	0	0	11	35	0	19	0	0	24	0	1.686	17.49	10.54	10.54	9.552	9.552	7.933	7.933	6.486	6.486	7.212	5.225	0.8889	0.8889	0.5332	0.5332	6.738	6.738	4.29	4.29	0	0	6.285	6.285	3.562	3.562	0	0	2.598	2.598	1.379	1.379	0	0	0.6516	7	0	9.537	0	0	0	0	3.252	6.403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.808	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.365	-5.985	6.667	19	1	4	0	0	0.4286	0.75	4	0	4	182.7	319.7	0	0	0	171.3	0	0	362	30	94
238-84-6	-6.68	8.055	1.888	0.03	0.219	1.221	-2.287	-0.6048	0.6508	2.403	-2.172	-0.4879	0.7673	2.568	-1.981	-0.4426	0.8246	2.741	0	-0.7565	-0.3901	0.064	2.517	-0.6899	-0.2561	0.157	2.706	-0.4689	-0.1974	0.1923	2.853	10.88	4.281	1.696	7.227	2.763	1.07	1.175	0.6934	-0.6934	0.08997	0.08863	8.531	42.65	0	0	0	0	0	21.95	122.5	0	0	0	0	0	1	0.7384	0	0	0.2616	0	195.7	144.5	0	0	51.18	0	1.787	-1.787	0.1606	0.08394	0.9555	0.6488	0	0.04447	0.3512	0.04447	187	127	0	8.701	68.72	8.701	7.219	0	0	0	6.371	11.52	195.3	0	0	4.411	0	0	0	0	6.371	18.87	0	187.9	0	0	0	0.5801	5.322	2.736	7.892	216.3	28.38	0.9784	0	16	0	29	0	17	17	0	17	0	0	12	0	0	0	0	0	37.92	0	0	17	32	0	20	0	0	15	0	1.575	13.12	11.24	11.24	9.481	9.481	8.433	8.433	6.022	6.022	7.558	4.647	0.8777	0.8777	0.4903	0.4903	7.031	7.031	3.715	3.715	0	0	6.106	6.106	2.73	2.73	0	0	2.679	2.679	1.271	1.271	0	0	0.6626	8	0	21.9	0	0	0	0	5.577	2.947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.076	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.333	-6.16	7.037	20	1	4	0	0	0.5	1	4	0	4	195.7	326.4	0	0	0	187.1	0	0	461	29	98
243-17-4	-8.04	8.055	1.888	0.03	0.219	1.221	-2.282	-0.6069	0.6516	2.401	-2.175	-0.4819	0.7764	2.563	-1.982	-0.4373	0.8325	2.737	0	-0.7572	-0.3913	0.0619	2.503	-0.6906	-0.2535	0.1533	2.692	-0.4693	-0.1942	0.1915	2.838	10.88	4.281	1.778	7.227	2.763	1.121	1.175	0.6942	-0.6942	0.09071	0.08852	8.531	42.65	0	0	0	0	0	46.46	98.04	0	0	0	0	0	1	0.7384	0	0	0.2616	0	195.7	144.5	0	0	51.18	0	1.787	-1.787	0.1606	0.08394	0.9555	0.6488	0	0.04447	0.3512	0.04447	187	127	0	8.701	68.72	8.701	7.219	0	0	0	6.371	11.52	195.3	0	0	4.411	0	0	0	0	6.371	18.87	0	187.9	0	0	0	0.5801	5.322	2.782	7.883	216.3	28.38	0.9784	0	16	0	29	0	17	17	0	17	0	0	12	0	0	0	0	0	37.92	0	0	17	32	0	20	0	0	15	0	1.536	13.12	11.24	11.24	9.481	9.481	8.416	8.416	6.017	6.017	7.644	4.69	0.9388	0.9388	0.5151	0.5151	6.976	6.976	3.66	3.66	0	0	5.973	5.973	2.65	2.65	0	0	2.644	2.644	1.223	1.223	0	0	0.6626	8	0	21.99	0	0	0	0	5.509	2.919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.409	-6.16	7.033	20	1	4	0	0	0.375	0.6	5	0	4	195.7	326.4	0	0	0	187.1	0	0	471	28	98
217-59-4	-6.74	10.22	2.864	0.03	0.317	1.603	-2.261	-0.5734	0.6267	2.213	-2.023	-0.4521	0.7474	2.463	-1.883	-0.417	0.8002	2.606	0	-0.7516	-0.3839	0.06261	2.518	-0.544	-0.2338	0.1484	2.749	-0.4009	-0.1887	0.1801	2.883	11.8	4.836	1.896	7.632	3.039	1.167	1.289	0.7449	-0.7449	0.08374	0.08208	0	51.18	0	0	0	0	0	13.25	147.1	0	0	0	0	0	1	0.758	0	0	0.242	0	211.5	160.3	0	0	51.18	0	1.8	-1.8	0.08333	0.08333	1	0.6953	0	0	0.3047	0	211.5	147.1	0	0	64.44	0	7.896	0	0	0	0	15.44	211.7	0	0	5.146	0	0	0	0	0	0	0	227.2	0	0	0	0.5564	5.392	2.611	8.091	228.3	29.13	0.971	0	18	0	30	0	18	18	0	18	0	0	12	0	0	0	0	0	39.68	0	0	21	33	0	21	0	0	12	0	1.658	13.12	11.95	11.95	9.928	9.928	8.949	8.949	6.232	6.232	7.836	4.637	0.8165	0.8165	0.433	0.433	7.274	7.274	3.652	3.652	0	0	6.754	6.754	2.859	2.859	0	0	2.675	2.675	1.183	1.183	0	0	0.6619	7	0	25.96	0	0	0	0	8.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5.566	-7.019	7.532	21	1	4	0	1	0.2857	0.4	5	0	4	211.5	344.9	0	0	0	203	0	0	513	33	102
50-32-8	-8.19	11.71	3.464	0.03	0.355	1.845	-2.28	-0.7103	0.7518	2.236	-2.035	-0.5883	0.8714	2.489	-1.895	-0.5411	0.9315	2.633	0	-0.7523	-0.4306	0.1057	2.6	-0.5401	-0.2853	0.1999	2.836	-0.3974	-0.2239	0.2416	2.971	12.53	4.75	1.821	8.125	3.001	1.129	1.219	0.7473	-0.7473	0.08426	0.08185	0	51.18	0	0	0	0	0	29.92	134.8	0	0	0	0	0	1	0.7629	0	0	0.2371	0	215.9	164.7	0	0	51.18	0	1.8	-1.8	0.08333	0.08333	1	0.6811	0	0	0.3189	0	215.9	147.1	0	0	68.85	0	8.765	0	0	0	0	20.58	211.7	0	0	5.737	0	0	0	0	0	0	0	232.3	0	0	0	0.5294	5.585	2.802	8.383	252.3	30.54	0.9544	0	20	0	32	0	20	20	0	20	0	0	12	0	0	0	0	0	43.2	0	0	24	36	0	24	0	0	12	0	1.499	13.12	13.1	13.1	10.93	10.93	9.916	9.916	6.97	6.97	9.128	5.454	1.161	1.161	0.6027	0.6027	8.624	8.624	4.371	4.371	0	0	8.139	8.139	3.489	3.489	0	0	3.453	3.453	1.515	1.515	0	0	0.6747	9	0	26.51	0	0	0	0	10.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6.169	-8.348	8.218	24	0	5	0	2	0.4444	0.8	5	0	5	215.9	374	0	0	0	207.4	0	0	680	40	120
57-97-6	-7.02	11.17	2.88	0.03	0.309	1.555	-2.351	-0.5673	0.6147	2.306	-2.155	-0.4475	0.7366	2.517	-2.019	-0.4102	0.8001	2.666	0	-0.7548	-0.3938	0.06183	2.638	-0.6028	-0.2446	0.1468	2.851	-0.4811	-0.1854	0.1864	2.988	13.65	5.325	2.118	9.266	3.534	1.382	1.637	0.7881	-0.7881	0.07916	0.07761	25.59	42.65	0	0	0	0	0	55.16	122.5	0	0	0	0	0	1	0.7225	0	0	0.2775	0	246	177.7	0	0	68.25	0	1.787	-1.787	0.08394	0.08394	1	0.5162	0	0	0.4838	0	246	127	0	0	119	0	8.843	0	0	0	6.371	15.44	176.4	0	66.65	5.763	0	0	0	0	6.371	0	0	191.9	0	66.65	0	0.5148	5.524	2.824	8.386	256.3	35.68	0.9911	0	18	0	36	0	20	20	0	20	0	0	16	0	0	0	0	0	45.87	0	0	21	39	0	23	0	0	18	0	1.634	17.49	13.69	13.69	11.77	11.77	9.771	9.771	7.065	7.065	8.857	5.505	1.207	1.207	0.6845	0.6845	8.335	8.335	4.443	4.443	0	0	7.508	7.508	3.405	3.405	0	0	3.759	3.759	1.818	1.818	0	0	0.651	9	0	21.89	0	0	0	0	8.19	2.768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6.5	-7.966	8.426	21	1	4	0	1	0.4444	0.8	5	0	4	246	393.8	0	0	0	234.6	0	0	696	39	114
192-97-2	-7.8	11.71	3.464	0.03	0.355	1.845	-2.282	-0.6325	0.68	2.239	-2.036	-0.5077	0.8049	2.495	-1.896	-0.466	0.8649	2.638	0	-0.7519	-0.4132	0.07739	2.619	-0.5417	-0.2578	0.1707	2.858	-0.3991	-0.2027	0.2101	2.993	12.53	4.75	1.756	8.125	3.001	1.089	1.219	0.7461	-0.7461	0.0836	0.08195	0	51.18	0	0	0	0	0	17.67	147.1	0	0	0	0	0	1	0.7629	0	0	0.2371	0	215.9	164.7	0	0	51.18	0	1.8	-1.8	0.08333	0.08333	1	0.6811	0	0	0.3189	0	215.9	147.1	0	0	68.85	0	8.765	0	0	0	0	20.58	211.7	0	0	5.737	0	0	0	0	0	0	0	232.3	0	0	0	0.5294	5.585	2.633	8.408	252.3	30.54	0.9544	0	20	0	32	0	20	20	0	20	0	0	12	0	0	0	0	0	43.2	0	0	24	36	0	24	0	0	12	0	1.566	13.12	13.1	13.1	10.93	10.93	9.933	9.933	6.976	6.976	9.054	5.419	1.1	1.1	0.5803	0.5803	8.63	8.63	4.393	4.393	0	0	8.252	8.252	3.557	3.557	0	0	3.461	3.461	1.541	1.541	0	0	0.6747	7	0	26.44	0	0	0	0	10.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6.13	-8.348	8.222	24	0	5	0	2	0.2857	0.4	5	0	5	215.9	374	0	0	0	207.4	0	0	652	41	120
