__MOL_ID__	MTP	QikProp_#stars	QikProp_#amine	QikProp_#amidine	QikProp_#acid	QikProp_#amide	QikProp_#rotor	QikProp_#rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
O=C(C)CCc1oc2ccc(OC)cc2c1c1oc(C)cc1	35.5	0	0	0	0	0	4	1	0	298.338	3.492	563.229	312.719	42.356	208.155	0	984.943	0	3.75	0.0123801	0	0.850003	32.683	9.125	12.368	5.59	3.845	-4.276	-4.508	-4.952	3928.62	-0.068	2170.967	-1.183	8.802	0.262	6	0.304	3	100	0	0	51.561	4	0	14	0	14	0	22	0	0
O=C(O)C(C)Cc1ccccc1	37.200001	0	0	0	1	0	3	0	-1	164.204	2.279	372.18	93.07	95.621	183.488	0	604.463	1	2	0.0085889	0.0053738	0.9289505	17.863	6.285	8.022	5.286	1.93	-1.537	-2.085	-1.749	310.973	-0.356	178.025	-2.347	9.747	-0.25	2	-0.402	3	82.86	0	0	47.925	2	0	6	0	6	0	12	0	0.0121801
Cc1cc2CCc2c(C)c1C	37.5	6	0	0	0	0	0	0	2	146.232	0.381	384.103	325.056	0	59.047	0	614.708	0	0	0.0002363	0	0.9102562	19.011	4.434	5.162	0.179	3.94	-4.215	-4.215	-3.266	9906.038	0.843	5899.293	-1.311	9.094	-0.461	5	0.402	3	100	0	0	0	0	0	8	4	4	2	11	0	0
OC1Cc2cc(OC)ccc21	38.0	1	0	0	0	0	2	0	1	150.177	2.118	347.116	168.403	52.087	126.625	0	545.934	1	2.45	0.0082179	0.0070582	0.9306454	15.619	4.975	7.197	5.207	1.465	-1.491	-1.43	-3.258	3176.54	0.042	1725.453	-1.841	9.016	-0.33	2	-0.416	3	100	0	0	30.926	2	0	8	4	4	2	11	0	0.0163142
O=C1C(C)C2CCC1(C)C2(C)C	38.0	3	0	0	0	0	0	0	1	166.263	3.703	376.499	341.595	34.905	0	0	634.532	0	2	0.0216129	0	0.9484977	19.24	4.839	6.773	2.833	2.219	-2.065	-1.707	-2.365	4622.72	0.305	2588.365	-2.163	10.208	-0.937	1	-0.075	3	100	0	0	23.579	1	0	7	0	7	6	12	0	0
O=[N+]([O-])c1cc(ccc1C=NCC(OCC)OCC)C=NCC(OCC)OCC	38.0	2	0	0	0	0	17	2	-2	409.481	4.949	839.199	626.505	92.401	120.293	0	1440.396	0	10.8	0.0170073	0	0.7350014	41.724	13.561	18.686	10.073	2.934	-3.698	-3.119	-6.394	1317.23	-1.601	666.331	-1.167	9.428	1.081	1	-0.811	1	100	0	0	90.762	9	0	6	0	6	0	29	0	0
O=C(O)C1(C)CCCCC1	38.200001	4	0	0	1	0	1	0	-1	142.197	2.458	341.591	255.439	86.152	0	0	544.309	1	2	0.0111018	0.0058549	0.9438185	14.987	4.446	6.794	4.341	1.789	-1.619	-1.275	-0.634	382.402	-0.142	222.608	-3.011	11.078	-1.086	0	-0.471	3	83.641	0	0	45.872	2	0	6	0	6	6	10	0	0.0140649
O=C(OCC)c1[nH0]cc(OC)cc1	39.0	1	0	0	0	0	3	1	0	181.191	3.396	414.601	225.279	68.033	121.289	0	652.603	0	3.75	0.0176686	0	0.8776089	19.195	5.472	7.759	5.037	1.61	-1.776	-1.541	-4.091	2242.558	-0.206	1184.302	-2.058	9.745	0.595	2	-0.618	3	96.347	0	0	55.485	4	0	6	0	6	0	13	0	0
N#CC1=Cc2ccccc2C1	39.799999	3	0	0	0	0	1	0	0	141.172	5.518	360.759	51.604	72.383	236.773	0	554.888	0	1.5	0.0548725	0	0.9052139	17.672	5.503	6.853	3.947	2.009	-2.568	-2.85	-4.195	2039.351	-0.086	1068.745	-1.923	9.429	0.809	1	-0.215	3	100	0	0	25.658	1	0	9	0	9	1	11	0	0
O=C(OC)c1ccc(N2N=N2)cc1	40.0	1	0	0	0	0	1	4	-1	177.162	1.929	400.401	95.845	155.4	149.156	0	625.384	0	5	0.0059485	0	0.8832859	19.656	6.038	8.992	7.459	0.039	-1.024	-0.876	-4.132	332.847	-0.825	150.644	-3.762	8.889	1.49	0	-0.946	2	72.319	0	0	84.933	5	0	9	3	6	0	13	0	0
Fc1cccc2CC(=O)c21	40.5	3	0	0	0	0	0	1	1	136.125	5.43	323.183	61.749	67.288	150.332	43.815	487.19	0	2	0.0605199	0	0.9265058	14.779	4.047	6.314	3.962	1.377	-1.485	-1.211	-3.438	2279.351	0.148	2094.681	-2.23	10.177	0.843	1	-0.503	3	95.107	43.815	0	33.723	1	0	8	4	4	1	10	0	0
ClC1Cc2cc(OC)c(C)cc21	41.0	5	0	0	0	0	1	0	1	182.649	3.016	407.26	262.398	0	76.47	68.392	640.155	0	0.75	0.0142051	0	0.8820288	19.553	5.061	6.223	1.761	3.567	-3.835	-3.835	-3.806	9906.038	0.374	10000	-1.154	9.05	-0.144	4	0.233	3	100	0	0	6.762	1	0	8	4	4	2	12	0	0
O=C(Oc1ccccc1)C1CC2(C)CCC1C2(C)C	41.0	0	0	0	0	0	2	1	1	258.36	1.798	502.586	291.949	15.279	195.358	0	885.145	0	2.5	0.0036536	0	0.8870831	29.851	8.048	10.579	4.383	3.975	-4.107	-3.726	-4.291	7095.914	0.314	4113.29	-0.921	9.711	-0.095	1	0.434	3	100	0	0	26.006	2	0	13	0	13	7	19	0	0
[Si](OC(=C)c1c(C)c(C)c(C)c(C)c1C)(C)(C)C	41.0	4	0	0	0	0	3	0	2	262.466	1.274	515.031	485.449	0	29.582	0	937.202	0	0.85	0.0017316	0	0.8992644	29.709	7.332	9.285	1.335	4.051	-6.841	-6.841	-3.303	9906.038	0.776	5899.293	-1.127	8.778	-0.419	5	0.984	1	100	0	0	7.642	1	0	6	0	6	0	18	1	0
O=C(O)C(C)c1ccc(C)cc1	41.0	0	0	0	1	0	2	0	-1	164.204	2.02	389.127	174.379	90.838	123.91	0	621.369	1	2	0.0065696	0.0051397	0.9049831	18.612	5.781	8.122	5.11	2.051	-1.866	-2.085	-1.853	345.213	-0.296	199.303	-2.565	9.443	-0.325	2	-0.321	3	84.384	0	0	46.23	2	0	6	0	6	0	12	0	0.0121799
O=C(O)CCC(C)c1ccc(C)cc1	41.5	0	0	0	1	0	4	0	-1	192.257	2.001	449.935	216.8	106.696	126.439	0	734.883	1	2	0.0054492	0.0044451	0.8753077	21.895	6.86	9.215	4.94	3.248	-3.414	-2.637	-2.345	244.175	-0.606	137.077	-2.656	9.416	-0.362	3	-0.107	3	88.697	0	0	50.468	2	0	6	0	6	0	14	0	0.0104028
O(CCCCC)c1ccc(N=Nc2ccc(cc2)CCCC)cc1	41.799999	1	0	0	0	0	10	1	0	324.465	1.719	736.92	430.806	16.932	289.182	0	1247.416	0	2.75	0.0023699	0	0.760476	40.108	12.132	13.799	4.078	6.315	-7.114	-5.407	-6.787	6844.422	-0.234	3955.944	0.147	8.534	1.167	3	1.079	1	100	0	0	28.632	3	1	12	0	12	0	24	1	0
O=C(OC1Cc2ccccc21)Cc1ccccc1	42.0	0	0	0	0	0	3	1	1	238.285	2.225	515.991	121.218	25.048	369.725	0	853.301	0	2	0.0058015	0	0.8431886	29.6	8.805	10.413	4.954	4.148	-4.46	-3.675	-5.833	5732.881	0.148	3266.34	-0.391	9.645	-0.158	3	0.433	3	100	0	0	34.072	2	0	14	4	10	2	18	0	0
O=C(OC1CC(C)CCC1C(C)C)C(Cc1ccccc1)Cc1ccccc1	42.5	3	0	0	0	0	7	1	0	378.553	1.943	663.547	332.373	16.108	315.066	0	1262.827	0	2	0.0029905	0	0.8515086	42.899	12.272	14.915	3.995	6.817	-6.605	-6.875	-5.437	6968.583	-0.006	4033.568	-0.034	9.572	-0.235	3	1.452	1	100	0	0	24.853	2	1	18	0	18	6	28	1	0
N1=NC(C)=C(CC)C1C	42.5	4	0	0	0	0	1	0	1	124.185	3.996	340.002	278.952	55.951	5.1	0	539.231	0	2	0.029615	0	0.9423224	14.833	3.972	5.395	2.702	1.5	-1.801	-1.017	-2.49	2919.539	0.083	1575.07	-2.437	10.064	0.627	3	-0.394	3	100	0	0	29.428	2	0	5	0	5	1	9	0	0
O=C1Cc2cc(OC)c(cc21)C(C)C	43.0	1	0	0	0	0	2	1	0	190.241	4.672	442.198	316.376	68.818	57.004	0	710.974	0	2.75	0.0307006	0	0.8711995	21.559	5.597	8.147	3.907	2.185	-2.831	-2.012	-3.888	2204.427	-0.162	1162.551	-2.395	9.268	0.436	3	-0.139	3	100	0	0	40.037	2	0	8	4	4	1	14	0	0
C1=CC2c3ccccc3C1C12CC1	43.0	6	0	0	0	0	0	0	2	168.238	0.572	400.506	157.298	0	243.208	0	649.704	0	0	0.0005032	0	0.9058018	22.17	6.06	6.565	1.879	4.348	-4.579	-4.579	-4.216	9906.038	0.507	5899.293	-0.663	9.395	-0.358	2	0.504	3	100	0	0	0	0	0	13	3	10	5	13	0	0
SCC(O)C(O)CS	43.0	1	0	0	0	0	7	2	-1	154.242	4.126	334.747	115.134	67.538	0	152.075	511.208	3.6	4.4	0.0333005	0.0249395	0.9236624	9.81	5.399	10.786	9.1	0.627	-0.827	-0.894	-2.767	2266.939	-0.013	8158.442	-2.092	9.033	0.187	4	-0.956	3	90.672	0	0	38.634	2	0	0	0	0	0	8	0	0.0541255
O=C1CCC2(C)C=3CCC4(C)CCCC4C=3CCC2C1	43.799999	2	0	0	0	0	0	1	1	272.43	3.998	500.415	447.674	52.361	0.38	0	913.844	0	2	0.0174933	0	0.9100874	30.422	7.341	10.707	3.252	3.921	-4.653	-4.043	-2.989	3157.65	0.142	1714.365	-2.483	9.497	-0.914	5	0.736	3	100	0	0	28.343	1	0	17	0	17	14	20	0	0
OC(C)CCc1ccc(cc1)CCC(O)C	44.0	0	0	0	0	0	8	0	-1	222.327	2.736	529.241	319.878	83.912	125.452	0	883.758	2	3.4	0.0084678	0.0090853	0.8415249	25.275	8.256	12.328	6.93	2.505	-3.238	-2.696	-4.695	1585.503	-0.709	814.155	-1.856	9.467	-0.331	4	-0.041	3	100	0	0	42.213	2	0	6	0	6	0	16	0	0.0216272
o1c(cc(c2ccccc2)c1C)c1ccccc1	44.0	3	0	0	0	0	0	0	1	234.297	0.301	505.285	79.449	0	425.837	0	839.708	0	0.5	0.0001077	0	0.8518839	31.518	8.927	10.288	4.324	5.117	-6.139	-6.127	-5.959	9906.038	0.122	5899.293	-0.019	8.655	0.261	2	0.922	3	100	0	0	7.857	1	1	17	0	17	0	18	1	0
O=C(OC)C1(C)CCC(CCc2ccccc2)C1(C)C	44.0	1	0	0	0	0	4	0	1	274.402	2.149	555.246	337.095	24.695	193.455	0	983.369	0	2	0.0046962	0	0.8613066	32.48	8.921	11.171	3.627	4.792	-5.041	-4.308	-4.699	5777.143	0.101	3293.607	-0.909	9.639	-0.364	1	0.768	3	100	0	0	25.486	2	0	11	0	11	5	20	0	0
Fc1ccc(NC(=O)C(C)(C(F)(F)F)C(F)(F)F)c(F)c1F	44.0	2	0	0	0	0	2	0	2	339.16	3.416	472.085	58.872	15.63	98.547	299.037	799.543	1	2.5	0.0145928	0.0052957	0.8824817	25.501	4.788	11.956	5.222	4.377	-4.96	-5.45	-3.904	7041.777	1.043	10000	-1.268	9.843	1.073	0	0.23	3	100	299.037	0	25.121	2	0	6	0	6	0	22	0	0.00737121
O=C1OC(OC)c2ccccc21	44.0	1	0	0	0	0	1	1	0	164.16	5.635	352.934	114.935	68.586	169.413	0	562.103	0	4.7	0.0564955	0	0.9332871	17.317	5.366	8.405	6.596	0.333	-0.329	-0.854	-3.419	2215.66	-0.022	1168.955	-2.091	10.303	0.715	0	-1.05	3	88.772	0	0	50.564	3	0	9	0	9	1	12	0	0
O=C1CC(c2ccccc21)C(=O)OC	44.5	0	0	0	0	0	1	1	0	190.198	3.758	412.055	157.946	95.884	158.225	0	662.148	0	4	0.0213338	0	0.8916207	21.214	6.146	8.949	6.159	1.189	-1.768	-1.667	-4.04	1220.778	-0.301	613.754	-2.633	10.002	0.554	2	-0.572	3	89.15	0	0	63.494	3	0	9	0	9	2	14	0	0
O=[N+]([O-])c1ccccc1O	44.5	4	0	0	0	0	2	0	-1	139.11	5.312	310.68	0	132.741	177.939	0	466.338	1	1.75	0.0605021	0.0056328	0.9360932	12.924	5.089	7.085	5.327	1.878	-0.841	-1.678	-3.415	545.907	-0.567	257.162	-3.147	9.972	1.227	2	-0.522	3	86.931	0	0	62.616	4	0	6	0	6	0	10	0	0.01258
O=C1OOC(=O)C1(C)C	44.5	10	0	0	0	0	0	1	-1	130.1	2.078	297.458	143.423	154.035	0	0	447.564	0	6	0.0096496	0	0.951284	11.758	3.726	6.729	7.393	-1.773	1.288	0.712	-2.32	342.917	-0.571	155.577	-4.358	11.319	0.092	0	-1.688	2	61.939	0	0	80.917	4	0	5	0	5	1	9	0	0
O=C1C(=C)C2CCC1(C)C2(C)C	44.799999	2	0	0	0	0	1	0	1	164.247	3.77	379.872	315.77	35.819	28.283	0	634.667	0	2	0.0223927	0	0.9402095	18.873	4.964	6.656	2.819	2.247	-2.106	-1.729	-2.634	4531.369	0.233	2533.123	-1.984	10.336	0.011	1	-0.117	3	100	0	0	24.593	1	0	7	0	7	5	12	0	0
C1=CC2(CC2)C2C1C1C=CC2C21CC2	45.0	7	0	0	0	0	0	0	2	184.28	0.299	413.975	293.625	0	120.35	0	693.699	0	0	0.000129	0	0.915458	22.757	5.73	6.594	0.619	4.49	-5.037	-5.037	-3.474	9906.038	0.78	5899.293	-1.096	9.645	-1.165	3	0.632	3	100	0	0	0	0	0	14	6	8	10	14	0	0
CC(C)CC1c2ccccc2c2ccccc21	45.0	5	0	0	0	0	2	0	2	222.329	0.524	478.284	174.968	0	303.316	0	817.658	0	0	0.0003362	0	0.884152	28.181	8.025	8.674	1.924	5.71	-6.327	-6.327	-4.853	9906.038	0.542	5899.293	-0.259	8.942	0.311	1	0.907	1	100	0	0	0	0	1	13	0	13	1	17	1	0
Clc1cc(Cl)c([N+](=O)[O-])c(c1)C(Cl)Cl	45.0	3	0	0	0	0	1	0	2	274.918	5.999	403.795	22.498	70.757	74.578	235.962	653.515	0	1	0.0550711	0	0.9019332	20.07	7.039	8.325	2.526	3.569	-4.211	-4.807	-3.474	2113.035	0.502	10000	-2.465	10.458	1.444	3	0.205	3	100	0	0	38.382	3	0	6	0	6	0	14	0	0
O=C1Cc2ccc(C)cc21	45.5	2	0	0	0	0	0	1	1	132.162	4.124	346.714	150.015	68.896	127.803	0	530.499	0	2	0.0320567	0	0.9140783	16.297	4.532	6.185	3.861	1.455	-1.74	-1.127	-3.532	2200.677	0.014	1160.413	-2.339	9.725	0.528	2	-0.377	3	95.29	0	0	33.336	1	0	8	4	4	1	10	0	0
O=C(OC1CC(C)CCC1C(C)C)C(=O)C=Cc1ccccc1	45.5	1	0	0	0	0	6	2	0	314.424	2.225	631.359	339.5	69.015	222.843	0	1103.526	0	4	0.004486	0	0.8179826	36.285	10.505	13.662	5.84	4.33	-5.11	-4.225	-5.54	2194.98	-0.486	1157.167	-1.43	9.512	1.177	0	0.497	3	100	0	0	57.727	3	0	12	0	12	6	23	0	0
O=[N+]([O-])c1cc(ccc1C(=O)C)C(=O)C	46.0	2	0	0	0	0	3	0	-2	207.185	8.887	418.675	158.802	168.184	91.69	0	677.55	0	5	0.1165622	0	0.8910769	19.911	6.343	10.523	6.757	0.224	-1.191	-1.513	-3.732	251.776	-1.029	111.408	-4.008	10.929	1.741	1	-0.88	2	71.23	0	0	91.589	5	0	6	0	6	0	15	0	0
ClCCc1ccc(cc1)CCCl	46.5	6	0	0	0	0	2	0	2	203.111	0.294	436.862	163.091	0	125.915	147.855	700.995	0	0	0.0001234	0	0.8735697	21.818	6.552	6.843	1.238	5.153	-5.113	-5.113	-4.178	9906.038	0.518	10000	-0.884	9.836	0.073	2	0.568	3	100	0	0	0	0	1	6	0	6	0	12	0	0
O=CNN(C)c1ccccc1	46.799999	0	0	0	0	0	2	1	0	150.18	4.179	367.963	90.847	91.334	185.782	0	576.125	1	3.5	0.0303162	0.0095118	0.9099948	17.393	5.784	8.94	6.96	0.823	-1.39	-1.364	-3.874	1348.287	-0.292	683.329	-2.356	8.573	-0.29	1	-0.503	3	87.782	0	0	51.057	3	0	6	0	6	0	11	0	0.0233053
OC(CCCc1ccccc1)c1ccccc1	47.0	1	0	0	0	0	6	0	0	226.318	1.99	517.1	96.952	36.167	383.981	0	864.026	1	1.7	0.004584	0.0032876	0.8484155	28.239	9.344	11.208	5.637	4.11	-4.076	-3.788	-5.816	4497.08	-0.133	2512.411	-0.257	9.553	-0.207	3	0.375	3	100	0	0	19.376	1	0	12	0	12	0	17	0	0.00751163
[Si](C)(C)(C)C#CC1(O)Cc2ccccc21	47.200001	1	0	0	0	0	3	0	0	216.354	1.943	525.731	295.28	48.132	182.319	0	855.192	1	0.75	0.0044161	0.0014266	0.8287885	27.886	7.832	10.34	4.094	4.153	-5.04	-3.309	-5.172	3463.1	-0.084	1894.296	-1.476	9.612	-0.247	1	0.65	3	100	0	0	22.176	1	0	8	4	4	2	15	0	0.00346658
O=C(N(CC)CC)c1ccccc1CC(=O)c1ccccc1C	47.200001	0	0	0	0	0	6	0	0	309.407	6.199	596.881	280.619	28.838	287.423	0	1064.161	0	5	0.0361158	0	0.8445313	35.326	10.334	14.292	6.908	3.94	-3.933	-4.044	-5.418	5277.469	-0.068	2986.803	-0.462	9.39	0.216	2	0.115	3	100	0	0	39.107	3	0	12	0	12	0	23	0	0
O=C1Cc2cc(C)cc(C)c21	47.5	2	0	0	0	0	0	1	1	146.188	4.131	374.384	232.321	60.908	81.154	0	586.888	0	2	0.0290712	0	0.9054931	18.108	4.677	6.648	3.556	1.823	-2.265	-1.425	-3.448	2620.024	0.068	1401.163	-2.356	9.69	0.495	3	-0.213	3	100	0	0	33.071	1	0	8	4	4	1	11	0	0
O=C(O)CCCc1ccccc1	48.0	0	0	0	1	0	4	0	-1	164.204	2.106	401.915	100.172	106.696	195.048	0	636.157	1	2	0.0069714	0.0049762	0.8900347	18.599	6.419	8.218	5.291	2.089	-1.832	-2.085	-2.434	244.177	-0.576	137.078	-2.415	9.663	-0.349	2	-0.37	3	81.91	0	0	50.468	2	0	6	0	6	0	12	0	0.01218
O=C(OC)c1cc2ccccc2cc1C(=O)OC	48.5	1	0	0	0	0	2	2	0	244.246	4.616	495.375	190.38	74.404	230.591	0	815.063	0	4	0.0261428	0	0.8518413	27.383	7.822	11.068	6.485	2.42	-3.185	-3.004	-5.029	1951.309	-0.241	1018.962	-1.886	9.276	1.001	0	-0.171	3	100	0	0	61.383	4	0	10	0	10	0	18	0	0
O=C(OCC)C(C#N)=Cc1ccccc1	48.5	1	0	0	0	0	5	1	0	201.224	2.78	470.962	158.747	103.775	208.44	0	751.459	0	3.5	0.0102819	0	0.8487564	22.699	7.191	8.935	5.321	2.033	-3.495	-3.082	-4.973	1027.554	-0.698	509.46	-2.218	9.722	1.281	0	-0.349	3	92.756	0	0	59.613	3	0	6	0	6	0	15	0	0
O=C1C=Cc2ccccc2C=C1CC	49.0	0	0	0	0	0	1	1	1	184.237	5.39	411.737	172.458	36.15	203.129	0	675.077	0	2	0.0430374	0	0.9038874	22.16	6.279	8.304	4.087	2.713	-2.81	-2.417	-4.056	4498.73	0.208	2513.407	-1.374	9.053	1.06	1	0	3	100	0	0	24.843	1	0	11	0	6	0	14	0	0
BrCC(=O)c1ccccc1	49.0	2	0	0	0	0	2	1	1	199.047	5.129	354.493	42.423	42.16	192.907	77.004	547.747	0	2	0.0480186	0	0.9132947	16.325	5.527	6.701	3.727	2.122	-1.879	-2.732	-3.855	3945.492	0.295	5760.918	-1.425	10.201	0.673	1	-0.412	3	100	0	0	26.523	1	0	6	0	6	0	10	0	0
O=C(O)CCc1ccccc1	49.0	1	0	0	1	0	3	0	-1	150.177	2.131	369.488	67.743	106.696	195.049	0	576.36	1	2	0.0078805	0.0054129	0.906486	16.848	5.926	7.683	5.434	1.842	-1.433	-1.815	-2.168	244.177	-0.483	137.078	-2.511	9.765	-0.242	2	-0.482	3	80.468	0	0	50.468	2	0	6	0	6	0	11	0	0.0133176
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)N(Cc1ccccc1)Cc1	49.0	3	0	0	0	1	11	2	2	643.343	5.203	763.552	41.006	12.081	342.773	367.692	1410.479	0	3	0.0191965	0	0.7965954	46.504	11.493	18.478	5.522	8.131	-8.528	-11.422	-5.084	6097.792	0.676	10000	0.521	9.988	1.317	2	1.121	1	100	367.692	12.081	20.984	2	2	12	0	12	0	42	1	0
N1c2ccccc2CC1c1ccccc1	49.0	1	1	0	0	0	0	0	2	195.263	1.853	440.915	60.218	20.332	360.365	0	718.49	1	1	0.0047791	0.002268	0.8798815	26.041	7.763	10.211	5.819	3.051	-2.655	-2.397	-5.92	1584.872	0.787	900.326	-2.687	8.009	-0.209	3	0.35	3	100	0	0	12.92	1	0	15	0	15	2	15	0	0.00512127
[N-]=[N+]=Nc1ccccc1c1ccccc1	49.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oc1ccc(N=Nc2ccc(cc2)CCCC)cc1	49.200001	0	0	0	0	0	6	1	0	254.331	1.473	570.786	194.558	71.265	304.963	0	947.567	1	2.75	0.0022898	0.0048179	0.817395	30.827	9.776	12.609	6.502	3.915	-4.697	-3.977	-5.941	2089.757	-0.509	1097.326	-1.183	8.597	1.212	3	0.403	3	100	0	0	43.147	3	0	12	0	12	0	19	0	0.0108126
