__MOL_ID__	ACTIVITY	LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO
17	7.47	0.02	24.4	4	3	7	36	9	6	4	2	799.4	177.3	-101.5	551.1	1471.7	2.6	6.89e-06	8	4.1	3.91e-07	622.1	5.1	1
18	7.43	2.42	19.7	3	3	6	37	8	6	5	4	749.1	165.8	-107.1	548.5	1453.9	3.4	1.45e-06	7	3.7	7.59e-07	583.3	4.7	1
19	7.43	1.52	19.5	4	3	7	35	10	6	4	3	724.9	204.5	-108.5	510.4	1364	1.4	0.000105	9	0.2	0.00108	520.5	4.6	1
20	7.38	6.93	15.6	4	3	7	35	8	8	4	4	764.2	168.4	-107	523.2	1429.5	3.8	1e-06	7	4.1	5.03e-07	595.7	5	1
21	7.38	0	19.5	4	3	7	33	9	6	4	3	641.6	188.3	-108	489.2	1287.7	1.6	0.000112	8	1.2	0.000238	453.3	4.6	1
22	7.24	1.56	26.9	5	4	9	37	11	7	4	3	755.4	236.6	-110.8	533.8	1428.6	0.9	0.000178	10	0.1	0.000821	518.8	4.8	1
23	7.23	0	19.8	3	3	6	33	8	6	3	2	769.3	175.1	-119.3	511	1367.9	2.7	1.2e-05	7	3.8	1.26e-06	594.2	4.7	1
24	7.19	0.28	19.1	3	3	6	33	8	6	4	3	646.6	168.3	-103.2	497.9	1304.1	2.5	1.77e-05	7	2.9	7.9e-06	478.3	4.6	1
25	7.12	0.02	21.3	3	3	6	39	8	9	3	2	878.2	117.4	-88.1	618.3	1612.6	3.9	2.87e-07	7	6.5	1.44e-09	760.8	4.9	1
26	7.05	2.42	21.8	4	3	7	35	9	6	3	2	797.6	162.6	-103.6	530.6	1420.4	2.4	1.25e-05	8	3.9	6.48e-07	634.9	4.7	1
27	7.02	2.76	22.1	5	3	8	38	10	7	4	3	795.9	169.8	-105.6	558.9	1483.4	2.4	6.98e-06	9	3.3	1.11e-06	626.1	4.8	3
28	6.96	0.84	14.2	4	3	7	31	8	7	3	3	679	171.1	-105.4	470.6	1296.5	2.9	1.28e-05	7	3.3	5.41e-06	507.9	4.8	1
29	6.92	2.51	24.5	5	3	8	40	10	7	5	4	771.6	231.8	-168.1	568.5	1489.6	2.8	2.46e-06	9	3.2	9.92e-07	539.8	4.8	1
30	6.92	1.55	21.5	3	3	6	37	8	6	5	4	700.3	159.2	-101.9	551.4	1445.4	3.4	1.45e-06	7	3.9	5.17e-07	541.2	4.8	1
31	6.92	2.24	18.3	3	4	7	32	8	9	3	3	729.6	176.8	-105.8	493.6	1371.2	2.7	1.5e-05	7	2.8	1.17e-05	552.8	5.1	1
32	6.82	2.17	20.6	5	3	8	37	10	7	4	3	831	195.8	-108.2	543.3	1470.7	2.2	1.3e-05	9	2.4	8.52e-06	635.2	5.1	2
33	6.82	1.86	22.2	5	3	8	42	10	10	3	2	911.9	147	-89.3	650.5	1706.5	3.3	4.13e-07	9	5.6	4.47e-09	764.9	5.1	1
34	6.8	2.36	19.6	4	4	8	37	10	7	4	3	807.7	195.4	-108.6	546.6	1475.4	1.8	2.94e-05	9	1.3	7.09e-05	612.3	5	1
35	6.74	2.18	20.6	5	3	8	36	10	7	3	2	810.1	182.6	-105.3	535.3	1447.5	2.1	1.68e-05	9	2.9	3.9e-06	627.5	4.9	1
36	6.7	3.35	22.1	5	3	8	41	10	7	5	4	852.7	165.3	-97	595.3	1577.7	3	1.11e-06	9	3.7	3.06e-07	687.4	4.9	2
37	6.68	1.95	23.7	5	3	8	43	10	9	5	4	912.9	185.8	-107	639.5	1722.8	3.4	3.34e-07	9	4.1	8.28e-08	727.1	5.7	1
38	6.64	0.26	19.1	3	3	6	33	8	6	4	3	713.4	169.7	-118.9	497.6	1315.9	2.5	1.77e-05	7	2.9	7.9e-06	543.7	4.6	1
39	6.64	2.14	21.2	4	4	8	42	10	10	3	2	927.6	157.2	-90.1	653.8	1711.4	2.9	9.33e-07	9	4.5	3.72e-08	770.4	5.1	2
40	6.59	1.17	22.7	5	3	8	36	10	7	4	3	665.3	216.8	-145.4	519.6	1341.2	2	2.49e-05	9	2.5	8.44e-06	448.5	4.6	2
41	6.55	1.09	12.5	4	3	7	29	8	6	3	3	630.4	181	-108.2	431.5	1192.8	2.5	4.79e-05	7	2.4	5.17e-05	449.4	4.7	1
42	6.55	3.64	22.7	4	4	8	43	10	9	5	4	962.9	192.3	-107.6	642.3	1725.3	3	7.55e-07	9	3	6.89e-07	770.6	6.1	2
43	6.49	0.5	20.8	3	3	6	36	8	6	5	3	709.8	164.9	-102.7	545.1	1440.6	3.1	2.75e-06	7	3.8	7.27e-07	544.9	4.9	3
44	6.47	0.69	19.9	4	3	7	34	9	6	4	3	674.3	185.3	-110.2	502.1	1317.7	1.8	5.99e-05	8	2.3	2.03e-05	489	4.6	1
45	6.47	0.43	18.5	3	3	6	30	8	6	3	2	706.5	178.1	-110.5	461.2	1236.7	2	8.47e-05	7	2.3	4.98e-05	528.4	4.6	1
46	6.46	0.28	17.4	3	3	6	29	8	6	3	2	690.8	176.6	-106.8	444.8	1220.1	1.8	0.000165	7	1.8	0.000165	514.2	4.6	1
47	6.38	0.74	23	5	3	8	38	10	7	4	3	736.2	181.9	-111.2	562.7	1457.7	2.4	6.98e-06	9	3.3	1.11e-06	554.2	4.7	3
48	6.3	0	19.6	3	4	7	33	9	6	4	3	650.7	201.5	-135.3	491	1295.6	1.6	0.000112	8	1	0.000381	449.2	4.7	1
49	6.29	2.1	22.3	5	3	8	39	10	8	4	3	892.9	182.2	-104.6	582.7	1582.9	2.6	3.75e-06	9	3.3	8.92e-07	710.8	5.6	2
50	6.24	1.85	21.8	5	3	8	36	10	7	4	3	760.9	249.2	-173.8	519.7	1399.4	2	2.49e-05	9	2.1	1.92e-05	511.6	4.7	1
51	6.2	4.58	23.6	5	3	8	42	10	9	5	4	940.7	179.2	-107.9	621.3	1679.8	3.2	6.09e-07	9	4.1	1.03e-07	761.5	5.8	2
52	6.18	4.31	20.5	5	3	8	36	10	7	4	3	774.1	183.4	-108.1	525.1	1427.9	2	2.45e-05	9	2.4	1.06e-05	590.6	4.9	2
53	6.16	6.95	25.2	5	3	8	47	10	9	6	5	962.4	160.1	-96.3	691.6	1801.2	4.2	3.15e-08	9	5.4	2.98e-09	802.3	5.1	2
54	6.05	1.72	25.3	5	3	8	48	10	12	4	3	1061.5	148.6	-88.8	746.8	1958.6	4.4	1.23e-08	9	7.3	4.34e-11	912.9	5.9	2
55	5.96	0.77	21.8	5	3	8	36	10	7	4	3	713.6	238.5	-160.3	524.5	1399.5	2	2.49e-05	9	2.1	1.92e-05	475.2	4.8	2
56	5.92	-0.02	18.8	3	3	6	28	7	5	2	1	695	129.9	-87.8	436.8	1204.2	2.7	4.78e-05	7	2.7	4.87e-05	565.1	4.6	1
57	5.74	3.59	24.3	4	4	8	48	10	12	4	3	1059.8	151.4	-89	749.7	1960.9	4	2.78e-08	9	6.2	3.61e-10	908.4	5.9	2
58	5.68	1.95	24.8	5	3	8	42	10	8	5	3	937.7	183	-105.1	627.2	1696.6	3.2	6.24e-07	9	4.7	3.14e-08	754.7	5.9	1
59	5.64	0.44	20.5	4	4	8	37	10	7	4	3	712.1	179.2	-110	547	1427.5	1.8	2.94e-05	9	1.3	7.09e-05	532.9	4.7	2
60	5.54	2.35	21.7	5	3	8	35	10	7	4	3	697	236.3	-160.3	505.9	1366.3	1.8	4.71e-05	9	2	2.8e-05	460.7	4.7	2
61	5.51	3.7	22.7	4	4	8	43	10	9	5	4	916.2	189.4	-107.4	642.6	1725.5	3	7.55e-07	9	3	6.89e-07	726.9	5.7	1
62	5.51	1.21	16.3	4	4	8	31	9	6	3	2	716.3	187.4	-107.4	467.2	1288	1.6	0.000167	8	2.1	6.12e-05	528.9	5.1	1
63	5.24	1.49	11.5	3	4	7	29	8	6	3	3	629.5	183.9	-108.8	434.7	1197.4	2.1	0.000108	7	1.4	0.000431	445.6	4.7	1
64	5.21	1.4	13.2	3	4	7	31	8	7	3	3	678	170.9	-105.4	473.6	1300.3	2.5	2.88e-05	7	2.3	4.51e-05	507.1	4.8	1
65	5.14	0.68	23.4	5	3	8	41	10	10	3	2	865.7	196	-153.5	624.1	1626	3.1	7.69e-07	9	5.3	1.01e-08	669.7	4.8	2
66	4.89	0.14	20.1	3	3	6	24	9	4	2	1	656.7	225	-151.6	358.8	1040.6	-0.4	0.0343	8	-1.5	0.324	431.7	4.7	1
67	4.82	1.95	28.2	3	4	7	39	9	7	5	3	868.3	166.3	-106	589.2	1576.1	2.8	2.67e-06	8	3.4	7.31e-07	701.9	5.4	1
68	4.77	2.31	13.7	4	4	8	30	9	6	2	2	753.3	174.9	-119	451.7	1244.7	1.7	0.000145	8	1.9	0.000102	578.4	4.6	1
69	4.57	0.01	19	1	3	4	21	5	3	2	1	549.2	147.7	-128.5	329.4	949.8	1.5	0.00253	5	1.1	0.00548	401.5	4.3	1
70	4.52	2.57	10.8	4	3	7	28	8	6	3	3	577.6	216.5	-152.4	408.1	1128.1	2.3	9.56e-05	7	2.1	0.000117	361.1	4.7	1
71	4.46	0.15	25.9	5	3	8	40	10	7	5	4	712.8	234.9	-160.3	573	1484.5	2.8	2.46e-06	9	3	1.54e-06	477.9	4.8	1
72	4.36	2.1	11.6	3	4	7	28	8	6	2	2	716.9	172	-117.8	427	1181.8	2	0.000145	7	1.8	0.000197	544.9	4.4	1
73	8.48	1.83	23.9	5	3	8	37	12	7	4	3	760.1	224.2	-110.9	543	1454	1	9.8e-05	10	0.7	0.000162	535.9	4.8	1
74	7.89	2.03	19.3	4	3	7	32	8	9	3	3	730.3	175	-105.6	490.6	1368.2	3.1	6.66e-06	7	3.9	1.41e-06	555.3	5.1	1
75	7.59	1.01	23.9	5	3	8	37	12	7	4	3	771	214.9	-120.9	546.9	1454.3	1	9.8e-05	10	0.7	0.000162	556.1	4.8	1
76	7.52	0.04	21.2	3	3	6	35	8	6	4	3	721.7	172.1	-106.1	530.4	1388.4	2.9	4.97e-06	7	3.9	7.16e-07	549.7	4.7	1
77	7.44	0.01	19.4	4	3	7	34	9	6	4	3	704.2	177.8	-104.4	513.5	1372.5	1.8	5.99e-05	8	1.2	0.000202	526.4	4.8	1
78	7.28	0.04	18.1	3	3	6	32	8	6	4	3	653.9	177.8	-106.4	482.7	1294	2.3	3.36e-05	7	2.4	2.63e-05	476	4.7	1
79	7.16	1.05	21.5	5	3	8	37	10	7	4	3	706.5	174.3	-109.1	543.6	1421.3	2.2	1.3e-05	9	2.9	3.19e-06	532.2	4.7	2
80	6.77	0.54	18.8	4	3	7	30	9	6	3	2	693.6	198	-113.6	451.9	1215.6	1.1	0.000549	8	0.6	0.0015	495.6	4.5	1
81	6.59	2.17	19.6	4	4	8	37	10	7	4	3	831.9	201.2	-109.1	546.6	1475.6	1.8	2.94e-05	9	1.3	7.09e-05	630.7	5.1	2
82	6.55	1.33	25.5	5	3	8	42	12	10	3	2	861	163.5	-93.3	649	1690.9	2.1	2.96e-06	10	3.9	8.51e-08	697.5	4.9	1
83	6.52	2.12	23.7	5	3	8	43	10	9	5	4	962	188.5	-107.2	639.6	1723.1	3.4	3.34e-07	9	4.1	8.28e-08	773.5	6.1	2
84	6.28	1.87	26.2	3	3	6	39	9	6	5	4	782.8	164.1	-105	582.4	1534.9	2.8	2.67e-06	8	3.3	1.08e-06	618.7	5	1
85	6.28	2.85	22.1	5	3	8	38	10	7	4	3	708.3	176	-110.2	553.6	1424.1	2.4	6.98e-06	9	3.3	1.11e-06	532.3	4.7	3
86	6.15	1.96	22.3	5	3	8	39	10	8	4	3	871.8	183	-104.9	582.5	1582.6	2.6	3.75e-06	9	3.3	8.92e-07	688.9	5.4	1
87	5.42	2.12	13.1	3	4	7	34	8	9	2	2	785.4	118.4	-89.4	537.3	1436.8	3.3	2.85e-06	7	4.6	2.26e-07	667.1	4.7	1
88	4.74	1.53	10.9	3	4	7	26	8	6	2	2	685.9	187.2	-115.2	396.7	1114.9	1.5	0.000572	7	0.7	0.00271	498.6	4.5	1
