__MOL_ID__	ACTIVITY	QikProp_#stars	QikProp_#amine	QikProp_#amidine	QikProp_#acid	QikProp_#amide	QikProp_#rotor	QikProp_#rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
45	6.47	0	0	1	0	1	9	0	-2	428.548	8.798	667.282	269.957	181.086	216.239	0.000	1268.996	3.250	8.250	0.0609964	0.0222888	0.8494981	40.917	13.531	23.703	16.124	1.945	-3.465	-4.643	-3.624	141.274	-1.652	82.161	-5.294	8.438	0.468	3	-0.243	3	76.814	0.000	16.155	114.235	7	0	18	0	18	5	30	0	0.0347054
46	6.46	0	0	1	0	1	9	0	-2	414.521	9.244	657.043	262.147	177.016	217.881	0.000	1249.717	3.250	8.250	0.0683814	0.0226361	0.8539762	40.162	13.344	23.531	15.995	1.864	-3.345	-4.379	-3.559	157.791	-1.597	90.446	-5.213	8.427	0.480	3	-0.284	3	77.203	0.000	14.972	115.883	7	0	17	0	17	4	29	0	0.0358797
47	6.38	0	0	1	0	1	10	1	-2	536.645	9.404	749.893	253.963	183.630	312.300	0.000	1481.092	3.250	10.250	0.0597034	0.0246414	0.8379540	49.681	16.093	28.015	17.596	2.554	-4.569	-6.244	-4.269	177.562	-1.783	77.373	-4.906	8.464	0.784	3	-0.102	3	69.198	0.000	0.651	138.741	9	1	22	0	22	5	38	0	0.0344332
48	6.3	0	1	1	0	1	9	0	-2	465.569	8.274	692.186	148.386	211.068	332.732	0.000	1322.464	4.250	9.750	0.0517669	0.0290386	0.8417787	44.170	15.269	27.308	20.191	0.964	-2.175	-3.992	-5.031	17.999	-1.566	9.985	-7.498	8.484	0.973	2	-0.381	2	55.058	0.000	17.086	132.003	8	0	22	0	22	4	33	1	0.0431732
49	6.29	1	0	1	0	1	11	1	-2	550.671	10.493	865.682	325.530	193.061	346.338	0.753	1623.149	3.250	10.250	0.0678375	0.0213455	0.7715763	55.049	18.014	29.810	19.958	3.312	-5.376	-6.521	-5.505	87.876	-2.260	62.525	-4.864	8.156	1.102	3	0.125	3	68.169	0.000	27.793	143.293	9	1	22	0	22	5	39	0	0.0335562
50	6.24	0	0	1	1	1	10	0	-2	508.591	11.623	760.634	155.049	258.493	346.338	0.753	1430.159	4.250	10.250	0.0944582	0.0277807	0.8070718	47.967	16.747	29.613	21.827	2.101	-3.794	-5.617	-3.124	5.344	-2.683	3.847	-6.166	8.150	1.144	3	-0.460	2	39.316	0.000	27.682	158.909	9	1	22	0	22	5	36	1	0.041548
51	6.2	2	0	1	0	1	12	1	-2	584.689	12.236	909.510	176.668	181.338	551.242	0.261	1703.056	3.250	10.250	0.0879073	0.0203169	0.7583046	59.561	20.220	31.858	20.684	4.107	-6.150	-7.560	-6.697	127.611	-2.262	81.944	-3.830	8.092	1.032	4	0.270	2	75.723	0.000	21.405	139.396	9	1	27	0	27	4	42	1	0.0316039
52	6.18	0	0	1	0	1	10	1	-2	508.591	11.749	780.674	240.001	190.506	349.905	0.261	1458.287	3.250	10.250	0.0946654	0.0236699	0.7966314	49.127	16.361	28.195	19.511	2.359	-4.368	-5.700	-5.117	104.387	-2.040	66.000	-4.900	8.098	1.038	3	-0.211	3	63.930	0.000	21.443	139.613	9	1	21	0	21	4	36	0	0.0363327
53	6.16	3	0	1	0	1	12	1	-2	646.759	10.197	924.564	112.191	171.391	640.767	0.216	1824.420	3.250	10.250	0.0569958	0.0199861	0.7809883	65.273	21.618	33.717	19.801	5.057	-7.056	-9.168	-6.757	227.683	-2.033	103.569	-3.331	8.178	1.074	6	0.607	1	72.831	0.000	1.667	135.814	9	2	32	0	32	3	47	1	0.0285708
54	6.05	4	0	1	0	1	15	1	-2	674.897	8.831	998.088	532.832	158.044	307.212	0.000	2019.416	3.250	10.250	0.0386148	0.0185138	0.7741288	67.965	20.901	33.755	18.107	5.965	-7.298	-9.127	-5.278	229.171	-2.099	141.531	-3.972	8.334	0.469	9	0.982	1	78.197	0.000	17.212	136.952	9	2	24	0	24	5	48	2	0.0273796
55	5.96	0	0	1	1	1	10	0	-2	508.591	9.270	757.923	143.489	281.662	332.772	0.000	1448.252	4.250	10.250	0.0593298	0.0278800	0.8167754	48.562	16.935	29.482	21.699	2.044	-3.832	-5.617	-2.902	3.375	-2.854	2.206	-6.641	8.465	0.955	3	-0.403	2	35.412	0.000	25.154	163.429	9	1	22	0	22	5	36	1	0.0415479
56	5.92	0	0	1	0	1	8	0	-2	388.509	5.860	678.967	424.950	130.903	123.113	0.000	1251.590	3.250	6.250	0.0274385	0.0165948	0.8272270	39.974	12.371	21.370	13.021	2.791	-4.510	-4.221	-3.540	467.496	-1.194	268.559	-4.793	8.560	0.351	2	0.037	3	91.070	0.000	10.649	100.907	7	0	12	0	12	5	28	0	0.0290014
57	5.74	5	0	1	0	2	15	0	-2	673.912	10.139	1005.523	532.702	163.741	309.079	0.000	2023.724	4.250	10.750	0.0508013	0.0220400	0.7694974	68.156	21.277	35.716	21.940	4.943	-6.320	-8.162	-3.987	129.366	-2.184	123.723	-4.071	8.322	0.429	9	0.507	1	80.728	0.000	41.623	138.802	9	1	24	0	24	5	48	2	0.0328852
58	5.68	1	0	1	0	1	11	1	-2	590.736	10.656	919.883	384.110	188.681	346.338	0.753	1737.613	3.250	10.250	0.0653532	0.0200878	0.7598615	59.630	19.125	31.336	20.051	4.033	-6.281	-7.287	-5.695	96.892	-2.276	69.334	-4.783	8.157	1.134	3	0.402	1	73.151	0.000	27.682	142.839	9	1	28	0	28	11	42	1	0.0312803
59	5.64	0	0	1	0	2	10	0	-2	521.633	11.454	739.216	235.411	190.363	313.442	0.000	1455.199	4.250	10.750	0.0901510	0.0299800	0.8401214	48.655	16.148	29.830	20.046	1.407	-4.029	-5.044	-2.865	136.587	-1.837	66.005	-5.026	8.437	0.537	3	-0.586	3	60.447	0.000	6.944	141.324	9	1	22	0	22	5	37	0	0.0424852
60	5.54	0	0	1	1	1	10	0	-2	494.564	11.071	728.441	131.327	251.058	346.057	0.000	1390.743	4.250	10.250	0.0881287	0.0290084	0.8271833	46.387	16.273	29.007	20.272	1.947	-3.940	-5.353	-2.797	8.947	-2.485	4.542	-6.030	8.400	0.864	3	-0.521	2	55.375	0.000	8.425	156.237	9	0	21	0	21	4	35	1	0.0427263
61	5.51	2	0	1	0	2	12	0	-2	597.731	11.953	933.238	185.159	200.859	546.467	0.753	1752.913	4.250	10.750	0.0815101	0.0237471	0.7533779	61.511	21.058	34.259	25.069	3.276	-5.266	-6.887	-5.380	47.495	-2.517	52.015	-4.207	8.159	1.144	4	-0.077	2	63.178	0.000	52.074	147.010	9	1	28	0	28	5	43	0	0.0370764
62	5.51	0	0	1	0	1	9	0	-2	444.548	9.080	710.361	311.382	189.915	209.064	0.000	1322.706	4.250	8.500	0.0623279	0.0246680	0.8203414	42.998	14.279	25.973	17.779	1.909	-4.063	-4.786	-4.062	121.535	-1.860	66.707	-5.482	8.445	0.245	3	-0.235	3	75.438	0.000	13.848	130.946	8	0	16	0	16	3	31	0	0.039418
63	5.24	0	0	1	0	1	9	0	-2	410.490	8.512	663.197	115.236	188.519	359.441	0.000	1215.528	4.250	7.750	0.0596060	0.0240909	0.8305508	40.145	14.336	24.771	17.859	1.736	-3.541	-4.593	-4.614	127.835	-1.801	68.941	-4.926	8.467	0.854	2	-0.371	3	74.813	0.000	12.754	123.218	7	0	16	0	16	0	29	0	0.0389218
64	5.21	0	0	1	0	1	10	0	-2	438.543	8.820	711.094	180.595	176.613	353.886	0.000	1325.717	4.250	7.750	0.0586777	0.0224683	0.8207398	43.860	15.233	25.958	17.415	2.458	-4.222	-5.128	-4.746	175.098	-1.787	91.309	-4.630	8.460	0.850	2	-0.164	3	81.490	0.000	9.773	120.319	7	0	16	0	16	0	31	0	0.0364322
65	5.14	0	0	1	1	1	13	0	-2	584.772	8.578	850.347	502.983	219.390	127.973	0.000	1723.086	4.250	10.250	0.0427069	0.0248498	0.8174108	55.679	17.413	31.138	17.933	3.894	-5.468	-6.862	-1.915	19.109	-2.409	9.591	-5.927	8.506	0.344	8	0.136	2	59.719	0.000	4.748	148.676	9	1	18	0	18	5	41	2	0.0361354
66	4.89	0	1	1	0	1	8	0	-2	353.438	6.848	614.382	237.623	246.580	129.426	0.753	1083.503	5.000	10.000	0.0432783	0.0363954	0.8303865	33.307	12.057	24.368	21.227	-1.096	-0.812	-1.234	-4.246	6.800	-1.902	4.360	-8.965	8.476	0.421	4	-0.918	2	35.429	0.000	27.885	134.289	8	0	12	0	12	4	24	1	0.0632662
67	4.82	0	1	1	0	1	9	0	-2	547.714	10.993	849.856	336.653	166.111	346.338	0.753	1612.057	3.250	10.250	0.0749698	0.0217430	0.7823603	55.889	17.639	30.190	20.170	2.916	-4.226	-5.450	-6.057	39.557	-1.388	29.127	-6.622	8.131	1.109	2	0.195	2	59.650	0.000	27.682	117.096	8	1	28	0	28	10	39	0	0.0337374
