__MOL_ID__	ACTIVITY	moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_FCharge	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC+	moe2D_PEOE_PC-	moe2D_PEOE_RPC+	moe2D_PEOE_RPC-	moe2D_PEOE_VSA+0	moe2D_PEOE_VSA+1	moe2D_PEOE_VSA+2	moe2D_PEOE_VSA+3	moe2D_PEOE_VSA+4	moe2D_PEOE_VSA+5	moe2D_PEOE_VSA+6	moe2D_PEOE_VSA-0	moe2D_PEOE_VSA-1	moe2D_PEOE_VSA-2	moe2D_PEOE_VSA-3	moe2D_PEOE_VSA-4	moe2D_PEOE_VSA-5	moe2D_PEOE_VSA-6	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC+	moe2D_Q_PC-	moe2D_Q_RPC+	moe2D_Q_RPC-	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_acid	moe2D_a_aro	moe2D_a_base	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nB	moe2D_a_nBr	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nI	moe2D_a_nN	moe2D_a_nO	moe2D_a_nP	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_b_triple	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_chiral_u	moe2D_density	moe2D_diameter	moe2D_kS_X	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aaNH	moe2D_kS_aaO	moe2D_kS_aaS	moe2D_kS_aaaC	moe2D_kS_aasC	moe2D_kS_aasN	moe2D_kS_dCH2	moe2D_kS_dNH	moe2D_kS_dO	moe2D_kS_dS	moe2D_kS_ddC	moe2D_kS_ddsN	moe2D_kS_ddssS	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_dssS	moe2D_kS_dsssP	moe2D_kS_sBr	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sI	moe2D_kS_sNH2	moe2D_kS_sNH3	moe2D_kS_sOH	moe2D_kS_sPH2	moe2D_kS_sSH	moe2D_kS_sSiH3	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssNH2	moe2D_kS_ssO	moe2D_kS_ssPH	moe2D_kS_ssS	moe2D_kS_ssSiH2	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_sssNH	moe2D_kS_sssP	moe2D_kS_sssSiH	moe2D_kS_ssssC	moe2D_kS_ssssN	moe2D_kS_ssssSi	moe2D_kS_sssssP	moe2D_kS_tCH	moe2D_kS_tNH	moe2D_kS_tsC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP(o/w)	moe2D_logS	moe2D_mr	moe2D_nmol	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_acid	moe2D_vsa_base	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb
11	7.72	16.76	3.702	0.408	2.21	2.666	-2.726	-0.5509	0.6144	2.675	-2.888	-0.493	0.7019	2.524	-2.448	-0.4185	0.7546	2.95	0	-0.8456	-0.4019	0.06446	2.862	-1.37	-0.3795	0.1448	2.842	-0.5123	-0.1956	0.1681	3.135	29.97	13.57	7.809	23.88	10.74	6.151	6.933	3.359	-3.359	0.1081	0.1142	115.1	117.9	11.19	25.86	12.95	4.185	19.2	39.84	85.78	0	2.53	45.58	25.76	9.155	0.7731	0.4051	0.1563	0.2269	0.5949	0.07055	398.2	208.7	80.5	116.8	306.4	36.33	8.607	-8.607	0.1681	0.1062	0.511	0.4354	0.1612	0.489	0.5646	0.3278	263.2	224.2	83.03	251.9	290.8	168.8	13.98	106.9	6.249	49.63	10.35	38.04	212.9	88.66	42.02	1.924	49.3	69.32	45.48	73.76	6.371	55.8	0	230.9	0	23.86	145.9	0.3212	6.322	3.752	10.16	523.6	112.6	1.706	5	0	16	0	66	3	37	23	0	0	26	0	0	29	0	5	5	0	1	77.51	9	0.225	17	69	3	40	10	0.25	49	0	1.433	45.97	26.58	17.51	21.2	15.46	17.67	9.899	13.22	7.437	7.17	4.382	3.16	0.7041	1.185	0.3679	13.59	5.57	6.696	2.859	0.2041	0	10.45	4.378	4.636	1.886	0.02552	0	6.896	1.515	2.332	0.6632	1	0	0.7786	16	0	19.04	0	0	0	0	1.667	1.185	0	0	7.7	52.24	0	0	0	-4.058	0	0	-0.9961	0	0	0	1.298	0	0	0	5.616	0	0	0	0	0	1.111	2.605	0	4.752	0	0	0	-1.108	3.038	0	0	0	0	0	0	0	0	0	0	10	4	1	1	2.389	-5.742	14.11	1	24	0	4	8	2	0.5	1	8	0	4	515	672.5	59.15	0	0	25.82	326.3	55.95	102.7	4440	61	194
12	7.68	15.95	3.32	0.408	1.463	2.575	-2.633	-0.5995	0.6588	2.693	-2.794	-0.5032	0.7252	2.76	-2.36	-0.4559	0.8106	2.962	0	-0.8537	-0.3966	0.07129	2.887	-1.37	-0.358	0.1525	2.906	-0.5304	-0.2009	0.182	3.157	27.05	12.5	7.287	21.72	9.965	5.782	6.365	2.681	-2.681	0.1054	0.1431	114.9	70.94	11.19	25.86	12.95	4.185	0	57.24	103.2	0	2.53	32.02	25.76	6.651	0.8255	0.4864	0.1378	0.1745	0.5136	0.03666	385.9	227.4	64.43	81.57	240.1	17.13	6.946	-6.946	0.2083	0.1315	0.6466	0.4453	0.1432	0.3534	0.5547	0.2102	302.2	208.2	66.96	165.2	259.3	98.25	13.43	72.03	3.124	49.63	10.35	38.04	288.4	44.47	6.641	3.416	49.3	58.88	34.48	36.88	6.371	20.42	0	230.9	75.47	0	116.4	0.3432	6.209	3.6	9.921	478.6	101.8	1.591	4	0	16	0	64	3	34	24	0	0	26	0	0	30	0	4	3	0	1	75.47	8	0.2162	17	67	2	37	8	0.2162	48	0	1.447	42.21	24.13	17.35	19.85	15.38	16.33	11.4	13.05	8.937	8.585	5.796	2.758	0.7041	1.036	0.3679	12.22	6.32	6.59	3.609	0.2041	0	9.711	4.731	4.688	2.24	0.02552	0	5.807	1.515	1.993	0.6632	1	0	0.7446	14	0	19.54	0	0	0	0	1.759	1.398	0	0	7.697	40.27	0	0	0	-3.955	0	0	-0.2977	0	0	0	0	0	0	0	5.627	0	0	0	0	0	5.381	2.685	0	0	0	0	0	-0.9613	1.773	0	0	0	0	0	0	0	0	0	0	7	4	1	0	4.421	-6.405	13.53	1	25	1	4	9	1	0.5	1	7	0	4	467.4	642.8	45.58	0	0	25.82	313.3	34.25	89.14	3434	57	178
13	7.64	16.79	3.575	0.408	2.457	3.294	-2.734	-0.5752	0.6366	2.675	-2.89	-0.4982	0.6843	2.53	-2.451	-0.4372	0.7826	2.953	0	-0.8517	-0.4039	0.06788	2.864	-1.37	-0.4012	0.125	2.844	-0.512	-0.1983	0.175	3.138	28.99	12.9	7.568	22.95	10.14	5.917	6.462	3.117	-3.117	0.09069	0.1231	121.7	105.1	11.19	25.86	25.9	4.185	0	39.84	85.78	0	2.53	32.02	39.33	6.651	0.7838	0.4123	0.156	0.2162	0.5877	0.06016	391.9	206.1	78	108.1	293.9	30.08	8.177	-8.177	0.177	0.1117	0.5638	0.4434	0.161	0.4362	0.5566	0.2752	281.9	221.7	80.53	218.1	278.3	137.6	13.81	95.9	6.249	49.63	10.35	38.04	212.9	86.6	39.97	1.704	49.3	67.27	58.35	73.76	6.371	20.42	0	230.9	0	33.33	136.7	0.3282	6.285	3.702	10.08	507.6	108.8	1.673	5	0	16	0	65	3	36	23	0	0	26	0	0	29	0	5	4	0	1	76.7	9	0.2308	17	68	3	39	9	0.2308	48	0	1.438	44.06	25.87	17.51	20.79	15.46	17.14	10.48	13.11	7.937	7.17	4.382	3.258	0.7041	1.239	0.3679	13.08	5.57	6.709	2.859	0.2041	0	10.21	4.378	4.639	1.886	0.02552	0	6.847	1.515	2.438	0.6632	1	0	0.7669	15	0	19.14	0	0	0	0	1.686	1.23	0	0	7.694	52.01	0	0	0	-4.034	0	0	-0.5377	0	0	0	1.486	0	0	0	5.615	0	0	0	0	0	1.51	2.618	0	0	0	0	0	-1.076	3.246	0	0	0	0	0	0	0	0	0	0	9	4	1	1	2.103	-5.672	13.91	1	24	0	4	8	2	0.4667	0.875	8	0	4	500	661.9	59.15	0	0	25.82	320	47.2	102.7	4089	59	190
14	7.59	19.01	3.703	0.408	2.111	3.64	-2.787	-0.5952	0.6196	2.725	-2.836	-0.5007	0.6966	2.763	-2.522	-0.4558	0.7446	2.991	0	-0.8522	-0.3966	0.06435	2.922	-1.37	-0.3704	0.1525	2.92	-0.5298	-0.2009	0.1717	3.191	31.43	13.33	7.059	24.34	10.25	5.403	6.239	3.212	-3.212	0.08803	0.1194	123.8	70.94	11.19	42.77	12.95	4.185	0	52.82	104.5	0	2.53	32.02	52.9	6.651	0.7899	0.4861	0.177	0.2101	0.5139	0.03313	408.6	251.4	91.57	108.7	265.8	17.13	8.086	-8.086	0.1789	0.113	0.5954	0.4549	0.1819	0.4046	0.5451	0.2227	308	235.3	94.09	209.3	282	115.2	15	119.8	3.124	54.04	23.1	32.9	250.7	55.84	39.97	2.894	49.3	70.26	34.48	36.88	71.25	20.42	0	225.7	37.74	33.33	150.5	0.3073	6.459	3.809	10.38	558.7	115	1.643	6	0	18	0	70	3	40	26	0	0	30	0	0	30	0	4	5	0	1	84.11	8	0.1818	18	74	4	44	8	0.1818	52	0	1.289	44.13	28.6	19.82	22.83	17.54	19.05	12.96	14.6	10.08	10.37	7.058	3.643	1.204	1.548	0.7785	15.37	7.835	7.943	4.58	0.2041	0	12.43	5.654	5.535	2.595	0.02552	0	8.208	2.383	2.977	1.309	1	0	0.7726	16	0	17.05	0	0	0	0	0	1.545	0	0	7.727	67.04	0	0	0	-4.28	0	0	-1.259	0	0	0	2.121	0	0	0	5.633	0	0	0	0	0	2.753	2.567	0	0	0	0	0	-0.6509	1.675	0	0	0	0	0	0	0	0	0	0	9	4	1	1	4.173	-7.341	15.28	1	29	0	5	8	3	0.5	1	8	0	5	517.3	723.1	72.72	0	0	25.82	317.7	51.16	116.3	5338	72	218
15	7.59	13.82	2.577	0.408	1.417	2.17	-2.787	-0.5952	0.6196	2.725	-2.836	-0.5007	0.6961	2.763	-2.522	-0.4558	0.7445	2.991	0	-0.8522	-0.3756	0.06435	2.856	-1.37	-0.3569	0.1525	2.856	-0.5298	-0.2009	0.1717	3.118	25.62	11.42	7.239	21.26	9.414	5.938	6.455	2.564	-2.564	0.11	0.1496	140	45.89	11.19	25.86	12.95	4.185	0	86.03	55.51	0	2.53	32.02	25.76	6.651	0.8182	0.4648	0.1436	0.1818	0.5352	0.0382	367	208.5	64.43	81.57	240.1	17.13	6.64	-6.64	0.2179	0.1376	0.6317	0.387	0.1493	0.3683	0.613	0.219	283.3	173.6	66.96	165.2	275	98.25	12.14	72.03	3.124	54.04	13.54	32.9	197.8	44.47	73.29	2.427	49.3	58.88	34.48	36.88	13.97	20.42	0	172.8	37.74	66.65	116.3	0.361	6.044	3.509	9.654	442.6	97.77	1.603	4	0	12	0	61	3	31	21	0	0	23	0	0	30	0	4	3	0	1	70.19	8	0.2424	12	63	2	33	8	0.2424	49	0	1.687	42.21	22.6	15.81	18.78	14.31	14.65	9.72	11.95	7.837	7.495	5.368	3.002	0.9481	1.324	0.6565	10.86	5.006	6.072	3.135	0.2041	0	8.145	2.977	4	1.431	0.02552	0	5.721	1.411	2.223	0.8855	1	0	0.7436	13	0	13.54	0	0	0	0	0	2.357	0	0	7.643	39.37	0	0	0	-3.882	0	0	-0.3002	0	0	0	4.044	0	0	0	5.59	0	0	0	0	0	3.232	2.631	0	0	0	0	0	-0.388	1.747	0	0	0	0	0	0	0	0	0	0	7	4	1	0	3.376	-5.315	12.33	1	19	1	3	8	0	0.4615	0.8571	7	0	3	448.6	595.2	45.58	0	0	25.82	293	34.25	89.14	2698	48	160
16	7.49	15.3	2.866	0.408	0.925	2.136	-2.758	-0.3598	0.4756	2.693	-2.904	-0.3635	0.4915	2.56	-2.461	-0.1941	0.6137	3	0	-0.8532	-0.3884	0.01031	2.954	-1.37	-0.4153	0.05139	2.937	-0.5117	-0.1284	0.1305	3.224	32.51	13.32	8.064	29.16	11.91	7.195	9.139	3.341	-3.341	0.08626	0.1148	185.5	58.76	23.99	46.58	12.95	4.185	0	93.87	36.76	0	2.53	64.03	25.76	9.155	0.7942	0.4115	0.1754	0.2058	0.5885	0.03038	448	232.1	98.95	116.1	332	17.13	8.989	-8.989	0.161	0.1016	0.5369	0.3116	0.1799	0.4631	0.6884	0.2832	302.9	175.8	101.5	261.2	388.3	159.7	14.55	120.2	15.64	49.63	25.15	32.9	107.1	81.35	180.3	0.8979	60.3	108.6	41.13	73.76	15.93	87.49	0	119.9	0	105.2	163	0.3089	6.322	3.7	10.25	565.7	127.1	1.741	7	0	12	0	73	3	38	23	0	0	25	0	0	35	0	5	6	0	2	83.45	10	0.25	12	75	2	40	10	0.25	61	0	1.786	58.05	28.41	17.84	23.87	16.5	17.65	8.998	15.33	7.199	6.623	4.455	4.674	0.9914	1.805	0.5955	13.53	4.634	7.526	2.717	0.4928	0	10.91	3.155	5.27	1.567	0.07116	0	8.57	1.721	3.549	0.9388	1	0	0.7954	15	0	8.371	0	0	0	0	0	3.38	0	0	7.713	64.89	0	0	0	-7.558	0	0	-0.6087	0	0	0	7.758	0	0	0	5.62	0	0	0	0	0	0.5346	2.615	0	5.365	0	0	0	-1.173	2.766	0	0	0	0	0	0	0	0	0	0	11	4	0	2	0.981	-4.136	14.65	1	19	0	3	9	2	0.4667	0.875	8	0	3	564.1	711.3	80.1	0	0	25.82	361.7	44.35	123.7	4609	66	200
17	7.47	16.09	2.785	0.408	1.781	2.402	-2.787	-0.5256	0.5444	2.725	-2.836	-0.4842	0.5685	2.763	-2.522	-0.3837	0.6862	2.991	0	-0.8522	-0.3826	0.03529	2.951	-1.37	-0.3407	0.0845	2.968	-0.5298	-0.1949	0.1525	3.21	28.99	12.03	7.568	24.72	10.2	6.399	7.006	2.857	-2.857	0.09887	0.1342	169.8	50.08	11.19	25.86	12.95	4.185	0	109.9	55.51	0	2.53	32.02	25.76	9.155	0.8348	0.4615	0.1315	0.1652	0.5385	0.03366	424.9	234.9	66.94	84.07	274.1	17.13	6.852	-6.852	0.2112	0.1333	0.6705	0.3219	0.1365	0.3295	0.6781	0.193	341.3	163.9	69.46	167.7	345.2	98.25	13.97	72.03	14.12	54.04	18.78	32.9	217.8	44.47	106.6	3.222	60.3	58.88	34.48	36.88	13.97	39.29	0	155.2	56.61	105.2	125.6	0.3282	6.285	3.73	10.08	512.7	113.7	1.58	5	0	12	0	72	3	36	25	0	0	27	0	0	36	0	4	4	0	1	82.03	8	0.2051	12	75	2	39	8	0.2051	61	0	1.435	50.69	26.09	18.6	22.03	17.15	16.93	11.24	13.98	9.461	8.79	6.812	4.254	1.18	2.165	0.9455	12.99	5.634	7.461	3.851	0.4541	0	10.15	3.471	5.098	1.877	0.1699	0	7.277	1.584	3.086	1.125	1	0	0.7434	15	0	11.9	0	0	0	0	0	2.925	0	0	7.716	40.52	0	0	0	-3.983	0	0	-0.3134	0	0	0	6.192	0	0	0	5.64	0	0	0	0	0	4.678	2.693	0	6	0	0	0	-0.4343	1.755	0	0	0	-0.2882	0	0	0	0	0	0	8	4	1	1	4.288	-5.932	14.12	1	24	1	4	9	1	0.4667	0.875	8	0	4	509	689.7	48.09	0	0	25.82	346.7	34.25	91.65	4093	59	194
18	7.43	17.57	3.952	0.408	1.507	2.977	-2.656	-0.5764	0.6368	2.622	-2.788	-0.499	0.7193	2.596	-2.367	-0.4379	0.7829	2.916	0	-0.8451	-0.3906	0.06789	2.869	-1.37	-0.3708	0.1487	2.897	-0.5077	-0.1983	0.1751	3.153	28.53	12.67	7.019	21.77	9.591	5.283	5.643	2.816	-2.816	0.1004	0.1362	80.81	96.53	11.19	25.86	12.95	4.185	0	52.96	134.8	0	2.53	32.02	25.76	6.651	0.8323	0.5239	0.1325	0.1677	0.4761	0.03524	404.7	254.7	64.43	81.57	231.5	17.13	7.833	-7.833	0.1847	0.1166	0.6602	0.538	0.1377	0.3398	0.462	0.2021	321	261.6	66.96	165.2	224.6	98.25	14.5	72.03	3.124	49.63	16.72	38.04	320.8	26.03	6.641	3.865	49.3	58.88	34.48	18.44	12.74	39.29	0	301.5	0	18.44	116.4	0.327	6.358	3.683	10.17	512.6	103.2	1.588	4	0	22	0	65	3	37	27	0	0	29	0	0	28	0	4	3	0	1	79.42	8	0.1951	23	69	2	41	8	0.1951	44	0	1.277	40.02	25.99	19.21	21.04	16.57	17.8	12.87	13.58	9.472	10.26	6.401	3.091	1.037	1.24	0.572	13.9	8.008	7.114	4.246	0.2041	0	11.26	6.042	5.081	2.687	0.02552	0	6.707	2.34	2.468	1.115	1	0	0.7489	15	0	27.45	0	0	0	0	1.733	3.606	0	0	7.742	40.79	0	0	0	-4.006	0	0	-0.3739	0	0	0	0	0	0	0	5.655	0	0	0	0	0	1.783	2.689	0	0	0	0	0	-1.024	1.713	0	0	0	0	0	0	0	0	0	0	7	4	1	1	4.699	-7.401	14.61	1	29	0	5	7	2	0.4667	0.875	8	0	5	486.2	684.5	45.58	0	0	25.82	333.5	34.25	89.14	4320	62	200
19	7.43	16.31	3.567	0.408	2.461	3.318	-2.729	-0.5752	0.6366	2.669	-2.886	-0.4984	0.7142	2.522	-2.445	-0.4372	0.7826	2.948	0	-0.8529	-0.4047	0.06788	2.841	-1.37	-0.4023	0.1487	2.824	-0.5115	-0.1983	0.175	3.117	28.02	12.7	7.313	22.02	9.903	5.672	6.23	3.123	-3.123	0.09052	0.1228	90.13	105.1	15.46	25.86	35.95	4.185	0	39.84	85.78	0	2.53	32.02	39.33	6.651	0.7553	0.427	0.1616	0.2447	0.573	0.08312	364.7	206.1	78	118.1	276.6	40.13	8.177	-8.177	0.177	0.1117	0.5274	0.4593	0.1668	0.4726	0.5407	0.3058	254.6	221.7	80.53	228.2	261.1	147.6	13.34	95.9	6.249	49.63	10.35	38.04	212.9	81.35	26.36	1.314	49.3	62.01	78.06	73.76	6.371	20.42	0	230.9	0	0	136.7	0.3355	6.248	3.668	10	493.6	105.1	1.695	5	0	16	0	62	3	35	22	0	0	25	0	0	27	0	5	4	0	1	73.61	9	0.2368	17	65	3	38	9	0.2368	45	0	1.436	41.87	25	16.64	19.87	14.54	16.76	9.899	12.68	7.437	7.17	4.382	2.962	0.7041	1.165	0.3679	12.79	5.57	6.447	2.859	0.2041	0	9.997	4.378	4.445	1.886	0.02552	0	6.3	1.515	2.228	0.6632	1	0	0.7743	15	0	19.11	0	0	0	0	1.686	1.228	0	0	7.677	51.2	0	0	0	-4.028	0.745	0	-0.4819	0	0	0	0	0	0	0	5.603	0	0	0	0	0	1.498	2.607	0	0	0	0	0	-1.073	3.15	0	0	0	0	0	0	0	0	0	0	9	4	1	0	2.08	-5.561	13.47	1	24	0	4	8	2	0.4667	0.875	8	0	4	482.8	637.4	59.15	0	0	25.82	290.6	60.8	102.7	3774	57	184
20	7.38	15.99	3.747	0.408	0.87	2.563	-2.543	-0.6161	0.6717	2.569	-2.74	-0.5164	0.7619	2.482	-2.265	-0.4706	0.8252	2.868	0	-0.8448	-0.4008	0.07401	2.722	-1.37	-0.3341	0.1557	2.764	-0.4968	-0.2059	0.1857	3.01	28.02	13.18	7.993	21.03	9.805	5.907	5.892	2.786	-2.786	0.1015	0.1377	37.37	115.7	11.19	25.86	0	18.89	0	42.05	147.1	0	2.53	32.02	25.76	9.155	0.8165	0.5529	0.1431	0.1835	0.4471	0.0404	381.8	258.6	66.94	85.83	209.1	18.89	7.61	-7.61	0.1902	0.1201	0.662	0.5863	0.1485	0.338	0.4137	0.1894	309.6	274.1	69.46	158	193.5	88.58	13.57	83.03	0	49.63	13.54	38.04	322.1	10.07	6.641	4.023	49.3	58.25	45.48	0	9.557	20.42	0	319.1	0	20.93	122.3	0.3355	6.248	3.699	9.999	487.6	97.18	1.62	4	0	22	0	60	3	35	25	0	0	27	0	0	25	0	3	4	0	1	73.6	9	0.2368	23	63	2	38	10	0.2632	38	0	1.39	36.68	24.84	17.92	19.66	15.23	16.81	12.12	12.45	8.701	9.674	5.867	2.839	0.9082	1.037	0.4857	12.4	7.295	5.882	3.702	0.2041	0	9.733	5.565	3.999	2.364	0.02552	0	5.719	1.804	1.859	0.7993	1	0	0.7592	15	0	28.16	0	0	0	0	1.68	1.96	0	0	7.657	39.56	0	0	0	-4.043	0	0	-0.8211	0	0	0	0	0	0	0	5.589	0	0	0	0	0	0.04456	2.52	0	5.459	0	0	0	-1.183	0	0	0	0	0	0	0	0	0	0	0	7	4	1	0	5.238	-7.559	13.78	1	24	1	4	8	1	0.4667	0.875	8	0	4	467.6	642.3	45.58	0	0	25.82	312.7	38.51	89.14	3882	54	182
21	7.38	15.31	3.333	0.408	1.794	2.76	-2.685	-0.5752	0.6366	2.648	-2.844	-0.4985	0.7149	2.511	-2.416	-0.4372	0.7826	2.923	0	-0.8449	-0.3939	0.06788	2.803	-1.37	-0.3903	0.1487	2.798	-0.514	-0.1983	0.175	3.081	26.07	11.82	6.817	20.79	9.357	5.365	5.895	2.88	-2.88	0.09816	0.1332	63.75	135	11.19	25.86	12.95	4.185	0	39.84	85.78	0	2.53	32.02	25.76	9.155	0.8123	0.4355	0.1494	0.1877	0.5645	0.03825	363.9	195.1	66.94	84.07	252.9	17.13	7.506	-7.506	0.1928	0.1217	0.5589	0.4702	0.1551	0.4411	0.5298	0.2861	250.4	210.7	69.46	197.6	237.3	128.2	12.66	83.03	3.124	49.63	10.35	38.04	212.9	86.32	6.641	1.872	49.3	58.88	45.48	78.73	6.371	20.42	0	230.9	0	0	125.6	0.3513	6.17	3.59	9.832	466.6	98.83	1.675	5	0	16	0	59	3	33	22	0	0	24	0	0	26	0	4	4	0	1	70.08	8	0.2222	17	62	2	36	8	0.2222	43	0	1.435	39.75	23.42	15.93	18.85	13.96	15.83	9.899	12.13	7.437	7.17	4.382	2.758	0.7041	1.036	0.3679	11.97	5.57	5.995	2.859	0.2041	0	9.535	4.378	4.181	1.886	0.02552	0	5.807	1.515	1.993	0.6632	1	0	0.7717	14	0	19.3	0	0	0	0	1.726	1.316	0	0	7.659	39.88	0	0	0	-3.977	0	0	-0.4023	0	0	0	0	0	0	0	5.596	0	0	0	0	0	1.76	2.624	0	5.331	0	0	0	-1.012	1.617	0	0	0	0	0	0	0	0	0	0	8	4	1	0	2.571	-5.741	12.78	1	24	1	4	8	1	0.5	1	7	0	4	448	604.6	48.09	0	0	25.82	294.1	34.25	91.65	3182	53	174
