__MOL_ID__	ACTIVITY	QikProp_#stars	QikProp_#amine	QikProp_#acid	QikProp_#amide	QikProp_#rotor	QikProp_#rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
SQ29852	7.44	0	1	2	1	15	1	-2	440.475	9.71	797.057	376.023	225.962	195.071	0	1421.233	4	11	0.0663443	0.0276015	0.7669832	42.955	15.509	26.736	19.485	-0.096	-3.002	-2.438	-1.97	0.768	-2.503	0.584	-5.619	9.558	-0.303	5	-1.021	1	24.33	21.612	141.837	8	0	11	0	11	4	30	1	0.049946
SQ29852_2A	8.49	2	1	2	1	15	1	-2	522.62	7.514	926.633	512.871	218.69	195.073	0	1694.571	4	11	0.0333142	0.0237419	0.7418173	53.894	18.245	30.024	19.792	1.567	-5.052	-3.96	-2.377	0.89	-2.591	0.693	-5.485	9.252	-0.416	5	-0.395	1	22.253	22.214	141.389	8	1	17	0	17	10	36	1	0.0420956
SQ29852_2B	9.31	2	1	2	1	15	1	-2	522.62	9.31	919.072	516.056	207.948	195.068	0	1680.32	4	11	0.0515877	0.0239372	0.743721	53.324	18.015	30.028	20.169	1.557	-4.719	-3.96	-2.346	1.002	-2.448	0.893	-5.287	9.292	-0.445	5	-0.428	1	23.117	28.536	140.166	8	1	17	0	17	10	36	1	0.0420956
SQ29852_2E	8.97	1	1	2	0	17	1	-2	476.508	7.268	825.636	261.358	204.084	360.194	0	1511.728	4	11	0.0349448	0.0266461	0.7715411	46.87	17.337	27.822	18.488	1.423	-3.838	-4.07	-4.058	1.839	-2.348	0.978	-4.442	8.682	-0.23	6	-0.563	1	40.013	0	136.307	8	0	12	0	12	0	33	1	0.0461692
SQ29852_2G	9.54	1	1	2	0	19	1	-2	536.561	8.084	876.883	417.242	201.034	258.607	0	1635.414	4	12.5	0.0399585	0.0285101	0.765553	49.565	17.781	29.41	18.935	1.484	-3.884	-4.66	-3.67	1.966	-2.47	1.051	-4.552	8.168	-0.214	7	-0.61	1	27.931	0	152.833	10	1	12	0	12	0	37	2	0.0465931
SQ29852_2H	9.94	1	1	2	0	17	2	-2	520.518	8.274	828.289	334.004	204.067	290.218	0	1547.009	4	12.5	0.0442533	0.0301827	0.7809897	47.613	17.1	28.969	19.495	0.997	-3.456	-4.47	-3.571	1.84	-2.293	0.979	-4.689	8.426	-0.179	5	-0.709	1	24.567	0	155.513	10	1	15	0	15	1	36	1	0.0480291
SQ29852_2I	9.53	0	1	2	0	15	1	-2	488.519	5.699	840.493	283.887	200.903	355.702	0	1517.092	4	11	0.0214085	0.0261751	0.7596944	48.325	17.422	28.128	18.912	1.454	-4.398	-4.348	-4.228	1.972	-2.263	1.055	-4.592	8.774	-0.106	6	-0.483	1	40.733	0	137.21	8	0	15	0	15	2	34	1	0.045034
SQ29852_2K	9.53	1	1	2	1	17	1	-2	482.556	6.547	847.976	448.696	204.211	195.069	0	1549.437	4	11	0.0276661	0.0259441	0.7636557	46.802	16.583	27.402	19.385	0.818	-3.312	-3.155	-2.023	1.127	-2.397	0.976	-5.026	9.417	-0.327	5	-0.806	1	32.664	26.569	135.97	8	0	12	0	12	6	33	1	0.0455905
SQ29852_2P	6.47	2	1	2	1	15	1	-2	516.573	7.746	915.988	308.13	228.981	378.877	0	1647.573	4	11	0.0364171	0.0240178	0.7364985	53.769	19.236	30.323	21.09	1.416	-4.876	-4.233	-3.339	0.71	-2.756	0.544	-5.027	9.241	0.026	7	-0.52	1	19.619	22.267	141.404	8	1	17	0	17	4	36	2	0.0425884
SQ29852_2Q	9.88	2	1	2	1	15	1	-2	516.573	7.776	907.9	306.331	224.658	376.91	0	1644.28	4	11	0.0367744	0.0242317	0.7420688	53.618	19.098	30.284	20.943	1.432	-4.782	-4.233	-3.24	0.797	-2.662	0.602	-4.955	9.323	0.013	7	-0.52	1	20.608	21.115	141.496	8	1	17	0	17	4	36	2	0.0425883
SQ29852_2R	9.05	2	1	2	1	17	1	-2	530.6	7.565	905.552	322.162	225.551	357.839	0	1685.948	4	11	0.0339488	0.0242946	0.7565096	53.819	19.2	30.323	20.373	1.678	-4.419	-4.503	-2.915	0.782	-2.69	0.59	-4.846	9.298	-0.099	6	-0.481	1	21.897	21.115	141.496	8	1	17	0	17	4	37	1	0.0414625
SQ29852_2S	9.11	3	1	2	1	17	1	-2	548.633	4.169	925.891	310.592	207.874	375.876	31.548	1691.211	4	11.5	0.0102792	0.0248409	0.7414305	54.202	19.639	30.411	21.477	1.757	-4.488	-4.665	-3.245	1.004	-2.506	1.332	-4.457	8.891	0.254	5	-0.576	1	24.302	28.542	140.726	8	1	17	0	17	4	37	1	0.0419223
SQ29852_2T	9.28	3	1	2	1	17	1	-2	548.633	2.667	925.649	298.677	227.218	368.209	31.546	1697.404	4	11.5	0.0041891	0.0248474	0.7434334	54.377	19.755	30.487	21.05	1.655	-4.711	-4.665	-3.176	0.746	-2.726	0.844	-4.84	8.983	0.342	5	-0.558	1	21.394	21.705	142.795	8	1	17	0	17	4	37	1	0.0419223
SQ29852_2U	9.28	1	1	2	1	16	1	-2	486.562	4.428	845.641	405.218	207.697	195.07	37.656	1530.533	4	11.5	0.0128106	0.0271983	0.7595223	46.687	16.731	27.636	20.276	0.626	-3.393	-3.119	-2.09	1.007	-2.31	1.445	-5.187	9.249	0.146	5	-0.898	1	30.668	28.542	140.726	8	0	11	0	11	4	32	1	0.0472704
SQ29852_2V	8.72	1	1	2	1	16	1	-2	486.562	2.731	853.801	393.839	227.238	195.071	37.653	1538.876	4	11.5	0.0048454	0.0269384	0.7549949	47.021	16.985	27.719	19.922	0.534	-3.748	-3.119	-2.163	0.745	-2.568	0.911	-5.547	9.346	0.246	5	-0.885	1	27.785	21.705	142.795	8	0	11	0	11	4	32	1	0.0472705
SQ29852_2W	8.59	1	1	2	1	17	1	-2	532.649	5.544	887.654	415.055	223.786	195.072	53.742	1628.951	4	12	0.0188652	0.0270375	0.7542694	49.984	17.919	29.274	20.221	0.968	-4.061	-3.811	-2.175	0.811	-2.553	1.211	-5.387	9.208	0.624	5	-0.795	1	18.024	21.208	142.235	8	1	11	0	11	4	34	1	0.0450577
SQ29852_2X	9.2	0	1	2	1	15	1	-2	530.633	5.599	879.071	396.725	223.656	195.072	63.619	1602.504	4	12	0.0195601	0.0273015	0.7533677	50.21	17.752	29.463	20.489	0.845	-4.363	-3.883	-2.19	0.845	-2.413	1.375	-5.577	9.197	0.738	5	-0.776	1	17.628	19.115	140.247	8	1	15	0	15	6	34	1	0.0452289
SQ29852_2Y	9.06	2	1	2	1	16	1	-2	456.475	11.521	805.509	339.482	270.956	195.071	0	1441.33	5	12.7	0.0920892	0.0352548	0.7660729	43.117	16.25	29.709	22.73	-1.064	-2.473	-2.084	-1.984	0.287	-3.08	0.202	-6.352	9.543	-0.294	6	-1.313	1	11.021	21.612	163.898	9	0	11	0	11	4	31	1	0.0622116
SQ29852_2Z	7.8	2	1	2	1	16	1	-2	456.475	9.423	807.757	335.85	276.835	195.071	0	1442.29	5	12.7	0.0615675	0.0351567	0.7642807	43.156	16.313	29.324	22.775	-1.103	-2.506	-2.084	-2.013	0.253	-3.162	0.176	-6.461	9.628	-0.249	6	-1.315	1	9.796	21.612	164.328	9	0	11	0	11	4	31	1	0.0622117
THIOL_10	4.17	0	0	1	1	7	2	-1	209.278	5.295	417.924	143.505	122.342	0	152.077	658.583	1.25	2.75	0.042569	0.0073568	0.8759404	15.708	6.407	8.847	6.186	1.827	-1.747	-1.704	-0.358	117.298	-0.548	645.169	-3.102	9.136	0.335	4	-0.898	3	74.682	21.362	80.04	4	0	0	0	0	0	12	0	0.0146914
THIOL_12	3.59	0	0	1	1	6	1	-2	229.253	11.453	441.63	93.612	172.984	97.619	77.415	717.182	3.05	5.75	0.1828959	0.0227384	0.8773902	19.627	7.966	16.461	13.189	0.37	-1.21	-1.38	-0.8	37.396	-1.106	76.137	-3.788	9.343	0.093	4	-1.153	2	57.264	23.4	107.977	6	0	5	0	5	0	15	0	0.043803
THIOL_14	3.64	0	0	1	1	7	1	-2	243.28	9.465	473.58	127.11	169.097	97.624	79.75	776.504	2.25	4.75	0.1153824	0.015045	0.8627151	21.359	8.29	14.367	10.709	1.179	-1.807	-1.95	-1.037	42.291	-1.177	85.948	-3.62	9.364	-0.144	4	-0.942	3	62.954	21.32	107.434	6	0	5	0	5	0	16	0	0.0292873
THIOL_18	6.12	0	0	1	1	6	1	-1	278.325	8.271	483.164	77.808	144.276	183.666	77.415	842.889	3.05	4.25	0.0811528	0.0153619	0.8931354	25.48	9.741	16.368	12.192	1.893	-2.049	-2.937	-0.955	70.145	-0.814	149.918	-2.955	8.725	0.186	4	-0.707	3	71.07	23.284	91.224	5	0	9	0	9	0	19	0	0.0266678
THIOL_2	2.46	0	0	2	1	7	1	-2	249.281	5.999	463.275	198.308	212.746	0	52.22	779.553	3.05	6.25	0.0461573	0.0235609	0.884213	20.549	8.067	15.087	12.978	0.6	-1.227	-1.273	1.584	4.108	-1.544	6.249	-4.768	9.76	0.308	3	-1.274	2	41.441	21.614	124.777	6	0	0	0	0	0	16	1	0.0437866
THIOL_20A	7.19	0	0	1	1	6	1	-1	292.352	8.44	507.599	123.616	136.798	182.744	64.44	896.175	3.05	4.25	0.0794865	0.0146224	0.8856043	27.604	10.06	16.979	12.128	2.209	-2.409	-3.203	-1.073	83.856	-0.803	151.852	-2.821	8.759	0.218	4	-0.584	3	74.308	22.45	88.783	5	0	9	0	9	0	20	0	0.0253883
THIOL_20B	6.44	0	0	1	1	6	1	-1	292.352	6.787	495.749	133.347	139.688	173.977	48.737	888.961	3.05	4.25	0.0518228	0.0149719	0.9019005	27.231	9.934	16.435	12.067	2.087	-2.145	-3.203	-0.767	78.474	-0.823	116.354	-2.905	8.778	0.249	4	-0.59	3	73.079	22.627	88.788	5	0	9	0	9	0	20	0	0.0253882
THIOL_22	4.42	0	0	1	1	6	1	-1	306.379	6.997	516.009	158.261	137.007	171.819	48.922	952.366	3.05	4.25	0.051413	0.0143841	0.9072156	29.748	10.523	17.331	12.008	2.492	-2.504	-3.473	-0.671	84.765	-0.788	124.244	-2.863	8.794	0.271	3	-0.432	3	76.046	21.614	87.05	5	0	9	0	9	0	21	0	0.024226
THIOL_27	5.34	0	0	1	1	7	1	-1	292.352	7.542	515.111	111.304	140.392	183.665	79.75	902.211	2.25	3.25	0.0630452	0.009464	0.876603	27.212	10.028	14.951	9.713	2.781	-2.825	-3.618	-1.223	79.319	-0.881	169.221	-2.788	8.686	0.14	4	-0.418	3	77.225	21.204	90.682	5	0	9	0	9	0	20	0	0.0166751
THIOL_28	3.0	0	0	1	1	7	1	-1	292.352	6.048	536.867	118.298	144.896	193.922	79.75	922.593	2.25	3.25	0.039646	0.0090805	0.8536996	28.125	10.225	14.925	9.872	2.878	-3.197	-3.618	-1.642	71.778	-0.988	152.155	-2.835	8.625	0.056	4	-0.375	3	77.015	21.289	93.865	5	0	9	0	9	0	20	0	0.0166752
THIOL_30A	7.46	0	0	1	1	7	1	-1	306.379	7.838	517.657	128.543	141.698	175.726	71.69	923.495	2.25	3.25	0.0665175	0.0094174	0.885956	27.988	10.177	15.257	9.671	2.869	-2.834	-3.897	-1.033	77.087	-0.886	148.224	-2.84	8.695	0.163	4	-0.358	3	77.517	21.206	88.416	5	0	9	0	9	0	21	0	0.0159116
THIOL_30B	4.48	0	0	1	1	7	1	-1	306.379	7.259	528.333	140.726	135.969	179.948	71.69	942.699	2.25	3.25	0.0558976	0.0092271	0.8800474	28.797	10.319	15.362	9.686	3.03	-3.017	-3.897	-1.149	87.36	-0.853	169.684	-2.719	8.673	0.127	4	-0.31	3	79.434	21.206	87.953	5	0	9	0	9	0	21	0	0.0159116
THIOL_4	4.11	0	0	2	1	7	1	-2	249.281	5.999	463.275	198.308	212.746	0	52.22	779.553	3.05	6.25	0.0461573	0.0235609	0.884213	20.549	8.067	15.087	12.978	0.6	-1.227	-1.273	1.584	4.108	-1.544	6.249	-4.768	9.76	0.308	3	-1.274	2	41.441	21.614	124.777	6	0	0	0	0	0	16	1	0.0437866
THIOL_5	4.72	0	0	1	1	6	2	-1	195.251	6.493	385.982	110.013	126.228	0	149.741	599.27	2.05	3.75	0.070359	0.0139105	0.8905941	13.976	6.082	10.397	8.666	0.968	-1.035	-1.092	-0.12	103.724	-0.492	571.538	-3.27	9.075	0.35	4	-1.158	2	68.697	23.442	80.584	4	0	0	0	0	0	11	0	0.027499
THIOL_7A	5.1	0	0	1	1	6	2	-1	209.278	6.887	405.417	151.561	118.265	0	135.591	648.471	2.05	3.75	0.073152	0.0132436	0.893697	15.945	6.482	11.024	8.619	1.261	-1.291	-1.344	-0.07	124.498	-0.453	576.97	-3.123	8.989	0.38	4	-1.045	2	71.828	22.969	77.941	4	0	0	0	0	0	12	0	0.0256557
THIOL_7B	3.27	0	0	1	1	6	2	-1	209.278	5.671	407.426	150.659	120.262	0	136.504	651.533	2.05	3.75	0.0493526	0.0131783	0.8920882	16.068	6.522	10.752	8.651	1.268	-1.321	-1.344	-0.096	118.795	-0.471	556.78	-3.16	9.058	0.372	4	-1.039	2	71.503	23.148	79.104	4	0	0	0	0	0	12	0	0.0256557
THIOL_9	2.14	0	0	1	1	6	2	-1	223.305	6.584	418.886	182.356	110.392	0	126.138	692.856	2.05	3.75	0.0625608	0.0128178	0.9039925	17.721	6.909	11.444	8.63	1.55	-1.447	-1.602	0.096	146.573	-0.389	616.689	-2.978	9.084	0.343	3	-0.934	3	74.79	23.442	75.181	4	0	0	0	0	0	13	0	0.0240442
mol_01	6.15	0	0	1	0	3	2	-1	243.237	3.727	423.186	105.318	170.139	74.73	73	696.727	1	5.5	0.019938	0.0129967	0.8981363	20.516	7.236	11.498	8.649	1.143	-2.084	-2.446	-1.729	61.105	-0.844	77.014	-4.104	9.365	0.519	3	-0.74	3	65.604	0	109.985	7	0	9	0	9	2	16	0	0.0226118
mol_02	7.42	0	0	1	0	3	2	-1	258.292	3.776	433.729	236.923	132.239	0	64.567	744.753	1	6.5	0.0191436	0.0149863	0.9161255	21.725	7.011	12.15	8.89	1.2	-1.922	-2.165	-1.082	139.791	-0.509	169.375	-3.669	9.385	0.14	4	-0.782	3	72.372	0	90.42	6	0	10	0	10	6	17	0	0.0251653
mol_03	7.0	0	0	1	0	4	2	-1	272.318	4.261	473.347	263.659	129.937	0	79.751	809.303	1.8	7.5	0.0224316	0.0212578	0.8872777	23.666	7.711	14.55	10.911	1.246	-2.359	-2.129	-1.548	146.997	-0.582	216.58	-3.53	9.129	0.24	2	-0.78	3	73.034	0	92.932	6	0	9	0	9	5	18	0	0.0369506
mol_04	8.43	0	0	1	0	4	1	-1	265.326	1.801	476.95	149.4	96.312	160.63	70.607	812.359	1	4.5	0.0039935	0.009435	0.8827909	25.322	8.362	12.132	7.654	2.829	-3.097	-3.24	-2.387	306.32	-0.328	426.767	-2.345	8.931	0.054	4	-0.334	3	88.006	0	63.902	4	0	9	0	9	2	18	0	0.0169604
mol_05	8.22	0	0	1	1	5	1	-1	313.386	3.384	504.258	123.747	134.161	127.295	119.055	881.391	2	5.75	0.0129947	0.0161261	0.8816409	27.124	9.633	15.369	11.199	1.925	-2.848	-3.11	-0.872	105.764	-0.596	321.832	-3.064	9.342	0.774	6	-0.727	3	74.451	12.929	81.648	5	0	11	0	11	3	20	0	0.0259479
mol_06	6.34	0	0	2	0	5	0	-2	267.238	6.755	476.018	177.473	256.202	42.344	0	796.448	3	7.75	0.0572942	0.0281993	0.8729313	22.914	8.39	16.87	13.82	0.376	-1.98	-2.113	-0.175	2.363	-1.979	1.16	-5.612	8.674	0.759	5	-1.009	1	35.832	0	138.827	7	0	9	0	9	3	19	1	0.05023
mol_07	6.11	2	0	3	1	6	0	-2	266.19	12.752	447.956	189.616	258.341	0	0	765.341	4	11	0.2124673	0.0491119	0.9033009	20.622	8.23	21.384	19.716	-0.956	-0.471	-0.227	3.7	0.367	-1.909	0.318	-5.705	9.826	-0.234	3	-1.771	1	13.544	24.21	144.321	8	0	5	0	5	4	17	1	0.0826476
mol_08	9.0	0	0	2	0	4	1	-2	269.213	4.673	467.202	122.161	270.297	74.744	0	781.002	2	8	0.0279596	0.0242159	0.8778664	23.247	8.366	15.432	13.117	0.217	-1.848	-2.109	-0.25	1.737	-2.016	0.831	-5.854	9.515	0.516	3	-1.066	1	32.509	0	158.326	9	0	9	0	9	2	19	1	0.0420252
mol_09	7.64	0	0	1	1	4	1	-1	217.282	5.81	416.926	239.281	105.954	0	71.69	700.1	1	4.5	0.0482149	0.0107933	0.914561	19.296	6.418	10.477	7.956	0.371	-1.441	-1.302	0.267	172.287	-0.346	344.578	-3.088	9.241	-0.268	3	-0.923	3	69.144	19.91	68.519	4	0	5	0	5	4	14	0	0.0207104
mol_10	8.05	0	0	1	0	4	1	-1	231.266	3.393	425.92	224.008	130.223	0	71.69	706.254	1	4.5	0.0163029	0.0105654	0.9004868	19.542	6.535	10.214	6.67	1.425	-2.248	-2.274	-1.335	146.083	-0.572	194.327	-3.535	9.18	0.023	4	-0.593	3	74.03	0	87.436	5	0	5	0	5	3	15	0	0.0194582
mol_11	7.19	0	0	1	1	3	1	-1	243.32	6.388	456.024	284.24	101.753	0	70.031	773.633	1	4.5	0.0527425	0.0098679	0.8937181	22.881	6.951	11.763	8.184	1.742	-2.271	-1.776	-0.07	191.59	-0.295	372.621	-3.107	9.175	-0.404	3	-0.707	3	77.993	19.121	67.568	4	0	10	0	10	9	16	0	0.0184942
mol_12	7.31	0	0	1	1	3	1	-1	229.293	6.913	443.243	266.082	104.835	0	72.326	740.539	1	4.5	0.0645268	0.0101524	0.8930762	21.556	6.652	11.479	8.246	1.526	-2.036	-1.271	-0.08	175.996	-0.316	356.655	-3.164	9.206	-0.411	3	-0.791	3	76.07	20.082	68.525	4	0	9	4	5	8	15	0	0.0196255
mol_13	8.77	0	1	2	0	8	0	-2	396.442	4.206	659.881	145.578	179.464	334.839	0	1201.734	3	8.5	0.0147208	0.0223107	0.8283968	40	13.688	22.628	15.807	0.866	-3.439	-3.319	-3.017	3.149	-1.264	1.749	-4.942	9.19	0.074	7	-0.416	2	40.932	0	122.643	7	0	17	0	12	3	29	2	0.0371363
mol_14	7.3	0	0	1	2	7	1	-2	350.432	3.343	618.779	240.116	146.608	178.953	53.102	1096.576	2.05	7.25	0.0101887	0.0167757	0.8311048	34.945	11.526	18.598	15.612	1.71	-2.495	-2.575	-0.562	42.175	-1.143	104.415	-2.919	9.297	0.054	5	-0.891	3	66.042	48.261	102.371	6	0	11	0	11	4	24	0	0.0296219
mol_15	8.54	0	1	2	1	11	0	-2	435.476	9.853	776.115	330.325	245.28	200.51	0	1376.949	4	11	0.0705099	0.0283463	0.7712309	43.803	15.237	27.337	19.472	-0.479	-3.784	-2.346	-1.927	0.647	-2.45	0.37	-6.34	9.522	-0.154	5	-0.948	1	20.759	7.915	169.549	10	0	11	0	11	4	31	1	0.0505194
mol_16	8.52	0	1	2	1	8	0	-2	362.425	6.579	633.055	267.08	171.303	194.672	0	1135.125	3	8.5	0.0381316	0.0232562	0.831291	35.996	12.019	21.269	15.598	-0.336	-2.639	-1.552	-0.927	3.038	-1.173	2.121	-5.285	9.508	-0.493	5	-0.89	2	33.614	11.684	119.932	7	0	13	0	6	5	26	1	0.0406221
mol_17	9.64	0	1	2	1	9	0	-2	517.32	8.851	720.547	259.411	223.056	154.522	83.559	1269.614	4	11	0.0617024	0.0305323	0.7869557	40.353	14.249	26.35	19.338	-0.663	-3.643	-3.887	-1.453	1.053	-1.777	1.794	-6.285	8.747	0.719	5	-1.08	1	10.505	7.821	154.956	9	1	11	0	11	4	29	1	0.0425268
mol_18	8.92	0	1	2	1	8	0	-2	348.398	8.154	615.413	233.431	187.314	194.668	0	1092.273	3	8.5	0.0608766	0.0239228	0.8334616	34.281	11.727	21.055	16.463	-0.735	-2.014	-1.659	-0.892	1.757	-1.318	1.454	-5.58	9.528	-0.293	5	-0.985	1	27.024	22.478	119.675	7	0	11	0	11	4	25	1	0.0422574
mol_19	8.92	0	2	2	1	13	0	-2	405.493	7.169	731.57	305.381	231.517	194.673	0	1309.604	5	9.5	0.0392439	0.0290371	0.7912901	39.768	14.597	26.071	18.756	-1.188	-1.857	-1.196	-2.3	0.219	-1.888	0.126	-7.978	9.543	-0.407	7	-0.982	1	8.186	7.633	145.984	8	0	11	0	11	4	29	2	0.0523873
mol_20	8.96	0	1	2	1	8	0	-2	398.458	7.682	675.69	235.78	176.727	263.184	0	1226.343	3	8.5	0.0481242	0.0217887	0.8200215	40.301	13.397	23.036	15.925	0.313	-3.425	-2.832	-1.436	2.891	-1.272	1.866	-5.144	8.669	0.36	5	-0.689	1	37.03	7.915	120.344	7	0	15	0	15	4	29	1	0.0369485
mol_21	8.55	0	1	2	1	9	0	-2	364.397	6.804	630.615	247.111	230.965	152.539	0	1125.766	4	9.25	0.0411205	0.0293364	0.8299135	34.577	12.28	22.858	17.415	-1.178	-2.368	-1.654	-0.748	0.885	-1.816	0.519	-6.437	9.028	-0.39	6	-1.081	1	19.092	7.915	142.813	8	0	11	0	11	4	26	1	0.0507687
mol_22	9.22	0	1	2	1	7	0	-2	392.469	7.355	648.939	236.184	175.88	194.671	42.204	1170.061	3	9	0.0462311	0.0240214	0.8274978	38.036	12.676	22.626	16.212	-0.112	-3.183	-2.107	-0.988	2.876	-1.069	3.242	-5.466	9.556	0.273	5	-0.846	1	34.501	9.21	116.765	7	0	16	0	11	7	27	1	0.0397189
mol_23	8.4	0	0	2	1	9	0	-2	443.512	11.336	734.789	320.259	155.101	195.071	64.359	1316.681	1	10	0.0975941	0.0136094	0.7906597	42.624	13.676	22.399	14.855	3.125	-3.949	-4.07	-0.86	14.339	-1.475	28.391	-2.827	9.487	0.746	3	-0.855	2	65.943	22.081	105.571	6	0	15	0	15	6	28	1	0.0225474
