__MOL_ID__	ACTIVITY	LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO
SQ29852_2K	9.53	1.27	42	6	1	7	33	9	15	2	1	901.1	183.8	-146.5	515.6	1484.5	3	5.64e-06	8	3.6	1.69e-06	717.3	6	1
SQ29852_2P	6.47	3.59	40.2	6	1	7	36	9	14	3	2	977.4	205.8	-159	556.3	1588.7	3.4	1.51e-06	8	3.7	6.97e-07	771.6	6.3	3
SQ29852_2Q	9.88	4.29	40.2	6	1	7	36	9	14	3	2	982.1	198.2	-162.3	556.1	1588.7	3.4	1.51e-06	8	3.7	6.97e-07	783.9	6.3	3
SQ29852_2R	9.05	2.23	42.7	6	1	7	37	9	15	3	2	998.3	199.2	-163.2	576.3	1630.7	3.6	8.08e-07	8	4.2	2.1e-07	799.1	6.2	3
SQ29852_2S	9.11	1.58	42.9	7	1	8	37	10	14	3	2	904.4	194.4	-151.9	575.2	1633.4	3.6	5.21e-07	8	3.8	3.67e-07	709.9	6.4	3
SQ29852_2T	9.28	3.07	42.9	7	1	8	37	10	14	3	2	925.5	208.4	-166.5	575.8	1639.5	3.6	5.21e-07	8	3.8	3.67e-07	717.2	6.1	3
SQ29852_2U	9.28	1.1	40.6	7	1	8	32	10	14	2	1	824.8	195	-152.8	502.1	1459.5	2.5	1.22e-05	8	2.1	2.79e-05	629.8	6	3
SQ29852_2V	8.72	6.61	40.6	7	1	8	32	10	14	2	1	864.6	208.4	-166.9	502.7	1468.4	2.5	1.22e-05	8	2.1	2.79e-05	656.2	5.9	3
SQ29852_2W	8.59	4.09	40.6	8	1	9	34	11	15	2	1	988.9	213.8	-169.4	541.6	1555.3	2.8	3.69e-06	8	3.7	6.17e-07	775.1	6.1	2
SQ29852_2X	9.2	3.03	40.4	8	1	9	34	11	13	3	1	914.4	201.6	-159.1	528.6	1531.3	2.8	3.82e-06	8	3.6	7.95e-07	712.8	6.1	2
SQ29852_2Y	9.06	5.15	42.7	7	2	9	31	10	13	2	1	855.8	240.5	-168.7	467.5	1373.3	1.6	0.000133	9	0.6	0.000978	615.4	5.8	3
SQ29852_2Z	7.8	2.17	42.7	7	2	9	31	10	13	2	1	863	243.1	-169.1	467.6	1374.6	1.6	0.000133	9	0.6	0.000978	619.9	5.9	3
THIOL_10	4.17	2.8	18.7	5	3	8	12	6	5	0	0	408.1	249.2	-65.9	186	619.2	0	0.18	4	-0.2	0.297	158.9	3.1	1
THIOL_12	3.59	5.52	19.8	5	3	8	15	7	5	1	1	442.1	228.4	-78.1	215.3	684.4	-0.1	0.166	6	-0.9	0.781	213.8	3.1	1
THIOL_14	3.64	4.68	22	5	3	8	16	7	6	1	1	476.1	216.3	-73	234.8	741.8	0.2	0.0704	6	-0.4	0.235	259.8	3.3	1
THIOL_18	6.12	5.25	23.7	4	3	7	19	6	5	2	2	517.4	207.7	-74.5	279.1	820.3	1	0.00779	5	1.1	0.00677	309.8	3.4	1
THIOL_2	2.46	4.08	20.8	6	2	8	16	7	6	0	0	473.2	236.4	-131.4	232.1	731.3	0.2	0.0685	6	-0.6	0.343	236.7	3.2	1
THIOL_20A	7.19	4.8	23.2	4	3	7	20	6	5	2	2	529	190.3	-64.2	298.6	869.8	1.3	0.00367	5	1.5	0.00235	338.7	3.5	2
THIOL_20B	6.44	4.07	23.2	4	3	7	20	6	5	2	2	535.8	174.8	-68.9	298.6	861.3	1.3	0.00367	5	1.5	0.00235	360.9	3.4	2
THIOL_22	4.42	5.04	24	4	3	7	21	6	5	2	2	536.4	176.4	-65.4	315.6	894.3	1.6	0.00175	5	2	0.000763	360	3.4	1
THIOL_27	5.34	4.98	26	4	3	7	20	6	6	2	2	537.8	185.1	-66.6	298.6	877.9	1.3	0.00367	5	1.6	0.00204	352.7	3.6	1
THIOL_28	3.0	3.05	26	4	3	7	20	6	6	2	2	565.5	197.4	-71	299.6	894.5	1.3	0.00367	5	1.6	0.00204	368.1	3.8	1
THIOL_30A	7.46	4.15	24.2	4	3	7	21	6	6	2	2	537.6	179.4	-66.8	314.8	896.2	1.6	0.00175	5	2	0.000709	358.2	3.5	2
THIOL_30B	4.48	5.1	24.2	4	3	7	21	6	6	2	2	549.3	171.4	-61.8	317	913.8	1.6	0.00175	5	2	0.000709	377.9	3.6	2
THIOL_4	4.11	4.08	20.8	6	2	8	16	7	6	0	0	473.2	236.4	-131.4	232.1	731.3	0.2	0.0685	6	-0.6	0.343	236.7	3.2	1
THIOL_5	4.72	3.28	16.5	5	3	8	11	6	4	0	0	374.5	262.2	-65.8	166.3	561.3	-0.3	0.479	4	-0.7	0.988	112.3	2.8	1
THIOL_7A	5.1	3.21	15.9	5	3	8	12	6	4	0	0	388.1	229.3	-67.7	185.6	609.5	0	0.18	4	-0.3	0.344	158.8	2.9	2
THIOL_7B	3.27	2.59	15.9	5	3	8	12	6	4	0	0	394	237.8	-70.1	185.7	612.4	0	0.18	4	-0.3	0.344	156.2	2.9	2
THIOL_9	2.14	2.88	16.8	5	3	8	13	6	4	0	0	412.5	226.5	-60.1	204	649.4	0.4	0.0711	4	0.2	0.111	186	3	1
mol_01	6.15	0.07	28.8	5	1	6	16	8	2	2	1	416.9	202.4	-71.4	214	662.5	1.2	0.0103	7	0	0.108	214.5	3	1
mol_02	7.42	0.84	22.9	5	1	6	17	7	2	2	0	459.3	190.4	-62.7	233.5	704.6	0.5	0.031	6	-0.8	0.44	268.9	3	2
mol_03	7.0	0.09	24.4	5	1	6	18	7	3	2	0	470.7	188.2	-65.6	254.1	765.7	0.8	0.0138	6	0.6	0.021	282.5	3.3	2
mol_04	8.43	0.02	24	4	1	5	18	5	3	2	1	447.1	134.1	-49.4	267.6	784	1.8	0.00223	4	1.8	0.0021	313	3.4	2
mol_05	8.22	0.5	26.5	6	2	8	20	7	4	2	1	505.2	183.3	-57.5	291.7	840.9	1.5	0.00164	5	1.8	0.000948	322	3.3	2
mol_06	6.34	2.7	23.9	6	1	7	19	7	4	2	1	445.7	219.3	-137.7	247.2	751.6	0.3	0.0429	7	-0.7	0.289	226.4	3.4	1
mol_07	6.11	-0.99	16.2	6	1	7	17	9	4	1	0	442.1	204.2	-147.9	230.4	718.7	0.8	0.0153	8	-1.6	1.64	237.9	3.3	2
mol_08	9.0	0.26	32.9	6	0	6	19	9	4	2	1	445	219.6	-137.7	241.7	741.3	1.1	0.00892	9	-0.8	0.331	225.4	3.3	1
mol_09	7.64	0.13	21.7	4	1	5	14	5	3	1	0	401.6	138.4	-52.4	213.6	664.4	0.6	0.0473	4	0.8	0.0321	263.2	3	2
mol_10	8.05	1.37	21.7	5	1	6	15	6	3	1	0	408.3	165.5	-53	212.9	665	0.2	0.0958	5	-0.2	0.187	242.8	3.1	2
mol_11	7.19	0.87	22.7	4	1	5	16	5	2	2	0	458.5	144.4	-53.9	240.6	732.6	1.2	0.00949	4	1.6	0.00433	314.1	3.2	3
mol_12	7.31	-0.01	21.7	4	1	5	15	5	2	2	0	450.6	149.1	-54	224.4	699.8	0.9	0.0213	4	1.1	0.0144	301.5	3.2	3
mol_13	8.77	1.88	37.8	5	1	6	29	7	8	3	2	654.7	153.1	-119.5	417.6	1170.5	-0.1	0.0101	7	0.1	0.00668	501.6	4.5	2
mol_14	7.3	1.02	24.8	5	2	7	24	7	6	2	1	692.4	199	-70.8	361.2	1055	1.3	0.00141	6	1.6	0.000707	493.5	4.9	3
mol_15	8.54	0.96	37.2	7	2	9	31	10	11	2	1	831.8	200.8	-125.4	448.5	1322.7	-0.8	0.0192	10	-1.3	0.0585	631	5.8	3
mol_16	8.52	-0.05	36.9	5	1	6	26	7	8	2	1	624.3	145.9	-112.8	382.5	1094.1	-0.8	0.0715	7	-0.5	0.0355	478.4	4.4	3
mol_17	9.64	1.05	35.7	6	2	8	29	10	8	2	1	710.4	179.8	-126.5	421.4	1229.2	-1	0.00751	9	-1.2	0.0119	530.7	5.7	3
mol_18	8.92	1.96	32.9	5	1	6	25	7	8	2	1	601.3	149.8	-107.5	364.8	1062.4	-1	0.143	7	-0.9	0.118	451.5	4.6	3
mol_19	8.92	0.94	41.4	5	2	7	29	8	12	2	1	715.3	201.6	-173.2	431.8	1254.2	-1.1	0.0613	8	-0.9	0.0443	513.7	4.8	3
mol_20	8.96	0.9	33.9	5	1	6	29	7	8	3	2	678.2	150.3	-120.4	420.7	1191.3	-0.3	0.0143	7	0.2	0.00504	527.9	4.7	3
mol_21	8.55	0.91	34.3	6	2	8	26	8	8	2	1	639.3	202.5	-124.9	369.9	1079.9	-1.5	0.281	8	-1.4	0.232	436.8	4.5	3
mol_22	9.22	2.76	36	6	1	7	27	8	7	3	1	706.6	165.1	-131.3	389.8	1121	-0.8	0.0432	7	0.1	0.0074	541.5	4.5	4
mol_23	8.4	2.75	32.5	7	0	7	28	9	8	3	1	781	136	-95.9	436.2	1262.6	2.2	5.39e-05	6	4	1.6e-06	645.1	5.8	1
mol_24	8.0	5.01	30.5	6	1	7	32	9	8	3	2	797.3	128.9	-79.6	474.2	1318.3	1.9	6.94e-05	8	2.3	3.13e-05	668.4	4.9	2
mol_25	8.11	0.93	34.5	6	2	8	34	9	9	3	2	734.4	138.9	-106.5	489.7	1352.3	-0.6	0.00857	9	-0.6	0.00891	595.5	4.9	4
mol_26	7.92	0	30.7	5	1	6	31	7	8	3	2	690.2	119.5	-60.7	458.2	1292.2	2.1	9.33e-05	7	2.7	2.82e-05	570.7	5.4	2
mol_27	8.52	0.18	29	5	1	6	32	7	8	3	2	695.8	103.8	-55.1	474.7	1319.2	2.3	4.9e-05	7	3.1	9.8e-06	592.1	5.3	3
mol_28	8.54	1.89	37.8	6	1	7	30	9	6	3	1	700	150.5	-110.3	420.5	1189.2	-1.2	0.0678	9	-2.4	0.717	549.5	4.5	4
mol_29	8.15	1.79	25.9	5	1	6	24	8	7	2	1	672.4	150.5	-103.9	361	1061.3	1.9	0.000396	7	0.7	0.00424	521.9	5	2
mol_30	5.55	0.01	17.6	4	2	6	10	5	4	0	0	328.9	190.2	-83.3	149.9	522.6	-0.3	0.82	4	-0.6	1.31	138.6	2.9	0
mol_31	6.07	-0.01	17.1	4	2	6	11	5	4	0	0	362.4	181	-76.3	168.8	570.6	0	0.308	4	-0.2	0.456	181.5	3	1
mol_32	5.8	5.3	17.6	4	2	6	13	5	5	0	0	412	135.4	-41.7	204.9	659.1	0.7	0.0499	4	0.7	0.0477	276.7	3.4	1
mol_33	6.37	3.6	20.2	4	2	6	17	5	6	1	1	509.8	158.2	-62	263.2	802.9	1.6	0.00365	4	1.5	0.00443	351.6	3.5	1
mol_34	6.7	0	23.4	4	1	5	13	5	3	1	0	387.4	150.1	-55.9	196.9	634.7	0.3	0.112	4	0.4	0.0923	237.3	3.1	1
mol_35	6.19	0.97	22.9	4	1	5	13	5	3	1	0	363.4	145.4	-60.2	190.4	610.4	0.2	0.14	4	0.3	0.113	218	3.1	0
mol_36	2.7	0.06	19.9	4	2	6	11	5	5	0	0	355.8	179.2	-73.2	169.5	579.8	0	0.308	4	-0.5	0.899	176.6	3.2	0
mol_37	2.7	0.06	20	5	1	6	12	6	5	0	0	335	186.1	-129.7	158.2	546.7	-0.8	1.71	6	-1.9	13.4	148.9	3	0
mol_38	2.87	3.27	19.5	5	1	6	13	6	5	0	0	375.8	174.9	-124.9	177.1	594.9	-0.5	0.674	6	-1.4	4.66	200.9	3.1	1
mol_39	4.51	0.06	24.7	4	1	5	18	5	6	1	1	505.6	153.8	-60.5	280.8	821.8	1.9	0.00169	4	1.7	0.00231	351.8	3.3	1
mol_40	5.52	2.5	22.1	4	1	5	11	5	4	0	0	357.1	160.1	-64.6	169.9	566.1	0	0.308	4	-0.4	0.684	197	2.8	0
mol_41	4.96	0	21.7	4	1	5	14	5	3	1	0	429.7	152	-55.7	215.4	676.8	0.6	0.0473	4	0.8	0.0321	277.7	3.1	2
mol_42	2.74	0.01	23.4	4	1	5	13	5	3	1	0	391.9	154.6	-59.4	197.1	637.1	0.3	0.112	4	0.4	0.0923	237.4	3.1	1
mol_43	2.96	2.49	20	5	1	6	15	6	6	0	0	431.3	168.4	-117.7	214.6	691	0.2	0.117	6	-0.5	0.488	262.9	3.4	1
mol_44	3.21	4.47	22.3	5	1	6	16	6	7	0	0	485.7	186	-130.5	234	747.7	0.5	0.051	6	0	0.147	299.7	3.5	1
mol_45	2.98	4.92	22.3	5	1	6	16	6	7	0	0	449.6	164.7	-113.8	232	735	0.5	0.051	6	0	0.147	284.8	3.7	2
mol_46	3.26	4.02	22.6	5	1	6	19	6	7	1	1	523.1	176.5	-127.2	271.5	826.3	1.1	0.00912	6	0.3	0.0453	346.6	3.6	1
mol_47	3.35	0.68	20.8	3	1	4	12	5	2	1	0	364.8	161.6	-125	167.9	550.6	-0.8	1.68	5	-1.1	2.95	203.2	2.9	1
mol_48	3.64	0	20.2	3	1	4	13	5	2	1	0	385.8	143.8	-108.7	186.5	595.1	-0.5	0.687	5	-0.7	1.03	242.1	2.9	2
mol_49	3.38	1.36	20.7	3	1	4	15	5	3	1	0	426.6	125.5	-93.6	222.6	676.6	0.2	0.127	5	0.2	0.107	301.1	3.1	2
mol_50	3.89	0.02	23	3	1	4	16	5	4	1	0	456.4	118.6	-85.5	242.6	732.8	0.4	0.0565	5	0.7	0.0323	337.8	3.3	3
mol_51	3.22	6.43	17.5	3	2	5	16	5	5	1	1	483.2	174.5	-135.2	234.5	720.8	0.6	0.0495	5	0	0.142	308.6	3.3	1
mol_52	3.72	4.33	17	3	2	5	17	5	5	1	1	510.6	156.8	-119.2	253.5	768.9	0.8	0.0225	5	0.4	0.0492	353.8	3.4	2
mol_53	4.28	5.5	17.5	3	2	5	19	5	6	1	1	555.3	143.2	-105.9	289.9	853.5	1.4	0.00491	5	1.4	0.00515	412.1	3.6	2
mol_54	3.03	3.98	19.8	3	2	5	20	5	7	1	1	582.9	128.8	-95.7	309.8	908	1.6	0.00234	5	1.8	0.00155	454.1	3.9	3
mol_55	3.62	0	17.9	2	1	3	11	3	2	1	0	408.4	87.3	-2.4	190.8	612.1	1.3	0.0286	2	1.2	0.0301	321.2	3	1
mol_56	4.77	0.54	24.3	4	1	5	15	5	4	1	0	469.6	97	-2.1	240.8	771.5	0.9	0.0202	4	1.3	0.0105	372.6	3.7	1
mol_57	2.96	0	22.1	3	1	4	9	3	5	0	0	336.7	167.5	-78.8	155.5	535.3	1.4	0.0356	2	2	0.0105	169.2	2.9	0
mol_58	3.62	0	25.7	3	2	5	12	4	4	1	0	395.2	149.4	-64.4	195.7	634.7	0.8	0.051	3	-1	1.9	245.8	3	1
mol_59	3.19	0.47	25.7	4	1	5	13	5	4	1	0	421.2	168.4	-63	196.5	636.3	0.3	0.112	4	0.4	0.0923	252.8	3	1
mol_60	5.62	1.15	20.7	4	1	5	10	4	5	0	0	328.6	171.7	-73.4	156.5	537.4	0.4	0.18	3	-0.1	0.467	157	2.9	0
mol_61	4.41	0.52	24.6	4	1	5	17	5	4	1	0	505.8	84.9	-0.2	276.8	851.8	1.5	0.0041	4	2.1	0.00118	420.9	3.8	1
mol_62	6.15	0.05	21.2	5	1	6	17	5	6	1	1	506.5	158.5	-63	260.9	800.3	2	0.00162	4	2.2	0.00121	347.9	3.5	1
mol_63	3.48	0.6	25.8	5	0	5	15	6	4	1	0	415.6	186	-139	204.9	658.7	-0.2	0.262	6	-0.9	0.944	229.7	3.1	1
mol_64	4.99	1.95	24.1	5	0	5	16	6	4	1	0	424.4	169.4	-124.9	221.1	685.7	0.1	0.114	6	-0.4	0.328	255	3.1	2
mol_65	5.31	1.87	26.4	5	0	5	17	6	5	1	0	446.4	170.4	-125.6	240.9	743.7	0.4	0.0508	6	0.1	0.0988	276	3.4	2
mol_66	5.62	0.1	28	5	1	6	17	7	5	1	0	450.8	194.8	-142.4	232.8	729.5	-2.9	30.2	7	-3.6	116	256	3.4	2
mol_67	5.08	10.1	16.7	6	0	6	15	8	3	1	0	413.7	198.6	-141.8	200.2	638.4	-0.4	0.269	7	-0.7	0.534	215.1	3	1
mol_68	4.32	0	19	6	0	6	16	8	4	1	0	456.9	205.7	-157.7	220	707.5	-0.1	0.11	7	-1.1	0.776	251.3	3.3	1
